,Im Ready Jet,Majestuoso Nz,Hopeful Beauty Fra,Always Ready,Aldebaran Zeus,Sleepee,Sundons Courage,Ollivici Nz,Nephew Of Sonoko,Keayang Livana
07-01-2023 18:53:20.391259,"(3.0, 4.7, 4.522222222222222)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:21.646638,"(3.0, 4.7, 4.45)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:22.937573,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:24.247026,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 78.33333333333333)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:25.530550,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:26.744268,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:28.001252,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:29.239962,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 9.775)","(101.0, 210.0, 170.0)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:30.449967,"(3.0, 4.7, 4.6)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 10.0, 10.566666666666666)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:31.667144,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.5, 10.566666666666666)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
