,Bye Bye Taipan,Devastator,Game One,Mr Savant,Smart And Classy,Lenny Rocks Out,Rubeson
11-01-2023 13:34:55.262048,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:56.403125,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:57.676009,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:34:58.919126,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:00.075379,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:01.266822,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:02.420586,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:03.562435,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:04.643363,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:05.662570,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:06.627249,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:07.606279,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:08.730911,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:09.864207,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:11.052137,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:12.107187,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:13.195514,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:14.216109,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:15.287589,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:16.410718,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:17.466495,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:18.507441,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:19.549225,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:20.490828,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:21.550049,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:22.695067,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:23.822945,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:24.889131,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:25.892726,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:26.860300,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:27.921325,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:28.983248,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:30.110987,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:31.202283,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:32.158589,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:33.072272,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:34.106995,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:35.166149,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:36.279170,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:37.386102,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:38.457389,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:39.439450,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:40.433005,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:41.526435,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:42.593230,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:43.749907,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:44.881132,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:45.960052,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:46.960852,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:48.013323,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:49.044257,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:50.114252,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 4.7555555555555555)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:51.133300,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 4.7555555555555555)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:52.203220,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 4.7555555555555555)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:53.144480,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 4.5777777777777775)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:54.184540,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 4.5777777777777775)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:55.260691,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 4.5777777777777775)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:56.382056,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:57.561160,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:58.733288,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:35:59.788911,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:00.834455,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:01.851535,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:02.955323,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:04.104320,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:05.209343,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:06.284720,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:07.304799,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:08.353791,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:09.351115,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:10.678948,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:11.818405,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:12.974874,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:14.248265,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:15.422212,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:16.724050,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:17.916755,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:19.069255,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:20.219217,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:21.288780,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:22.384170,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:23.502023,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:24.607516,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:25.725445,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:26.786953,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:27.847560,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:28.972532,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:30.115211,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:31.268474,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:32.378774,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
11-01-2023 13:36:33.422894,"(4.0, 6.2, 5.759375)","(4.2, 8.4, 5.04)","(7.5, 14.0, 10.0)","(91.0, 650.0, 539.0)","(5.5, 8.8, 6.08)","(6.0, 11.0, 7.4)","(2.9, 3.45, 2.8649999999999998)"
