,Arnray,Blue Card,Bandalera Miss,Django Dream,Private Scene,Lady Duckworth,Woodruff,Universal Vain,Steak Night,Act Innocent,Masaru,Taxi
11-01-2023 19:14:08.039557,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 24.5)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:09.581752,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 24.5)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:11.081244,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 24.5)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 30.666666666666668)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:12.574519,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.153846153846153)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.81818181818182)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:14.533319,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.153846153846153)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.81818181818182)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:16.258695,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.153846153846153)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.81818181818182)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:17.958183,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.81818181818182)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:19.587278,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.81818181818182)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:21.129330,"(12.0, 21.0, 19.26923076923077)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.81818181818182)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:22.585706,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.8285714285714287)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 42.0, 35.714285714285715)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:24.078575,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 40.0, 35.714285714285715)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:25.588807,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 40.0, 35.83333333333333)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:27.127859,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(21.0, 38.0, 35.83333333333333)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:28.614509,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 35.83333333333333)","(31.0, 46.0, 41.0)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:30.129691,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 33.6)","(31.0, 46.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:31.628619,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 33.0)","(31.0, 44.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:33.156711,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.0)","(11.0, 16.5, 15.9)","(9.0, 12.0, 11.862068965517242)","(19.0, 27.0, 25.666666666666668)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 33.0)","(31.0, 44.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.0, 10.88888888888889)"
11-01-2023 19:14:34.760542,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 50.0, 43.5)","(11.0, 16.5, 15.766666666666667)","(9.0, 12.0, 11.328947368421053)","(19.0, 27.0, 23.375)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 36.90909090909091)","(31.0, 44.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.0, 11.323529411764707)"
11-01-2023 19:14:36.221992,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 11.5, 11.328947368421053)","(19.0, 26.0, 23.375)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 36.90909090909091)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.153846153846153)"
11-01-2023 19:14:37.751229,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 11.5, 11.328947368421053)","(19.0, 26.0, 23.375)","(17.0, 28.0, 25.857142857142858)","(20.0, 38.0, 37.14285714285714)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:39.212926,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 11.5, 11.328947368421053)","(19.0, 26.0, 23.375)","(17.0, 28.0, 26.0)","(20.0, 40.0, 37.14285714285714)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:40.661218,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 11.5, 11.328947368421053)","(19.0, 26.0, 23.375)","(17.0, 28.0, 26.0)","(20.0, 40.0, 37.14285714285714)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:42.136605,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 11.5, 11.328947368421053)","(19.0, 26.0, 23.375)","(17.0, 28.0, 26.0)","(20.0, 40.0, 37.14285714285714)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:43.690956,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 11.5, 12.115384615384615)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(20.0, 40.0, 37.14285714285714)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:45.197037,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 12.115384615384615)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(20.0, 40.0, 37.14285714285714)","(31.0, 42.0, 35.23076923076923)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:46.712592,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 12.115384615384615)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 42.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:48.154148,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 12.115384615384615)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:49.671444,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 12.115384615384615)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:51.247100,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 12.115384615384615)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:52.759897,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 12.142857142857142)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:54.293524,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:55.764327,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8227272727272728)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 38.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:57.242409,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.85, 3.8995145631067962)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 37.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:14:58.680318,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.8995145631067962)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 37.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:15:00.139491,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.7714285714285714)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 37.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:15:01.662314,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 37.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:15:03.186852,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.14285714285714)","(31.0, 40.0, 37.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:15:04.787820,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.766666666666667)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.53846153846154)","(31.0, 40.0, 37.0)","(21.0, 32.0, 31.5)","(8.5, 11.5, 11.071428571428571)"
11-01-2023 19:15:06.255136,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 16.0, 15.451219512195122)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 35.2)","(31.0, 40.0, 34.53333333333333)","(21.0, 32.0, 31.5)","(8.5, 11.5, 10.892857142857142)"
11-01-2023 19:15:07.708409,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 43.5)","(11.0, 15.5, 15.451219512195122)","(9.0, 12.5, 11.666666666666666)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 35.2)","(31.0, 38.0, 34.53333333333333)","(21.0, 32.0, 31.5)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:09.250853,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 44.0)","(11.0, 15.5, 15.451219512195122)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 22.5)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.6)","(31.0, 38.0, 34.30769230769231)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:10.802047,"(12.0, 21.0, 19.214285714285715)","(3.5, 3.9, 3.874468085106383)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 44.0)","(11.0, 15.5, 15.457446808510639)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 23.103448275862068)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.6)","(31.0, 38.0, 34.30769230769231)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:12.384340,"(12.0, 21.0, 19.684210526315788)","(3.5, 3.95, 3.9353658536585368)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 45.0)","(11.0, 15.5, 15.457446808510639)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 23.103448275862068)","(17.0, 28.0, 26.0)","(21.0, 40.0, 37.6)","(31.0, 38.0, 34.30769230769231)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:13.921749,"(12.0, 21.0, 19.684210526315788)","(3.5, 3.95, 3.9353658536585368)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 45.0)","(11.0, 15.5, 15.457446808510639)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 23.103448275862068)","(17.0, 28.0, 26.0)","(21.0, 40.0, 38.22222222222222)","(31.0, 38.0, 34.30769230769231)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:15.418369,"(12.0, 21.0, 19.684210526315788)","(3.5, 3.95, 3.9353658536585368)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 45.0)","(11.0, 15.5, 15.457446808510639)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 23.103448275862068)","(17.0, 28.0, 26.0)","(21.0, 40.0, 38.22222222222222)","(31.0, 38.0, 34.30769230769231)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:16.882339,"(12.0, 21.0, 19.684210526315788)","(3.5, 3.95, 3.9353658536585368)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 45.0)","(11.0, 15.5, 15.457446808510639)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 23.103448275862068)","(17.0, 28.0, 26.0)","(21.0, 40.0, 38.22222222222222)","(31.0, 38.0, 34.285714285714285)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.892857142857142)"
11-01-2023 19:15:18.350222,"(12.0, 21.0, 19.684210526315788)","(3.5, 3.95, 3.875)","(3.2, 3.85, 3.81875)","(31.0, 46.0, 45.0)","(11.0, 15.5, 15.457446808510639)","(9.0, 12.5, 12.261904761904763)","(19.0, 26.0, 23.103448275862068)","(17.0, 28.0, 26.0)","(21.0, 40.0, 38.22222222222222)","(31.0, 38.0, 34.285714285714285)","(21.0, 32.0, 31.4)","(8.5, 11.0, 10.805555555555555)"
