,Opawa Nicky,Homebush Benji,Elodie,Is That Toby,Homebush Matty,Hurunui Mouse,Go Again,Laxmans Ganguly
06-01-2023 09:08:34.135083,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:35.106631,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:36.119866,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:37.072609,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:38.054304,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:39.019138,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:40.053705,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:41.072898,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:42.110593,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:43.188451,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:44.266059,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:45.340296,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:46.416413,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:47.489885,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:48.571641,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:49.653274,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:50.761454,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:51.871500,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:52.983449,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:54.036554,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:55.127348,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:56.140080,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:57.176173,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:58.213327,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:59.265835,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:09:00.338142,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:09:01.429951,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 9.35)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:09:02.476161,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.5, 9.35)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:09:03.479367,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.5, 9.35)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:09:04.535270,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.5, 9.35)","(10.0, 36.0, 21.91764705882353)"
