,My Calante,Treasure Coast,Rowdy River,Iffy Asset Class,Super Prospector,Antioch Dandy,Ryan Express
16-12-2022 11:54:54.625818,"(5.0, 6.4, 6.344)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.18, 2.1363636363636367)","(16.0, 36.0, 32.285714285714285)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.3)"
16-12-2022 11:54:55.661131,"(5.0, 6.4, 6.344)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 5.827586206896552)","(1.9, 2.18, 2.14)","(16.0, 36.0, 29.5)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.933333333333334)"
16-12-2022 11:54:56.738163,"(5.0, 6.4, 6.339130434782609)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.4, 5.9)","(1.9, 2.18, 2.137777777777778)","(16.0, 36.0, 33.111111111111114)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.3)"
16-12-2022 11:54:57.691426,"(5.0, 6.4, 6.2)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.4, 5.9)","(1.9, 2.2, 2.137777777777778)","(16.0, 36.0, 33.111111111111114)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.3)"
16-12-2022 11:54:58.617928,"(5.0, 6.4, 6.2)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.4, 5.9)","(1.9, 2.2, 2.137777777777778)","(16.0, 36.0, 33.111111111111114)","(31.0, 260.0, 146.0)","(6.5, 8.0, 7.933333333333334)"
16-12-2022 11:54:59.622082,"(5.0, 6.4, 6.2)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.4, 5.9)","(1.9, 2.2, 2.137777777777778)","(16.0, 36.0, 33.111111111111114)","(31.0, 260.0, 222.0)","(6.5, 8.0, 7.3)"
16-12-2022 11:55:00.583882,"(5.0, 6.4, 6.2)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.4, 5.9)","(1.9, 2.2, 2.137777777777778)","(16.0, 36.0, 33.111111111111114)","(31.0, 260.0, 214.0)","(6.5, 8.0, 7.555555555555555)"
16-12-2022 11:55:01.581779,"(5.0, 6.4, 6.08)","(21.0, 50.0, 42.0)","(5.5, 6.4, 5.9)","(1.9, 2.2, 2.137777777777778)","(16.0, 36.0, 33.111111111111114)","(31.0, 260.0, 214.0)","(6.5, 8.0, 6.739999999999999)"
16-12-2022 11:55:02.549889,"(5.0, 6.4, 6.08)","(21.0, 50.0, 42.0)","(5.5, 6.4, 6.133333333333334)","(1.9, 2.2, 2.165)","(16.0, 36.0, 29.5)","(31.0, 260.0, 214.0)","(6.5, 8.0, 6.9)"
16-12-2022 11:55:03.511179,"(5.0, 6.4, 6.08)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.6, 6.526315789473684)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.285714285714285)","(31.0, 260.0, 214.0)","(6.5, 7.2, 7.128571428571429)"
16-12-2022 11:55:04.480979,"(5.0, 6.4, 6.339130434782609)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.6, 5.8533333333333335)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 214.0)","(6.5, 7.2, 7.128571428571429)"
16-12-2022 11:55:05.472487,"(5.0, 6.4, 6.222222222222222)","(21.0, 50.0, 42.0)","(5.5, 6.6, 5.8533333333333335)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 214.0)","(6.5, 7.2, 7.128571428571429)"
16-12-2022 11:55:06.558250,"(5.0, 6.4, 6.222222222222222)","(21.0, 50.0, 42.0)","(5.5, 6.6, 5.8533333333333335)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 214.0)","(6.5, 7.2, 6.6)"
16-12-2022 11:55:07.655130,"(5.0, 6.4, 6.086842105263158)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.6, 5.946666666666667)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 214.0)","(6.5, 7.2, 6.45)"
16-12-2022 11:55:08.786506,"(5.0, 6.4, 5.992)","(21.0, 50.0, 42.0)","(5.5, 6.6, 5.946666666666667)","(1.9, 2.2, 2.165)","(16.0, 36.0, 31.6)","(31.0, 260.0, 214.0)","(6.5, 7.2, 6.45)"
16-12-2022 11:55:09.863144,"(5.0, 6.4, 5.992)","(21.0, 50.0, 39.2)","(5.5, 6.6, 5.946666666666667)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.666666666666664)","(31.0, 260.0, 214.0)","(6.5, 7.2, 6.45)"
16-12-2022 11:55:10.915835,"(5.0, 6.4, 5.992)","(21.0, 50.0, 42.57142857142857)","(5.5, 6.6, 5.946666666666667)","(1.9, 2.2, 2.165)","(16.0, 36.0, 32.666666666666664)","(31.0, 260.0, 214.0)","(6.5, 7.2, 6.45)"
16-12-2022 11:55:11.927332,"(5.0, 6.4, 5.992)","(21.0, 50.0, 42.57142857142857)","(5.5, 6.6, 5.946666666666667)","(1.9, 2.2, 2.194766355140187)","(16.0, 36.0, 29.5)","(31.0, 260.0, 214.0)","(6.5, 7.2, 6.752941176470588)"
16-12-2022 11:55:12.920712,"(5.0, 6.4, 5.992)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.6, 5.946666666666667)","(1.9, 2.22, 2.1963636363636367)","(16.0, 36.0, 29.5)","(31.0, 260.0, 214.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:13.925684,"(5.0, 6.4, 5.684210526315789)","(21.0, 50.0, 42.0)","(5.5, 6.4, 6.066666666666667)","(1.9, 2.22, 2.2010909090909094)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 214.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:14.940175,"(5.0, 6.4, 6.086842105263158)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.4, 6.066666666666667)","(1.9, 2.22, 2.2010909090909094)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 214.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:15.952243,"(5.0, 6.4, 6.086842105263158)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.4, 5.92)","(1.9, 2.22, 2.2010909090909094)","(16.0, 36.0, 32.57142857142857)","(31.0, 260.0, 146.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:16.981711,"(5.0, 6.2, 5.8)","(21.0, 50.0, 42.0)","(5.5, 6.4, 6.044444444444444)","(1.9, 2.28, 2.2767441860465114)","(16.0, 36.0, 28.666666666666668)","(31.0, 260.0, 169.60000000000002)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:18.119035,"(5.0, 6.2, 6.156521739130435)","(21.0, 50.0, 39.2)","(5.5, 6.4, 6.08)","(1.9, 2.68, 2.393333333333333)","(16.0, 36.0, 28.666666666666668)","(31.0, 260.0, 146.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:19.106422,"(5.0, 6.2, 6.085714285714285)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.4, 6.222222222222222)","(1.9, 2.62, 2.393333333333333)","(16.0, 36.0, 28.666666666666668)","(31.0, 260.0, 146.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:20.149472,"(5.0, 6.2, 5.981818181818182)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.4, 6.171428571428572)","(1.9, 2.6, 2.258)","(17.0, 36.0, 28.666666666666668)","(31.0, 260.0, 169.60000000000002)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:21.128208,"(5.0, 6.2, 6.05)","(21.0, 50.0, 42.0)","(5.5, 6.4, 6.292307692307693)","(1.9, 2.58, 2.546666666666667)","(17.0, 36.0, 28.666666666666668)","(31.0, 260.0, 169.60000000000002)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:22.018687,"(5.0, 6.2, 6.0600000000000005)","(21.0, 50.0, 39.2)","(5.5, 6.4, 6.300000000000001)","(1.9, 2.58, 2.3085714285714287)","(17.0, 36.0, 28.666666666666668)","(31.0, 260.0, 169.60000000000002)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:22.986410,"(5.0, 6.0, 5.75)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.2, 5.825)","(1.9, 2.58, 2.337142857142857)","(17.0, 36.0, 28.666666666666668)","(31.0, 250.0, 94.28571428571428)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:23.963733,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 42.0)","(5.5, 6.2, 5.825)","(1.9, 2.58, 2.337142857142857)","(17.0, 36.0, 28.666666666666668)","(31.0, 250.0, 94.28571428571428)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:24.980849,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.825)","(1.9, 2.58, 2.337142857142857)","(17.0, 36.0, 28.666666666666668)","(31.0, 250.0, 94.28571428571428)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:26.014719,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.825)","(1.9, 2.58, 2.337142857142857)","(17.0, 36.0, 28.666666666666668)","(31.0, 250.0, 94.28571428571428)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:27.040900,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.825)","(1.9, 2.58, 2.337142857142857)","(17.0, 36.0, 28.666666666666668)","(31.0, 250.0, 94.28571428571428)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:28.044142,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.825)","(1.9, 2.58, 2.337142857142857)","(17.0, 36.0, 28.666666666666668)","(31.0, 250.0, 94.28571428571428)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:29.041098,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.4682142857142857)","(17.0, 36.0, 32.666666666666664)","(31.0, 250.0, 115.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:30.004377,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.3360000000000003)","(17.0, 36.0, 32.666666666666664)","(31.0, 250.0, 115.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:31.028569,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.3360000000000003)","(17.0, 36.0, 31.714285714285715)","(31.0, 250.0, 147.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:32.037553,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.4682142857142857)","(17.0, 36.0, 31.714285714285715)","(31.0, 260.0, 147.0)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:33.162941,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.36)","(17.0, 36.0, 32.0)","(31.0, 260.0, 161.42857142857142)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:34.243798,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.413333333333333)","(17.0, 36.0, 32.0)","(31.0, 260.0, 161.42857142857142)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:35.281272,"(5.0, 6.0, 5.833333333333333)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.413333333333333)","(17.0, 36.0, 32.0)","(31.0, 260.0, 161.42857142857142)","(6.5, 6.8, 6.4)"
16-12-2022 11:55:36.423822,"(5.0, 6.0, 5.866666666666667)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.413333333333333)","(17.0, 36.0, 32.0)","(31.0, 260.0, 145.55555555555554)","(6.5, 6.8, 6.2)"
16-12-2022 11:55:37.560988,"(5.0, 6.0, 5.85)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.2, 5.95)","(1.9, 2.48, 2.565714285714286)","(17.0, 36.0, 31.714285714285715)","(31.0, 290.0, 103.57142857142857)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:38.750183,"(5.0, 6.0, 5.85)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.565714285714286)","(17.0, 36.0, 31.714285714285715)","(31.0, 290.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:39.816975,"(5.0, 6.0, 5.85)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.565714285714286)","(17.0, 36.0, 31.714285714285715)","(31.0, 280.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:40.847988,"(5.0, 6.0, 5.85)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 31.714285714285715)","(31.0, 280.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:41.945802,"(5.0, 6.0, 5.85)","(21.0, 50.0, 30.666666666666664)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 31.714285714285715)","(31.0, 280.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:43.078336,"(5.0, 6.0, 5.5636363636363635)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 31.714285714285715)","(31.0, 280.0, 112.66666666666667)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:44.088692,"(5.0, 6.0, 5.5636363636363635)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 31.714285714285715)","(31.0, 280.0, 112.66666666666667)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:45.115074,"(5.0, 6.0, 5.5636363636363635)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 31.714285714285715)","(31.0, 280.0, 112.66666666666667)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:46.122448,"(5.0, 6.0, 5.5636363636363635)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 28.5)","(31.0, 280.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:47.186183,"(5.0, 6.0, 5.533333333333333)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 29.0)","(31.0, 280.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:48.326502,"(5.0, 5.9, 5.445454545454546)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 29.0)","(31.0, 280.0, 154.5)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:49.458303,"(5.0, 6.0, 5.454545454545455)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 29.0)","(31.0, 280.0, 119.375)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:50.537996,"(5.0, 6.0, 5.454545454545455)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.58, 2.5582608695652174)","(17.0, 36.0, 29.0)","(31.0, 270.0, 202.25)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:51.591535,"(5.0, 6.0, 5.454545454545455)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.62, 2.51)","(17.0, 36.0, 29.0)","(31.0, 260.0, 161.60000000000002)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:52.631250,"(5.0, 6.0, 5.454545454545455)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.42, 2.401860465116279)","(17.0, 36.0, 29.0)","(31.0, 250.0, 161.60000000000002)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:53.715634,"(5.0, 6.0, 5.454545454545455)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.62, 2.5290909090909093)","(17.0, 36.0, 32.285714285714285)","(31.0, 250.0, 161.60000000000002)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:55.012636,"(5.0, 6.0, 5.454545454545455)","(21.0, 50.0, 40.0)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5)","(17.0, 36.0, 29.0)","(31.0, 250.0, 161.60000000000002)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:56.316368,"(5.0, 6.0, 5.586206896551724)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5)","(17.0, 36.0, 32.285714285714285)","(31.0, 250.0, 176.66666666666666)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:57.501871,"(5.0, 6.0, 5.517241379310344)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5)","(17.0, 36.0, 29.0)","(31.0, 250.0, 176.66666666666666)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:58.659226,"(5.0, 5.9, 5.7153846153846155)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5)","(17.0, 36.0, 29.0)","(31.0, 250.0, 176.66666666666666)","(6.5, 6.4, 6.2)"
16-12-2022 11:55:59.887047,"(5.0, 5.9, 5.7153846153846155)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5)","(17.0, 36.0, 32.285714285714285)","(31.0, 250.0, 176.66666666666666)","(6.5, 6.4, 6.2)"
16-12-2022 11:56:01.109658,"(5.0, 5.9, 5.7153846153846155)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5)","(17.0, 36.0, 32.0)","(31.0, 250.0, 176.66666666666666)","(6.5, 6.4, 6.3125)"
16-12-2022 11:56:02.309538,"(5.0, 5.9, 5.557142857142857)","(21.0, 50.0, 41.714285714285715)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.473333333333333)","(17.0, 36.0, 32.0)","(31.0, 250.0, 186.85714285714286)","(6.5, 6.4, 6.3125)"
16-12-2022 11:56:03.370620,"(5.0, 5.9, 5.557142857142857)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5072727272727273)","(17.0, 36.0, 32.0)","(31.0, 250.0, 186.85714285714286)","(6.5, 6.4, 6.3125)"
16-12-2022 11:56:04.595772,"(5.0, 5.9, 5.26)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5072727272727273)","(17.0, 36.0, 26.0)","(31.0, 250.0, 186.85714285714286)","(6.5, 6.4, 6.3125)"
16-12-2022 11:56:05.831724,"(5.0, 5.9, 5.74)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(1.9, 2.52, 2.5072727272727273)","(17.0, 36.0, 26.0)","(31.0, 250.0, 196.5)","(6.5, 6.4, 5.8)"
16-12-2022 11:56:07.043811,"(4.6, 5.9, 5.5)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.5072727272727273)","(17.0, 36.0, 32.66666666666667)","(31.0, 230.0, 196.5)","(5.5, 6.4, 5.760869565217392)"
16-12-2022 11:56:08.217272,"(4.6, 5.8, 5.466666666666667)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.5072727272727273)","(17.0, 36.0, 32.66666666666667)","(31.0, 230.0, 196.5)","(5.5, 6.4, 5.933333333333334)"
16-12-2022 11:56:09.350329,"(4.6, 5.8, 5.466666666666667)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 32.0)","(31.0, 230.0, 196.66666666666669)","(5.5, 6.4, 5.618604651162791)"
16-12-2022 11:56:10.430478,"(4.6, 5.8, 5.466666666666667)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 130.0)","(5.5, 6.4, 6.156521739130435)"
16-12-2022 11:56:11.560894,"(4.6, 5.8, 5.466666666666667)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 130.0)","(5.5, 6.2, 5.8)"
16-12-2022 11:56:12.773005,"(4.6, 5.8, 5.466666666666667)","(21.0, 50.0, 35.5)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 32.57142857142857)","(31.0, 230.0, 196.66666666666669)","(5.5, 6.2, 5.8)"
16-12-2022 11:56:13.962611,"(4.6, 5.8, 5.5)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 130.0)","(5.5, 6.2, 5.8)"
16-12-2022 11:56:15.182716,"(4.6, 5.7, 5.46)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 130.0)","(5.5, 6.2, 5.6000000000000005)"
16-12-2022 11:56:16.284075,"(4.6, 5.7, 5.433333333333334)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.496)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 130.0)","(5.5, 5.7, 5.6000000000000005)"
16-12-2022 11:56:17.477549,"(4.6, 5.7, 5.433333333333334)","(21.0, 50.0, 35.0)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.7, 5.6000000000000005)"
16-12-2022 11:56:18.568859,"(4.6, 5.7, 5.433333333333334)","(21.0, 50.0, 42.75)","(5.5, 6.2, 5.95)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.7, 5.6000000000000005)"
16-12-2022 11:56:19.641283,"(4.6, 5.7, 5.433333333333334)","(21.0, 50.0, 31.2)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 32.57142857142857)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.7, 5.6000000000000005)"
16-12-2022 11:56:20.655484,"(4.6, 5.7, 5.433333333333334)","(21.0, 48.0, 31.2)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.7, 5.6000000000000005)"
16-12-2022 11:56:21.780974,"(4.6, 5.7, 5.433333333333334)","(21.0, 48.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 32.57142857142857)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.7, 5.75)"
16-12-2022 11:56:22.890938,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 32.57142857142857)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.75)"
16-12-2022 11:56:23.988719,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.75)"
16-12-2022 11:56:25.166114,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 39.75)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.776923076923077)"
