,Nightwatch Star,Eagle Uno,Parabellum,Knight Walker,Stilton,Laker,Pocket More For Less Nz,Happy As,Caesars Rockstar,Neville Shannon
10-01-2023 19:35:55.597989,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:57.057119,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:58.417555,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:59.759251,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:01.109778,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:02.552871,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:03.952483,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:05.316350,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:06.915179,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:08.505098,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:10.052254,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:11.471714,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:12.827345,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:14.119329,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:15.353760,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:16.661864,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:18.042759,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:19.372525,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:20.692300,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:21.981717,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:23.232953,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:24.531279,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:25.821135,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:27.183051,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:28.539156,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:29.904719,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:31.256602,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:32.960054,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:34.449586,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:35.893936,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:37.270761,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:38.622372,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:40.057362,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:41.470861,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:42.831136,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:44.105727,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(18.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 25.333333333333336)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:36:45.365944,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:46.661372,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:47.956126,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:49.216467,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:50.577527,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:51.932209,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:53.326605,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:54.687223,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:55.990396,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:57.305051,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:58.611955,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:36:59.943855,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:01.245039,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:02.541948,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:03.904040,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:05.264354,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:06.711383,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:08.086099,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:09.325962,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:10.572021,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:11.780177,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:37:13.019095,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(18.0, 48.0, 40.25)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(15.0, 48.0, 38.285714285714285)","(61.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
