,Tin Amber Mine,Skylar Bree,Bears Best,Ima Midnight Rebel,Saint Jujon,Marty The Martian,Whos To Blame,Long Time Coming
06-01-2023 11:18:08.656781,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:09.855368,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:10.990587,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:12.086132,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:13.203370,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:14.355979,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:15.460896,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:16.500891,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:17.564013,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:18.722767,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:19.873439,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:21.027369,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:22.299192,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:23.544269,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:24.635146,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:25.763469,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:26.844863,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:28.054099,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:29.315926,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:30.592314,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:31.779170,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:32.953008,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:34.071258,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:35.095494,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:36.276623,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:37.467394,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:38.609659,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:39.709190,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:40.748145,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:41.808189,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:42.902823,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:44.020771,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:45.191393,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:46.281458,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:47.316443,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:48.404319,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:49.507586,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:50.645969,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:51.828661,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:53.036555,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:54.138737,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:55.215856,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:56.302264,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:57.360012,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:58.467731,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:59.620973,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:00.785824,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:01.850715,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:02.904288,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:03.910369,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:04.996280,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:06.118337,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:07.170131,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:08.262749,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:09.309124,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:19:10.404769,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:11.521020,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:12.662903,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:13.849903,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:15.002164,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:16.364493,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:17.766358,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:19.054153,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:20.327959,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:21.627620,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:22.865426,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:24.104363,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:25.293034,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:26.443271,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:27.510008,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 41.14285714285714)"
06-01-2023 11:19:28.669338,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 69.5)","(51.0, 200.0, 91.42857142857143)","(9.0, 19.5, 11.8)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 35.333333333333336)"
