,Spritz,Smooth Heaven,Prosecute,Robell Ruby,Our Sassy Nyrah,Fearless Levi,Double The Cash,Outbreak Bindi
10-01-2023 18:12:14.908349,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:16.283512,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:17.956340,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:19.508326,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:20.844662,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:22.192526,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:23.554101,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:24.922202,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:26.268932,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:27.652935,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:28.987505,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:30.644365,"(2.4, 2.94, 2.5696296296296297)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:32.106154,"(2.4, 2.94, 2.5696296296296297)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:33.464044,"(2.4, 2.94, 2.5696296296296297)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 41.25)"
10-01-2023 18:12:34.792416,"(2.4, 2.94, 2.5696296296296297)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 41.25)"
10-01-2023 18:12:36.066908,"(2.4, 2.94, 2.5696296296296297)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 41.25)"
10-01-2023 18:12:37.355159,"(2.4, 2.94, 2.5696296296296297)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 41.25)"
10-01-2023 18:12:38.629944,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:39.912951,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:41.193844,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:42.487915,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:43.852477,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:45.194979,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:46.503747,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:47.752456,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:48.930930,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:50.187479,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:51.451067,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:52.686106,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:53.974507,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:55.239726,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:56.518131,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:57.806036,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:12:58.986065,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 381.1111111111111)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:00.161394,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:01.329665,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:02.578220,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:03.866927,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:05.189870,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:06.551549,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:07.822100,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:09.092070,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:10.392265,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:11.588190,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:12.796370,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:13.968753,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:15.146476,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:16.412163,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:17.646043,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:18.941941,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:20.187489,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:21.505447,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:22.729057,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:23.954095,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:25.200151,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:26.523242,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:27.836356,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:29.294660,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:30.654214,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:32.038625,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:33.580928,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:35.053283,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:36.565693,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:37.954213,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:39.495954,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:41.121678,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:42.620886,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:43.992803,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:45.332352,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:46.568232,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
10-01-2023 18:13:47.830376,"(2.4, 2.94, 2.5345945945945947)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 312.8571428571429)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 65.0, 37.36363636363636)"
