,Sweet Indie,Mama Said,Stick Hunter,Spring Evie,Viva Belle,Pink Flyer,Bailey,Frosty Girl
16-12-2022 15:41:21.064485,"(1.75, 1.98, 1.9100000000000001)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.6, 7.928571428571429)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:22.044662,"(1.75, 1.98, 1.9100000000000001)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.6, 7.928571428571429)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:23.074597,"(1.75, 1.98, 1.9375)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.6, 7.928571428571429)","(5.5, 12.0, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:24.118628,"(1.75, 1.98, 1.9375)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 23.81818181818182)","(5.5, 9.6, 8.588888888888889)","(5.5, 12.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:25.312472,"(1.75, 1.98, 1.955)","(9.0, 19.0, 15.0)","(21.0, 75.0, 54.04761904761905)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.6, 8.456)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:26.388197,"(1.75, 1.98, 1.9100000000000001)","(9.0, 19.0, 15.0)","(21.0, 75.0, 54.04761904761905)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.456)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:27.404447,"(1.75, 1.98, 1.9100000000000001)","(9.0, 13.0, 12.107142857142858)","(21.0, 75.0, 54.04761904761905)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.456)","(5.5, 11.0, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:28.521727,"(1.75, 1.98, 1.9100000000000001)","(9.0, 13.0, 11.75)","(21.0, 75.0, 54.04761904761905)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.456)","(5.5, 12.0, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:29.599241,"(1.75, 1.98, 1.9100000000000001)","(9.0, 13.0, 11.75)","(21.0, 75.0, 54.04761904761905)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.406451612903226)","(5.5, 12.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:30.841956,"(1.75, 1.98, 1.955)","(9.0, 13.0, 11.75)","(21.0, 75.0, 71.07142857142857)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.264)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:31.847267,"(1.75, 1.98, 1.9100000000000001)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 71.07142857142857)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.264)","(5.5, 11.0, 9.960869565217392)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:33.003758,"(1.75, 1.98, 1.9100000000000001)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 71.07142857142857)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 23.81818181818182)","(5.5, 9.8, 8.264)","(5.5, 10.5, 9.960869565217392)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:34.195963,"(1.75, 1.98, 1.9100000000000001)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 68.125)","(10.0, 21.0, 19.666666666666664)","(10.0, 32.0, 26.0)","(5.5, 9.8, 8.264)","(5.5, 10.5, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:35.299512,"(1.75, 1.98, 1.9375)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 68.125)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 26.0)","(5.5, 9.8, 8.8)","(5.5, 12.0, 8.714285714285714)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:36.416116,"(1.75, 1.98, 1.9100000000000001)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 68.125)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 26.0)","(5.5, 9.6, 8.5)","(5.5, 11.0, 9.4)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:37.611299,"(1.75, 1.98, 1.9100000000000001)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 68.125)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 26.0)","(5.5, 9.4, 8.142857142857142)","(5.5, 11.0, 9.4)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:38.697624,"(1.75, 1.98, 1.9071428571428573)","(9.0, 15.5, 14.666666666666668)","(21.0, 75.0, 68.125)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 27.25)","(5.5, 9.4, 8.628571428571428)","(5.5, 11.0, 10.425)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:39.699711,"(1.75, 1.97, 1.8681818181818182)","(9.0, 15.5, 14.9375)","(21.0, 75.0, 67.28571428571428)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 27.25)","(5.5, 9.2, 8.628571428571428)","(5.5, 12.0, 10.425)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:40.786569,"(1.75, 1.97, 1.9)","(9.0, 15.5, 14.5)","(21.0, 75.0, 67.28571428571428)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 26.4)","(5.5, 9.2, 8.844444444444443)","(5.5, 11.0, 9.342857142857143)","(21.0, 100.0, 56.2)"
16-12-2022 15:41:41.841980,"(1.75, 1.97, 1.9)","(9.0, 15.5, 14.928571428571429)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 26.4)","(5.5, 9.2, 8.844444444444443)","(5.5, 10.5, 9.342857142857143)","(21.0, 100.0, 56.2)"
16-12-2022 15:41:42.971886,"(1.75, 1.97, 1.9)","(9.0, 15.5, 14.928571428571429)","(21.0, 75.0, 67.42857142857143)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 26.4)","(5.5, 9.2, 8.742857142857142)","(5.5, 10.5, 9.663636363636364)","(21.0, 100.0, 73.375)"
16-12-2022 15:41:44.082051,"(1.75, 1.97, 1.9)","(9.0, 15.5, 14.5)","(21.0, 75.0, 67.42857142857143)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 26.4)","(5.5, 9.2, 8.742857142857142)","(5.5, 10.5, 9.663636363636364)","(21.0, 100.0, 73.375)"
16-12-2022 15:41:45.195767,"(1.75, 1.97, 1.8611111111111112)","(9.0, 15.5, 14.5)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 26.2)","(5.5, 9.2, 7.866666666666666)","(5.5, 10.5, 9.663636363636364)","(21.0, 100.0, 73.375)"
16-12-2022 15:41:46.266945,"(1.75, 1.97, 1.9053846153846155)","(9.0, 15.5, 14.5)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 29.125)","(5.5, 9.2, 8.742857142857142)","(5.5, 9.8, 9.133333333333333)","(21.0, 100.0, 73.375)"
16-12-2022 15:41:47.361302,"(1.75, 1.97, 1.9053846153846155)","(9.0, 15.5, 14.5)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 29.125)","(5.5, 9.6, 8.85)","(5.5, 10.0, 9.459999999999999)","(21.0, 100.0, 73.375)"
16-12-2022 15:41:48.467042,"(1.75, 1.97, 1.9053846153846155)","(9.0, 15.5, 14.5)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 29.125)","(5.5, 9.6, 7.8)","(5.5, 10.0, 9.4)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:49.542991,"(1.75, 1.97, 1.865)","(9.0, 15.0, 14.125)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 29.125)","(5.5, 9.6, 8.742857142857142)","(5.5, 10.0, 9.044444444444444)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:50.566199,"(1.75, 1.96, 1.884516129032258)","(9.0, 14.0, 12.4375)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 26.4)","(5.5, 9.2, 8.742857142857142)","(5.5, 9.6, 9.044444444444444)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:51.616296,"(1.75, 1.95, 1.9063636363636365)","(9.0, 14.0, 12.75)","(21.0, 75.0, 61.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 34.0, 28.15)","(5.5, 9.6, 8.85)","(5.5, 9.6, 8.975)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:52.713988,"(1.75, 1.95, 1.9063636363636365)","(9.0, 14.0, 12.75)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.15)","(5.5, 9.6, 8.85)","(5.5, 9.6, 8.975)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:53.735331,"(1.75, 1.95, 1.9063636363636365)","(9.0, 19.0, 14.733333333333334)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.68181818181818)","(5.5, 9.6, 8.85)","(5.5, 9.6, 8.975)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:54.759288,"(1.75, 1.95, 1.8642857142857143)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.68181818181818)","(5.5, 9.4, 7.828571428571429)","(5.5, 10.5, 9.225000000000001)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:55.761014,"(1.75, 1.95, 1.9063636363636365)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.68181818181818)","(5.5, 9.2, 8.488888888888889)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:56.773212,"(1.75, 1.95, 1.8642857142857143)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.68181818181818)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:57.865571,"(1.75, 1.94, 1.8381481481481483)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.68181818181818)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 79.0)"
16-12-2022 15:41:58.929259,"(1.75, 1.93, 1.858)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 28.68181818181818)","(5.5, 9.0, 8.6)","(5.5, 9.8, 9.225000000000001)","(21.0, 100.0, 79.0)"
16-12-2022 15:42:00.019764,"(1.75, 1.93, 1.858)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 34.0, 25.26923076923077)","(5.5, 9.0, 7.8)","(5.5, 10.5, 9.225000000000001)","(21.0, 100.0, 79.0)"
16-12-2022 15:42:00.994037,"(1.75, 1.93, 1.858)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 32.0, 25.26923076923077)","(5.5, 9.0, 7.8)","(5.5, 10.5, 9.225000000000001)","(21.0, 100.0, 79.0)"
16-12-2022 15:42:02.009070,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 32.0, 25.26923076923077)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 79.0)"
16-12-2022 15:42:03.081301,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 32.0, 25.26923076923077)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 79.0)"
16-12-2022 15:42:04.131960,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 32.0, 25.26923076923077)","(5.5, 9.4, 9.1)","(5.5, 9.8, 8.966666666666667)","(21.0, 110.0, 76.66666666666667)"
16-12-2022 15:42:05.199501,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.5625)","(21.0, 75.0, 61.75)","(10.0, 21.0, 18.25)","(10.0, 32.0, 27.0)","(5.5, 9.4, 8.1)","(5.5, 9.8, 9.225000000000001)","(21.0, 110.0, 85.26315789473685)"
16-12-2022 15:42:06.243968,"(1.75, 1.93, 1.858)","(9.0, 18.5, 17.964285714285715)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.38888888888889)","(10.0, 30.0, 27.0)","(5.5, 9.0, 8.6)","(5.5, 10.5, 8.966666666666667)","(21.0, 100.0, 85.26315789473685)"
16-12-2022 15:42:07.231780,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.964285714285715)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.38888888888889)","(10.0, 30.0, 27.0)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 85.26315789473685)"
16-12-2022 15:42:08.292738,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.964285714285715)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.38888888888889)","(10.0, 30.0, 19.285714285714285)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 100.0, 81.31578947368422)"
16-12-2022 15:42:09.282979,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.964285714285715)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 21.470588235294116)","(5.5, 9.0, 8.6)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 72.3913043478261)"
16-12-2022 15:42:10.333834,"(1.75, 1.93, 1.8754545454545455)","(9.0, 18.5, 17.964285714285715)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 21.470588235294116)","(5.5, 9.0, 8.066666666666666)","(5.5, 9.8, 9.225000000000001)","(21.0, 95.0, 72.3913043478261)"
16-12-2022 15:42:11.379816,"(1.75, 1.93, 1.858)","(9.0, 18.5, 17.964285714285715)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 21.470588235294116)","(5.5, 9.0, 8.266666666666667)","(5.5, 10.5, 8.966666666666667)","(21.0, 95.0, 72.3913043478261)"
16-12-2022 15:42:12.436417,"(1.75, 1.93, 1.88)","(9.0, 15.0, 14.714285714285714)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 21.470588235294116)","(5.5, 8.8, 8.266666666666667)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 72.3913043478261)"
16-12-2022 15:42:13.437213,"(1.75, 1.93, 1.88)","(9.0, 14.0, 13.166666666666666)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 24.423076923076923)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 72.3913043478261)"
16-12-2022 15:42:14.416638,"(1.75, 1.93, 1.88)","(9.0, 14.0, 13.166666666666666)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 24.423076923076923)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 72.3913043478261)"
16-12-2022 15:42:15.472996,"(1.75, 1.93, 1.88)","(9.0, 14.0, 13.166666666666666)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 24.423076923076923)","(5.5, 8.6, 7.933333333333333)","(5.5, 9.8, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:16.490303,"(1.75, 1.93, 1.8442857142857143)","(9.0, 14.0, 13.166666666666666)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 24.423076923076923)","(5.5, 8.6, 7.666666666666667)","(5.5, 10.5, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:17.487499,"(1.75, 1.93, 1.8442857142857143)","(9.0, 14.0, 13.166666666666666)","(21.0, 75.0, 32.6)","(10.0, 21.0, 20.78846153846154)","(10.0, 30.0, 24.423076923076923)","(5.5, 8.6, 7.666666666666667)","(5.5, 10.5, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:18.521140,"(1.75, 1.93, 1.8442857142857143)","(9.0, 14.0, 13.166666666666666)","(21.0, 75.0, 39.66666666666667)","(10.0, 21.0, 20.0)","(10.0, 30.0, 19.23076923076923)","(5.5, 8.6, 7.666666666666667)","(5.5, 10.5, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:19.620212,"(1.75, 1.93, 1.8863636363636365)","(9.0, 13.0, 12.444444444444445)","(21.0, 75.0, 40.33333333333333)","(10.0, 21.0, 20.545454545454547)","(10.0, 30.0, 21.333333333333336)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:20.710251,"(1.75, 1.93, 1.8863636363636365)","(9.0, 13.0, 12.444444444444445)","(21.0, 75.0, 40.33333333333333)","(10.0, 21.0, 20.545454545454547)","(10.0, 30.0, 21.333333333333336)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:21.807332,"(1.75, 1.93, 1.8863636363636365)","(9.0, 13.0, 12.444444444444445)","(21.0, 75.0, 40.33333333333333)","(10.0, 21.0, 20.82142857142857)","(10.0, 30.0, 22.77777777777778)","(5.5, 8.6, 7.666666666666667)","(5.5, 9.8, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:22.916074,"(1.75, 1.93, 1.8442857142857143)","(9.0, 16.5, 16.107142857142858)","(21.0, 75.0, 31.210526315789473)","(10.0, 21.0, 20.82142857142857)","(10.0, 30.0, 22.77777777777778)","(5.5, 8.6, 7.666666666666667)","(5.5, 10.5, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:23.935531,"(1.75, 1.93, 1.8442857142857143)","(9.0, 16.5, 16.107142857142858)","(21.0, 75.0, 30.8)","(10.0, 21.0, 20.82142857142857)","(10.0, 30.0, 22.77777777777778)","(5.5, 8.6, 7.666666666666667)","(5.5, 10.5, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:24.953949,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 15.642857142857142)","(21.0, 65.0, 30.875)","(10.0, 21.0, 20.82142857142857)","(10.0, 30.0, 25.0)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:26.081679,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 15.642857142857142)","(21.0, 65.0, 30.875)","(10.0, 21.0, 20.82142857142857)","(10.0, 29.0, 26.77777777777778)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:27.192327,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 15.642857142857142)","(21.0, 65.0, 30.875)","(10.0, 21.0, 20.82142857142857)","(10.0, 28.0, 26.77777777777778)","(5.5, 8.6, 8.314285714285713)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:28.275915,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 15.642857142857142)","(21.0, 65.0, 29.0)","(10.0, 21.0, 20.82142857142857)","(10.0, 28.0, 26.77777777777778)","(5.5, 8.6, 7.3076923076923075)","(5.5, 9.8, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:29.374344,"(1.75, 1.93, 1.8871428571428572)","(9.0, 16.0, 14.61111111111111)","(21.0, 55.0, 28.333333333333332)","(10.0, 21.0, 20.428571428571427)","(10.0, 28.0, 22.176470588235293)","(5.5, 8.6, 7.747058823529412)","(5.5, 10.5, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:30.483724,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 13.241379310344827)","(21.0, 50.0, 43.25)","(10.0, 21.0, 20.80952380952381)","(10.0, 28.0, 22.176470588235293)","(5.5, 8.6, 7.747058823529412)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:31.646646,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 13.241379310344827)","(21.0, 50.0, 43.25)","(10.0, 21.0, 20.80952380952381)","(10.0, 27.0, 25.88888888888889)","(5.5, 8.6, 7.75625)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:32.792955,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 13.241379310344827)","(21.0, 50.0, 43.25)","(10.0, 21.0, 20.80952380952381)","(10.0, 27.0, 25.88888888888889)","(5.5, 8.4, 8.17142857142857)","(5.5, 9.8, 9.225000000000001)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:33.882696,"(1.75, 1.93, 1.8442857142857143)","(9.0, 16.0, 13.241379310344827)","(21.0, 50.0, 31.1)","(10.0, 21.0, 20.80952380952381)","(10.0, 27.0, 21.444444444444443)","(5.5, 8.4, 7.6000000000000005)","(5.5, 10.5, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:34.996737,"(1.75, 1.93, 1.8863636363636365)","(9.0, 16.0, 13.241379310344827)","(21.0, 48.0, 27.166666666666664)","(10.0, 21.0, 20.5625)","(10.0, 27.0, 21.411764705882355)","(5.5, 8.4, 7.44)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:36.096934,"(1.75, 1.93, 1.898)","(9.0, 15.5, 12.59090909090909)","(21.0, 48.0, 31.636363636363637)","(10.0, 21.0, 20.5625)","(10.0, 27.0, 22.68181818181818)","(5.5, 8.4, 7.44)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
16-12-2022 15:42:37.185055,"(1.75, 1.93, 1.898)","(9.0, 15.5, 13.5)","(21.0, 48.0, 30.0)","(10.0, 21.0, 20.5)","(10.0, 27.0, 22.68181818181818)","(5.5, 8.4, 7.44)","(5.5, 9.8, 8.966666666666667)","(21.0, 95.0, 81.31578947368422)"
