,Shian Gizmo,Rosie Clare,Single Figures,Spring Oak,Our Opals,Thanks Mark,Spring Ethic,Big Apatite
10-01-2023 15:25:54.370384,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:55.411180,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:56.540819,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:57.632250,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:58.776324,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:59.866148,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:01.063665,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:02.166296,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:03.200670,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:04.335981,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:05.403673,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:06.517485,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:07.618904,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:08.703066,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:09.719088,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:10.826960,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:11.922106,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:12.972111,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:14.028314,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.1)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:15.094058,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.1)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:16.174419,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:17.204423,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:18.247857,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:19.384555,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:20.523644,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:21.620686,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:22.660936,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:23.753542,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:24.844363,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:25.927340,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:27.031328,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:28.111661,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:29.219646,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:30.381291,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:31.495052,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:32.583220,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.4375)"
10-01-2023 15:26:33.655201,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.5, 10.125)"
10-01-2023 15:26:34.739981,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:35.851580,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:36.932513,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:38.168085,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:39.314936,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:40.492068,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:41.611020,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 125.71428571428571)","(6.5, 12.0, 10.125)"
10-01-2023 15:26:42.694885,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:43.708451,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:44.785423,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:45.876673,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:46.975206,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:48.047323,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:49.060237,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:50.153666,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:51.222094,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:52.270013,"(5.5, 9.2, 6.217647058823529)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:53.350326,"(5.5, 9.6, 6.311764705882353)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:54.404082,"(5.5, 9.6, 6.311764705882353)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:55.452501,"(5.5, 9.6, 6.311764705882353)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 11.079999999999998)","(51.0, 350.0, 125.71428571428571)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:56.494408,"(5.5, 9.6, 6.311764705882353)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 16.4)","(51.0, 350.0, 176.66666666666666)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:57.568755,"(5.5, 9.6, 6.311764705882353)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 16.4)","(51.0, 350.0, 176.66666666666666)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:58.711698,"(5.5, 9.6, 6.311764705882353)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 16.5)","(51.0, 350.0, 176.66666666666666)","(7.0, 12.0, 10.125)"
10-01-2023 15:26:59.841492,"(5.5, 9.6, 5.7)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 16.5)","(51.0, 350.0, 176.66666666666666)","(7.0, 12.0, 10.125)"
10-01-2023 15:27:00.918627,"(5.5, 9.6, 5.7)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 16.5)","(51.0, 350.0, 176.66666666666666)","(7.0, 12.0, 10.125)"
10-01-2023 15:27:01.967072,"(5.5, 9.6, 5.7)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 16.5)","(51.0, 350.0, 176.66666666666666)","(7.0, 12.0, 10.125)"
10-01-2023 15:27:03.025184,"(5.5, 9.6, 5.7)","(17.0, 36.0, 24.88888888888889)","(11.0, 20.0, 16.214285714285715)","(6.5, 11.5, 8.585714285714285)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.0, 9.85)"
10-01-2023 15:27:04.084993,"(5.5, 9.6, 5.7)","(17.0, 36.0, 27.666666666666668)","(11.0, 20.0, 13.066666666666666)","(6.5, 11.0, 9.35)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.5, 9.85)"
10-01-2023 15:27:05.199644,"(5.5, 9.6, 5.7)","(17.0, 36.0, 27.666666666666668)","(11.0, 20.0, 13.200000000000001)","(6.5, 11.0, 9.35)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.5, 9.85)"
10-01-2023 15:27:06.312198,"(5.5, 9.6, 5.7)","(17.0, 36.0, 27.666666666666668)","(11.0, 20.0, 13.200000000000001)","(6.5, 11.0, 9.35)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.5, 9.85)"
10-01-2023 15:27:07.412115,"(5.5, 9.6, 5.7)","(17.0, 36.0, 27.666666666666668)","(11.0, 20.0, 13.200000000000001)","(6.5, 11.0, 9.2)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.5, 8.375)"
10-01-2023 15:27:08.614851,"(5.5, 9.6, 5.7)","(17.0, 36.0, 27.666666666666668)","(11.0, 20.0, 13.200000000000001)","(6.5, 11.0, 9.2)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.5, 8.375)"
10-01-2023 15:27:09.740728,"(5.5, 9.6, 5.7)","(17.0, 36.0, 27.666666666666668)","(11.0, 20.0, 13.200000000000001)","(6.5, 11.0, 9.2)","(1.9, 2.04, 1.9155555555555555)","(7.5, 25.0, 17.066666666666666)","(51.0, 350.0, 126.0)","(7.0, 12.5, 8.375)"
