,Paramount Rush,Kahlua And Soda,Up There Millie,Magic Zimba,Destini Fresco,Up There Rocco
16-12-2022 10:46:14.748810,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:15.737010,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:16.741982,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:17.710190,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:18.593625,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:19.513745,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:20.457807,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:21.485814,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:22.532140,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:23.428268,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:24.386753,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:25.346345,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:26.227673,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:27.128597,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:28.071377,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:28.958251,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:29.870874,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:30.777480,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:31.772583,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:32.778628,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:33.753971,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:34.644498,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:35.626700,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 34.75)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:36.566031,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 34.75)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:37.519886,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:38.375271,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:39.387906,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:40.318396,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:41.196733,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.60125)"
16-12-2022 10:46:42.067584,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:43.052702,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:44.130802,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
