,Our Girl Socks,Grants Treasure,Gerrys Gift,No Return,Dynamite Swan,Aston Cristiano,Boot A Dream,Lofty
10-01-2023 20:11:31.781891,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:32.835718,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:33.817180,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:34.828776,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.925)"
10-01-2023 20:11:35.850235,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 26.214285714285715)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.7, 4.95)"
10-01-2023 20:11:36.883347,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 30.0, 27.7)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.7, 4.95)"
10-01-2023 20:11:37.884058,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 30.0, 22.75)","(2.3, 2.62, 2.5033333333333334)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:38.936263,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 27.1)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.32)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:39.964660,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.1875)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.32)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:40.971856,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.1875)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.32)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:42.014417,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.1875)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:43.119730,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 26.5)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:44.217343,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.25)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:45.291430,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.25)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:46.355346,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.25)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:47.365904,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.25)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:48.364703,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 26.625)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:49.390667,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 26.625)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:50.390395,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 26.75)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:51.465156,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 71.0909090909091)","(15.0, 36.0, 27.0)","(15.0, 30.0, 26.75)","(2.3, 2.62, 2.508888888888889)","(4.6, 7.8, 7.164705882352941)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:52.456127,"(6.0, 7.8, 7.0)","(26.0, 75.0, 71.92857142857143)","(15.0, 36.0, 27.0)","(15.0, 30.0, 27.916666666666668)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.7894736842105265)","(26.0, 65.0, 57.2)","(3.4, 5.6, 4.781818181818182)"
10-01-2023 20:11:53.478350,"(6.0, 7.8, 7.0)","(26.0, 75.0, 71.92857142857143)","(15.0, 36.0, 27.0)","(15.0, 30.0, 27.916666666666668)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.7894736842105265)","(26.0, 65.0, 57.2)","(3.4, 5.6, 4.781818181818182)"
10-01-2023 20:11:54.516040,"(6.0, 8.4, 8.18)","(26.0, 75.0, 71.92857142857143)","(15.0, 36.0, 27.0)","(15.0, 30.0, 27.916666666666668)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.7894736842105265)","(26.0, 65.0, 57.2)","(3.4, 5.6, 4.781818181818182)"
10-01-2023 20:11:55.559699,"(6.0, 8.4, 8.18)","(26.0, 75.0, 71.92857142857143)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.61111111111111)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.7894736842105265)","(26.0, 65.0, 57.2)","(3.4, 5.6, 4.781818181818182)"
10-01-2023 20:11:56.593925,"(6.0, 8.4, 8.18)","(26.0, 75.0, 71.92857142857143)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.61111111111111)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.7894736842105265)","(26.0, 65.0, 57.2)","(3.4, 5.6, 4.781818181818182)"
10-01-2023 20:11:57.717911,"(6.0, 8.4, 8.18)","(26.0, 75.0, 71.92857142857143)","(15.0, 36.0, 27.0)","(15.0, 30.0, 28.61111111111111)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.7894736842105265)","(26.0, 65.0, 57.2)","(3.4, 5.6, 4.781818181818182)"
10-01-2023 20:11:58.836316,"(6.0, 8.4, 8.18)","(26.0, 75.0, 85.85714285714286)","(15.0, 36.0, 20.666666666666668)","(15.0, 30.0, 28.61111111111111)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.860869565217391)","(26.0, 65.0, 57.2)","(3.4, 5.5, 4.833333333333334)"
10-01-2023 20:11:59.962827,"(6.0, 8.4, 8.18)","(26.0, 90.0, 85.85714285714286)","(15.0, 40.0, 29.0)","(15.0, 30.0, 28.61111111111111)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.969230769230769)","(26.0, 65.0, 57.2)","(3.4, 5.5, 4.833333333333334)"
10-01-2023 20:12:01.129335,"(6.0, 8.4, 8.18)","(26.0, 90.0, 85.85714285714286)","(15.0, 40.0, 29.0)","(15.0, 30.0, 28.61111111111111)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.969230769230769)","(26.0, 65.0, 57.2)","(3.4, 5.5, 4.833333333333334)"
10-01-2023 20:12:02.217278,"(6.0, 8.4, 8.0)","(26.0, 90.0, 85.85714285714286)","(15.0, 40.0, 29.0)","(15.0, 30.0, 28.75)","(2.3, 2.62, 2.512857142857143)","(4.6, 7.8, 6.860869565217391)","(26.0, 65.0, 57.2)","(3.4, 5.5, 4.814285714285714)"
10-01-2023 20:12:03.265593,"(6.0, 8.4, 7.928571428571429)","(26.0, 90.0, 48.0)","(15.0, 40.0, 21.666666666666668)","(15.0, 30.0, 22.285714285714285)","(2.3, 2.62, 2.5082758620689654)","(4.6, 7.6, 6.666666666666667)","(26.0, 65.0, 40.625)","(3.4, 5.4, 4.875)"
10-01-2023 20:12:04.379019,"(6.0, 8.6, 7.96)","(26.0, 90.0, 74.72727272727272)","(15.0, 40.0, 21.666666666666668)","(15.0, 29.0, 26.375)","(2.3, 2.6, 2.533333333333333)","(4.6, 7.6, 6.433333333333334)","(26.0, 55.0, 49.2)","(3.4, 5.4, 4.875)"
10-01-2023 20:12:05.424434,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 79.33333333333334)","(15.0, 40.0, 21.666666666666668)","(15.0, 28.0, 26.642857142857142)","(2.3, 2.6, 2.533333333333333)","(4.6, 7.6, 6.433333333333334)","(26.0, 55.0, 51.375)","(3.4, 5.2, 4.95)"
10-01-2023 20:12:06.502606,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 28.0, 25.0)","(2.3, 2.6, 2.456)","(4.6, 7.6, 6.433333333333334)","(26.0, 55.0, 51.375)","(3.4, 5.2, 4.825)"
10-01-2023 20:12:07.558845,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 28.0, 23.153846153846153)","(2.3, 2.6, 2.5311764705882354)","(4.6, 7.6, 6.433333333333334)","(26.0, 55.0, 51.375)","(3.4, 5.2, 4.7625)"
10-01-2023 20:12:08.672925,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 28.0, 23.153846153846153)","(2.3, 2.6, 2.5193103448275864)","(4.6, 7.6, 6.433333333333334)","(26.0, 55.0, 51.375)","(3.4, 5.2, 4.7625)"
10-01-2023 20:12:09.764008,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 28.0, 23.153846153846153)","(2.3, 2.6, 2.5193103448275864)","(4.6, 7.6, 6.433333333333334)","(26.0, 55.0, 51.375)","(3.4, 5.2, 4.7625)"
10-01-2023 20:12:10.787002,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 28.0, 23.153846153846153)","(2.3, 2.6, 2.5193103448275864)","(4.6, 7.6, 6.3)","(26.0, 55.0, 51.375)","(3.4, 5.2, 4.766666666666667)"
10-01-2023 20:12:11.850375,"(6.0, 8.4, 8.061538461538461)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 32.0, 27.666666666666664)","(2.3, 2.6, 2.5193103448275864)","(4.6, 7.6, 6.3)","(26.0, 55.0, 51.375)","(3.4, 5.1, 4.64)"
10-01-2023 20:12:12.930085,"(6.0, 8.4, 7.623529411764706)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.54)","(4.6, 7.6, 6.3)","(26.0, 55.0, 48.0)","(3.4, 5.0, 4.7)"
10-01-2023 20:12:14.016825,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.355555555555556)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.7)"
10-01-2023 20:12:15.144930,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.666666666666667)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.7)"
10-01-2023 20:12:16.230235,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 22.4)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:17.344196,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:18.483993,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.666666666666668)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:19.607233,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 40.0, 21.0)","(15.0, 30.0, 27.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:20.723185,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 36.0, 26.0)","(15.0, 30.0, 28.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 48.0)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:21.785680,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 76.5)","(15.0, 34.0, 26.0)","(15.0, 30.0, 28.25)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 52.272727272727266)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:22.894003,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(15.0, 30.0, 27.9)","(2.3, 2.6, 2.536756756756757)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 52.85714285714286)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:23.976379,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(15.0, 29.0, 29.192307692307693)","(2.3, 2.6, 2.535)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 40.5)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:25.193190,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.535)","(4.6, 7.6, 6.8533333333333335)","(26.0, 55.0, 40.5)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:26.348142,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.535)","(4.6, 7.6, 6.8125)","(26.0, 55.0, 40.5)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:27.468055,"(6.0, 8.2, 7.892307692307692)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.4905263157894737)","(4.6, 7.6, 7.12)","(26.0, 55.0, 40.5)","(3.4, 4.9, 4.625)"
10-01-2023 20:12:28.560002,"(6.0, 8.2, 7.6)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.4905263157894737)","(4.6, 7.6, 7.12)","(26.0, 55.0, 40.5)","(3.4, 4.9, 4.238888888888889)"
10-01-2023 20:12:29.724074,"(6.0, 8.2, 7.84)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.6, 7.12)","(26.0, 55.0, 40.5)","(3.4, 4.9, 4.366666666666667)"
10-01-2023 20:12:30.797912,"(6.0, 8.2, 7.84)","(26.0, 85.0, 70.42857142857143)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.6, 7.12)","(26.0, 55.0, 40.5)","(3.4, 4.7, 4.366666666666667)"
10-01-2023 20:12:31.822682,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.6, 7.12)","(26.0, 55.0, 40.5)","(3.4, 4.7, 4.366666666666667)"
10-01-2023 20:12:32.933613,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.6, 7.12)","(26.0, 55.0, 40.5)","(3.4, 4.7, 4.366666666666667)"
10-01-2023 20:12:34.032963,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.6, 6.952941176470588)","(26.0, 55.0, 40.5)","(3.4, 4.7, 4.3)"
10-01-2023 20:12:35.160265,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.05)","(26.0, 55.0, 40.5)","(3.4, 4.7, 4.3)"
10-01-2023 20:12:36.245791,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 6.942857142857143)","(26.0, 55.0, 41.5)","(3.4, 4.7, 4.3)"
10-01-2023 20:12:37.287525,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 6.942857142857143)","(26.0, 55.0, 38.666666666666664)","(3.4, 4.7, 4.6)"
10-01-2023 20:12:38.338426,"(6.0, 8.2, 7.84)","(26.0, 90.0, 57.333333333333336)","(15.0, 36.0, 21.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 6.942857142857143)","(26.0, 60.0, 42.22222222222222)","(3.4, 4.7, 4.5)"
10-01-2023 20:12:39.361325,"(6.0, 8.4, 8.177777777777777)","(26.0, 80.0, 72.33333333333334)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.2)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.5)"
10-01-2023 20:12:40.360460,"(6.0, 8.4, 7.569230769230769)","(26.0, 80.0, 72.33333333333334)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.2)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.366666666666666)"
10-01-2023 20:12:41.420080,"(6.0, 8.2, 7.64)","(26.0, 80.0, 72.33333333333334)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.085714285714285)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.383333333333333)"
10-01-2023 20:12:42.493812,"(6.0, 8.2, 7.453333333333333)","(26.0, 80.0, 69.0)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.466666666666667)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.383333333333333)"
10-01-2023 20:12:43.569232,"(6.0, 7.8, 7.6)","(26.0, 80.0, 71.2)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.4799999999999995)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.383333333333333)"
10-01-2023 20:12:44.566150,"(6.0, 7.8, 7.3)","(26.0, 80.0, 71.2)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.4)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.383333333333333)"
10-01-2023 20:12:45.611824,"(6.0, 7.8, 7.3)","(26.0, 80.0, 71.2)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.533333333333333)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.607692307692307)"
10-01-2023 20:12:46.580172,"(6.0, 7.8, 7.3)","(26.0, 80.0, 71.2)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.533333333333333)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.466666666666667)"
10-01-2023 20:12:47.663759,"(6.0, 7.8, 7.3)","(26.0, 80.0, 71.2)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.533333333333333)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.466666666666667)"
10-01-2023 20:12:48.738912,"(6.0, 7.8, 7.3)","(26.0, 80.0, 71.2)","(15.0, 34.0, 26.0)","(16.0, 30.0, 29.192307692307693)","(2.3, 2.6, 2.513333333333333)","(4.6, 7.8, 7.533333333333333)","(26.0, 60.0, 45.23076923076923)","(3.4, 4.8, 4.466666666666667)"
