,Roll Along Jane,Anyonewilldo,No Rushing,Redbank Harry,Screentime,Paddy Mach,Smokin Pocket,Our Rocky,Miami Surf,Hilly
09-01-2023 15:17:53.826874,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:55.508228,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:57.121562,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:58.694162,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:00.321058,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:01.841734,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:03.406855,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.3933333333333335)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:04.937525,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:06.422607,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 7.28)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:07.926548,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.266666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:09.387949,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.266666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:10.785986,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.266666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:12.213699,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.266666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:13.710046,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.266666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:15.127159,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:16.585462,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:18.030069,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:19.457588,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:20.900371,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:22.361862,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:23.747208,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:25.191061,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:26.673949,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:28.195579,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:29.723036,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:31.113840,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:32.539274,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 8.345454545454546)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:33.954360,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.5, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:35.377327,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:36.865248,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:38.306855,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:39.663939,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:18:41.129639,"(5.0, 7.8, 6.6)","(51.0, 210.0, 163.14285714285714)","(15.0, 30.0, 24.666666666666664)","(3.7, 5.7, 4.3)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 12.5, 8.566666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
