,Marinus,Choose Well,Demon Kingsbrae,Magic Secret,Amber Jack,Magic Charm,Paxton Dutton
05-01-2023 13:18:36.221941,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:37.516454,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:39.105107,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:40.351842,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:41.432061,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:42.645129,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:44.178795,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:45.578987,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:47.317188,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:48.866229,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:50.232202,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:51.594712,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:52.981811,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:54.484849,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:55.789703,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:57.024711,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:58.077354,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:18:59.199447,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:00.286644,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:01.473660,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:02.900356,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:04.156653,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:05.302325,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:06.476953,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.0)"
05-01-2023 13:19:07.747172,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:19:08.970301,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 6.4, 7.08)"
05-01-2023 13:19:10.199457,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.8, 5.5600000000000005)"
05-01-2023 13:19:11.367156,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.6, 6.76)"
05-01-2023 13:19:12.422375,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:13.460183,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:14.468698,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:15.534240,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:16.627683,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:17.738091,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:18.884323,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:19.952781,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
05-01-2023 13:19:20.951704,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.6, 8.942857142857143)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 95.0, 85.0)","(71.0, 580.0, 325.0)","(4.6, 7.4, 6.76)"
