,Chip Rock,Arrogant Benji,Spanish Sundance,Five Mile Rose,Sassy Sal,Go Forward Ray,Rutland Georgia,Sketchy Combat
12-01-2023 17:14:13.467185,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:14.475600,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:15.548828,"(2.7, 4.7, 4.5)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:16.642429,"(2.7, 4.7, 4.45)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.6166666666666667)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:17.714251,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.4)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.6500000000000004)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:18.798340,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 60.0, 39.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 447.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:19.885783,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.325)","(17.0, 60.0, 39.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 490.0, 447.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:20.975797,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 48.0, 23.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 490.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:22.063498,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.466666666666667)","(17.0, 46.0, 32.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.785714285714285)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:23.142627,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.325)","(17.0, 46.0, 32.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.6875)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:24.229250,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:25.249263,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:26.303851,"(2.7, 4.7, 4.575)","(6.5, 10.5, 7.875)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:27.357771,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:28.384448,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:29.450944,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:30.520775,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.75)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:31.610250,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:32.684281,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:33.787490,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 50.0, 34.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:35.185547,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 50.0, 26.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:36.265077,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 50.0, 26.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 232.5)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:37.351781,"(2.7, 4.7, 4.575)","(6.5, 10.5, 9.51)","(17.0, 50.0, 22.57142857142857)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 400.0, 277.5)","(5.5, 9.6, 8.96)"
12-01-2023 17:14:38.458135,"(2.7, 4.7, 4.575)","(6.5, 10.5, 7.875)","(17.0, 50.0, 22.57142857142857)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 490.0, 277.5)","(5.5, 9.6, 8.96)"
12-01-2023 17:14:39.585599,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 46.0, 32.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 490.0, 277.5)","(5.5, 9.6, 8.96)"
12-01-2023 17:14:40.590043,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.75)","(17.0, 46.0, 32.0)","(3.3, 3.9, 3.75)","(11.0, 14.0, 13.375)","(7.5, 12.5, 11.56)","(71.0, 490.0, 277.5)","(5.5, 9.6, 8.96)"
12-01-2023 17:14:41.708669,"(2.7, 4.7, 4.575)","(6.5, 10.5, 8.175)","(17.0, 46.0, 32.0)","(3.3, 3.9, 3.81)","(11.0, 14.0, 13.807692307692308)","(7.5, 12.5, 10.854545454545455)","(71.0, 490.0, 112.22222222222223)","(5.5, 9.6, 7.377777777777778)"
12-01-2023 17:14:42.876762,"(2.7, 4.7, 4.347058823529411)","(6.5, 8.4, 7.846153846153847)","(17.0, 46.0, 38.75)","(3.3, 3.9, 3.84)","(11.0, 14.0, 13.5)","(7.5, 12.0, 11.088888888888889)","(71.0, 490.0, 115.625)","(5.5, 8.6, 7.4)"
12-01-2023 17:14:43.973906,"(2.7, 4.6, 4.466666666666666)","(6.5, 10.5, 8.95)","(17.0, 44.0, 34.0625)","(3.3, 3.9, 3.775)","(11.0, 14.0, 13.5)","(7.5, 11.5, 10.485714285714286)","(71.0, 470.0, 190.0)","(5.5, 8.4, 8.0)"
12-01-2023 17:14:45.230064,"(2.7, 4.6, 4.377777777777777)","(6.5, 10.5, 10.0875)","(17.0, 44.0, 26.964285714285715)","(3.3, 3.9, 3.7)","(11.0, 14.0, 13.5)","(7.5, 12.5, 10.045454545454545)","(71.0, 440.0, 118.57142857142857)","(5.5, 9.6, 8.0)"
12-01-2023 17:14:46.353441,"(2.7, 4.6, 4.377777777777777)","(6.5, 10.5, 8.95)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.9, 3.7)","(11.0, 14.0, 13.5)","(7.5, 12.5, 9.274999999999999)","(71.0, 440.0, 232.5)","(5.5, 9.6, 8.100000000000001)"
12-01-2023 17:14:47.391030,"(2.7, 4.6, 4.377777777777777)","(6.5, 9.8, 9.475000000000001)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.9, 3.7)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.425)","(71.0, 400.0, 173.33333333333331)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:48.477854,"(2.7, 4.6, 4.377777777777777)","(6.5, 10.5, 7.583333333333333)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.9, 3.7)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.425)","(71.0, 390.0, 130.0)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:49.723162,"(2.7, 4.6, 4.377777777777777)","(6.5, 10.5, 8.95)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.9, 3.7)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.507692307692308)","(71.0, 390.0, 130.0)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:50.823362,"(2.7, 4.6, 4.377777777777777)","(6.5, 10.5, 8.75)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.9, 3.7)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 390.0, 141.25)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:52.091463,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 10.0875)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.85, 3.683333333333333)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 126.0)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:53.193296,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 10.0875)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.683333333333333)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 103.125)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:54.343978,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 8.95)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 103.125)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:55.440306,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 10.0875)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 103.125)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:56.490497,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 10.0875)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 266.6666666666667)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:57.453106,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 10.19)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 266.6666666666667)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:58.650098,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 10.19)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 266.6666666666667)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:14:59.716260,"(2.7, 4.6, 4.292307692307692)","(6.5, 10.5, 9.05)","(17.0, 42.0, 37.916666666666664)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 103.125)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:00.783012,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 38.0, 34.58333333333333)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 103.125)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:01.757776,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 38.0, 34.58333333333333)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 88.46153846153845)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:02.827680,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 38.0, 34.58333333333333)","(3.3, 3.8, 3.4966666666666666)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 370.0, 156.66666666666669)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:04.083858,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 38.0, 34.58333333333333)","(3.3, 3.8, 3.5333333333333337)","(11.0, 14.0, 13.166666666666666)","(7.5, 12.5, 10.8875)","(71.0, 340.0, 197.5)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:05.182061,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 38.0, 34.58333333333333)","(3.3, 3.7, 3.5333333333333337)","(11.0, 14.0, 12.31081081081081)","(7.5, 12.5, 9.9)","(71.0, 330.0, 187.5)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:06.218036,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 34.0, 30.0)","(3.3, 3.7, 3.446153846153846)","(11.0, 14.0, 12.31081081081081)","(7.5, 12.5, 10.029411764705882)","(71.0, 310.0, 126.25)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:07.301843,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 34.0, 30.0)","(3.3, 3.7, 3.4428571428571426)","(11.0, 14.0, 12.31081081081081)","(7.5, 12.5, 10.166666666666666)","(71.0, 310.0, 126.25)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:08.484025,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 34.0, 30.0)","(3.3, 3.7, 3.4187499999999997)","(11.0, 14.0, 12.31081081081081)","(7.5, 12.5, 9.394117647058822)","(71.0, 310.0, 182.5)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:09.587036,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 32.0, 27.125)","(3.3, 3.7, 3.4187499999999997)","(11.0, 14.0, 12.31081081081081)","(7.5, 12.5, 9.453846153846154)","(71.0, 300.0, 121.25)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:10.634263,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 30.0, 28.357142857142858)","(3.3, 3.7, 3.4187499999999997)","(11.0, 14.0, 12.31081081081081)","(7.5, 12.5, 9.453846153846154)","(71.0, 290.0, 110.0)","(5.5, 9.8, 8.100000000000001)"
12-01-2023 17:15:11.663272,"(2.7, 4.6, 4.2785714285714285)","(6.5, 10.5, 9.05)","(17.0, 29.0, 26.375)","(3.3, 3.7, 3.4187499999999997)","(11.0, 13.5, 12.0)","(7.5, 12.5, 9.453846153846154)","(71.0, 290.0, 110.0)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:12.877296,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 29.0, 25.666666666666668)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.5)","(7.5, 12.5, 9.453846153846154)","(71.0, 290.0, 110.0)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:13.995325,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 29.0, 26.785714285714285)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.2)","(7.5, 12.5, 9.453846153846154)","(71.0, 290.0, 172.5)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:15.149462,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 28.0, 26.785714285714285)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.2)","(7.5, 12.5, 9.453846153846154)","(71.0, 280.0, 172.5)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:16.232823,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 28.0, 26.785714285714285)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.2)","(7.5, 12.5, 9.453846153846154)","(71.0, 280.0, 172.5)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:17.306130,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 28.0, 26.423076923076923)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.2)","(7.5, 12.5, 9.453846153846154)","(71.0, 280.0, 172.5)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:18.387313,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 26.423076923076923)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.2)","(7.5, 12.5, 9.453846153846154)","(71.0, 280.0, 253.125)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:19.425311,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.833333333333336)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 11.2)","(7.5, 12.5, 9.453846153846154)","(71.0, 280.0, 258.5)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:20.473711,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 24.6)","(3.3, 3.7, 3.4206896551724135)","(11.0, 13.0, 12.0)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:21.577240,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 24.6)","(3.3, 3.7, 3.4206896551724135)","(11.0, 12.5, 12.0)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:22.669006,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.428571428571429)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:23.708038,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.428571428571429)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 8.666666666666668)"
12-01-2023 17:15:24.782416,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.428571428571429)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 9.314285714285715)"
12-01-2023 17:15:25.795941,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 9.314285714285715)"
12-01-2023 17:15:26.812103,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 9.314285714285715)"
12-01-2023 17:15:27.883596,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:28.918830,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 256.1111111111111)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:30.033444,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 211.66666666666666)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:31.117675,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 180.0)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:32.287031,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 180.0)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:33.374271,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 180.0)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:34.380797,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 180.0)","(5.5, 9.8, 9.682758620689656)"
12-01-2023 17:15:35.398761,"(2.7, 4.6, 4.3)","(6.5, 10.5, 9.533333333333333)","(17.0, 27.0, 25.0)","(3.3, 3.7, 3.4290322580645163)","(11.0, 12.5, 11.2)","(7.5, 12.5, 9.435714285714285)","(71.0, 280.0, 180.0)","(5.5, 9.8, 9.682758620689656)"
