,Market Mate,Bring Me Roses,Max Inferno,Trip Me Up,Akuna Street,Mystical Skye,Gunai Redeemer,Mini Mango
12-01-2023 08:01:24.612508,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:25.654516,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:26.898061,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:28.051840,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:29.181413,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:30.263259,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:31.457066,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:32.543853,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:33.595378,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:34.629540,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:35.718156,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:36.845470,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:37.985587,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:39.041600,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:40.176818,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:41.277830,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:42.300347,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:43.340319,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:44.405637,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:45.423722,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:46.489653,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:47.627070,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:48.800887,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:49.915059,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:51.025152,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:52.076356,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:53.161936,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:54.236074,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:55.291732,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:56.368699,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:57.581883,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:58.657547,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:59.725807,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:00.809328,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:01.926795,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:03.091785,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:04.295054,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 13.028571428571428)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 13.625)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:05.413927,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 13.028571428571428)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 13.575)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:06.487252,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.5)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 13.575)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:02:07.639532,"(5.5, 9.8, 8.008333333333333)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.5)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 13.575)","(3.2, 4.6, 3.5)","(4.6, 7.2, 7.0285714285714285)"
12-01-2023 08:02:08.742683,"(5.5, 9.8, 7.65)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:09.825983,"(5.5, 9.8, 7.65)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:10.989780,"(5.5, 9.8, 7.65)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:12.074316,"(5.5, 9.8, 7.65)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 13.028571428571428)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:13.234401,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.5)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:14.359694,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:15.462798,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.5)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:16.576428,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:17.684148,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:18.736939,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:19.773654,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:20.821933,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:21.905981,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:22.917474,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:23.931938,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:25.015752,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
12-01-2023 08:02:26.068354,"(5.5, 9.8, 7.063636363636364)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.68)","(51.0, 440.0, 78.83333333333334)","(7.5, 15.0, 11.2)","(7.5, 15.5, 14.0)","(3.2, 4.6, 3.5)","(4.6, 7.4, 7.0285714285714285)"
