,Elusive Eagle,Swan Island,Arthur In Charge,Turboart,Wait A Minute,Dont Diss Around,The Power Of One,Expensive To Keep,Secret Cash,Got The Lot
05-01-2023 16:50:55.492007,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.847999999999999)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.2)","(12.0, 20.0, 18.1875)","(3.5, 3.95, 3.9390322580645165)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:56.705045,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.847999999999999)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 19.5, 18.083333333333332)","(3.5, 3.95, 3.9390322580645165)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:57.964800,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.831818181818182)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 19.5, 18.083333333333332)","(3.5, 3.95, 3.9390322580645165)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:59.197224,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.831818181818182)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 19.5, 18.083333333333332)","(3.5, 3.95, 3.9390322580645165)","(41.0, 95.0, 87.0)"
05-01-2023 16:51:00.432599,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.831818181818182)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 18.0, 17.625)","(3.5, 3.95, 3.9390322580645165)","(41.0, 90.0, 86.15384615384616)"
05-01-2023 16:51:01.708216,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.831818181818182)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 18.0, 17.625)","(3.5, 3.95, 3.9390322580645165)","(41.0, 85.0, 81.92307692307692)"
05-01-2023 16:51:02.924036,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.831818181818182)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 18.0, 17.625)","(3.5, 3.95, 3.9390322580645165)","(41.0, 85.0, 81.92307692307692)"
05-01-2023 16:51:04.445615,"(11.0, 14.0, 13.368421052631579)","(20.0, 30.0, 30.285714285714285)","(8.5, 10.0, 9.831818181818182)","(2.9, 3.65, 3.58)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.15)","(19.0, 32.0, 31.764705882352942)","(12.0, 18.0, 17.596153846153847)","(3.5, 3.95, 3.9189655172413795)","(41.0, 85.0, 81.92307692307692)"
05-01-2023 16:51:05.944729,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 30.0)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.6, 3.569642857142857)","(61.0, 75.0, 72.5)","(4.8, 7.6, 7.368421052631579)","(21.0, 32.0, 31.764705882352942)","(12.0, 17.5, 16.5)","(3.5, 3.95, 3.9388198757763977)","(41.0, 85.0, 75.0)"
05-01-2023 16:51:07.311668,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 30.46153846153846)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.6, 3.569642857142857)","(61.0, 75.0, 72.5)","(4.8, 7.6, 7.368421052631579)","(21.0, 32.0, 31.764705882352942)","(12.0, 17.5, 16.26923076923077)","(3.5, 3.95, 3.9388198757763977)","(41.0, 85.0, 85.55555555555556)"
05-01-2023 16:51:08.788820,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.238095238095237)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.6, 3.623913043478261)","(61.0, 75.0, 72.5)","(4.8, 7.6, 7.368421052631579)","(20.0, 32.0, 31.764705882352942)","(12.0, 17.5, 16.227272727272727)","(3.5, 3.95, 3.891566265060241)","(41.0, 90.0, 86.66666666666667)"
05-01-2023 16:51:10.222905,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.238095238095237)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.621621621621622)","(61.0, 75.0, 72.5)","(4.8, 7.6, 7.300000000000001)","(20.0, 32.0, 31.764705882352942)","(12.0, 17.5, 15.852941176470589)","(3.5, 3.9, 3.895394736842105)","(41.0, 90.0, 86.66666666666667)"
05-01-2023 16:51:11.880385,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.7, 3.6121212121212123)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.252631578947368)","(20.0, 32.0, 31.764705882352942)","(12.0, 17.5, 15.852941176470589)","(3.5, 3.9, 3.937341772151899)","(41.0, 90.0, 86.66666666666667)"
05-01-2023 16:51:13.549502,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.6121212121212123)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.252631578947368)","(20.0, 32.0, 31.764705882352942)","(12.0, 17.5, 16.166666666666668)","(3.5, 3.95, 3.934375)","(41.0, 90.0, 86.66666666666667)"
05-01-2023 16:51:14.948438,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.5971698113207546)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.82608695652174)","(12.0, 17.5, 15.67142857142857)","(3.5, 3.95, 3.9358695652173914)","(41.0, 90.0, 86.66666666666667)"
05-01-2023 16:51:16.303675,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.592948717948718)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.82608695652174)","(12.0, 17.5, 15.928571428571429)","(3.5, 3.95, 3.9657142857142857)","(41.0, 90.0, 85.71428571428571)"
05-01-2023 16:51:17.651826,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.6, 3.592948717948718)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.82608695652174)","(12.0, 16.5, 15.60344827586207)","(3.5, 4.0, 3.963076923076923)","(41.0, 90.0, 87.5)"
05-01-2023 16:51:18.859113,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.6, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.82608695652174)","(12.0, 16.5, 15.722222222222221)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.5)"
05-01-2023 16:51:20.070730,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.82608695652174)","(12.0, 16.0, 15.761904761904763)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:21.284448,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 16.0, 15.6875)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:22.490271,"(11.0, 13.5, 13.368421052631579)","(20.0, 32.0, 31.842105263157894)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 16.0, 15.392857142857142)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:23.839339,"(11.0, 13.5, 13.368421052631579)","(20.0, 34.0, 31.41176470588235)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 16.0, 15.392857142857142)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:25.191581,"(11.0, 13.5, 13.368421052631579)","(20.0, 34.0, 32.31578947368421)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 16.0, 15.392857142857142)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:26.501340,"(11.0, 13.5, 13.368421052631579)","(20.0, 34.0, 32.31578947368421)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 16.0, 15.38888888888889)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:27.740527,"(11.0, 13.5, 13.368421052631579)","(20.0, 34.0, 32.31578947368421)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 15.5, 15.291666666666666)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:28.994903,"(11.0, 13.5, 13.368421052631579)","(20.0, 34.0, 32.31578947368421)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 15.5, 15.25)","(3.5, 4.0, 3.9694915254237286)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:30.226214,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.77777777777778)","(12.0, 15.5, 15.166666666666666)","(3.5, 4.0, 3.966666666666667)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:31.582648,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.966666666666667)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:32.850125,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.966666666666667)","(41.0, 90.0, 87.6923076923077)"
05-01-2023 16:51:34.289379,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.966666666666667)","(41.0, 110.0, 91.1764705882353)"
05-01-2023 16:51:35.552888,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.966666666666667)","(41.0, 100.0, 91.1764705882353)"
05-01-2023 16:51:36.821633,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.966666666666667)","(41.0, 100.0, 91.1764705882353)"
05-01-2023 16:51:38.131259,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.966666666666667)","(41.0, 100.0, 91.1764705882353)"
05-01-2023 16:51:39.387656,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.0625)","(3.5, 4.0, 3.966666666666667)","(41.0, 100.0, 91.1764705882353)"
05-01-2023 16:51:40.706060,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 32.666666666666664)","(8.5, 10.0, 9.772222222222222)","(2.9, 3.65, 3.604471544715447)","(61.0, 75.0, 72.5)","(4.8, 7.4, 7.309677419354839)","(20.0, 32.0, 31.733333333333334)","(12.0, 15.5, 15.0625)","(3.5, 4.0, 3.966666666666667)","(41.0, 100.0, 91.1764705882353)"
05-01-2023 16:51:41.962570,"(11.0, 13.5, 13.395833333333334)","(20.0, 34.0, 33.2)","(8.5, 10.0, 9.9)","(2.9, 3.65, 3.612162162162162)","(61.0, 75.0, 76.0)","(4.8, 7.4, 7.561111111111111)","(20.0, 32.0, 34.875)","(12.0, 15.5, 15.083333333333334)","(3.5, 4.0, 3.970967741935484)","(41.0, 100.0, 90.0)"
05-01-2023 16:51:43.228856,"(11.0, 14.0, 13.351851851851851)","(20.0, 38.0, 33.2)","(8.5, 10.0, 9.9)","(2.9, 3.65, 3.612162162162162)","(61.0, 100.0, 90.0)","(4.8, 7.6, 7.1)","(20.0, 36.0, 35.714285714285715)","(12.0, 15.5, 15.155172413793103)","(3.5, 4.0, 3.9360465116279073)","(41.0, 100.0, 96.0)"
05-01-2023 16:51:44.415386,"(11.0, 14.0, 13.442307692307692)","(20.0, 38.0, 35.15)","(8.5, 10.0, 9.860000000000001)","(2.9, 3.6, 3.588953488372093)","(61.0, 110.0, 88.82352941176471)","(4.8, 7.2, 7.1)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.5, 14.705882352941176)","(3.5, 3.95, 3.9694915254237286)","(41.0, 100.0, 96.25)"
05-01-2023 16:51:45.701236,"(11.0, 14.0, 13.569444444444445)","(20.0, 38.0, 35.073170731707314)","(8.5, 10.0, 9.851428571428572)","(2.9, 3.65, 3.6316993464052287)","(61.0, 110.0, 88.82352941176471)","(4.8, 7.2, 7.0588235294117645)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.0, 14.6)","(3.5, 4.0, 3.9694915254237286)","(41.0, 100.0, 96.25)"
05-01-2023 16:51:46.919962,"(11.0, 14.0, 13.569444444444445)","(20.0, 38.0, 35.073170731707314)","(8.5, 10.0, 9.860000000000001)","(2.9, 3.65, 3.604471544715447)","(61.0, 110.0, 88.82352941176471)","(4.8, 7.2, 7.0588235294117645)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.0, 14.84)","(3.5, 4.0, 3.9694915254237286)","(41.0, 100.0, 98.46153846153845)"
05-01-2023 16:51:48.234584,"(11.0, 14.0, 13.569444444444445)","(20.0, 38.0, 35.073170731707314)","(8.5, 10.0, 9.860000000000001)","(2.9, 3.65, 3.6007575757575756)","(61.0, 110.0, 88.82352941176471)","(4.8, 7.2, 7.04516129032258)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.0, 15.1)","(3.5, 4.0, 3.9694915254237286)","(41.0, 110.0, 98.46153846153845)"
05-01-2023 16:51:49.587429,"(11.0, 14.0, 13.311111111111112)","(20.0, 36.0, 35.5)","(8.5, 10.0, 9.777777777777777)","(2.9, 3.65, 3.5996296296296295)","(61.0, 110.0, 88.82352941176471)","(4.8, 7.2, 7.04516129032258)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.9694915254237286)","(41.0, 110.0, 102.85714285714286)"
05-01-2023 16:51:51.080023,"(11.0, 14.0, 13.354166666666666)","(20.0, 36.0, 35.5)","(8.5, 10.0, 9.76)","(2.9, 3.65, 3.5885057471264368)","(61.0, 110.0, 94.0)","(4.8, 7.2, 7.300000000000001)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.9694915254237286)","(41.0, 110.0, 102.85714285714286)"
05-01-2023 16:51:52.478114,"(11.0, 14.0, 13.354166666666666)","(20.0, 36.0, 35.5)","(8.5, 9.8, 9.76)","(2.9, 3.6, 3.5885057471264368)","(61.0, 100.0, 94.0)","(4.8, 7.4, 7.300000000000001)","(20.0, 36.0, 35.45454545454545)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.9694915254237286)","(41.0, 110.0, 102.85714285714286)"
05-01-2023 16:51:53.851969,"(11.0, 14.0, 13.311111111111112)","(20.0, 36.0, 35.42857142857143)","(8.5, 9.8, 9.76)","(2.9, 3.65, 3.601145038167939)","(61.0, 95.0, 90.0)","(4.8, 7.4, 7.280769230769231)","(20.0, 36.0, 34.857142857142854)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.9694915254237286)","(41.0, 110.0, 102.85714285714286)"
05-01-2023 16:51:55.114057,"(11.0, 14.0, 13.311111111111112)","(20.0, 36.0, 35.42857142857143)","(8.5, 9.8, 9.76)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 88.18181818181819)","(4.8, 7.2, 7.228571428571429)","(20.0, 36.0, 34.857142857142854)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.966666666666667)","(41.0, 110.0, 102.85714285714286)"
05-01-2023 16:51:56.452642,"(11.0, 14.0, 13.311111111111112)","(20.0, 36.0, 35.42857142857143)","(8.5, 9.8, 9.76)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 88.18181818181819)","(4.8, 7.4, 7.228571428571429)","(20.0, 36.0, 34.857142857142854)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.973134328358209)","(41.0, 110.0, 94.61538461538461)"
05-01-2023 16:51:57.786870,"(11.0, 14.0, 13.311111111111112)","(20.0, 36.0, 35.42857142857143)","(8.5, 9.8, 9.76)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 88.18181818181819)","(4.8, 7.4, 7.24)","(20.0, 36.0, 35.27272727272727)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.973134328358209)","(41.0, 110.0, 97.5)"
05-01-2023 16:51:59.042546,"(11.0, 14.0, 13.311111111111112)","(20.0, 36.0, 35.42857142857143)","(8.5, 9.8, 9.76)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 88.18181818181819)","(4.8, 7.6, 7.438461538461539)","(20.0, 36.0, 34.857142857142854)","(12.0, 15.5, 15.052631578947368)","(3.5, 4.0, 3.973134328358209)","(41.0, 110.0, 97.5)"
05-01-2023 16:52:00.351423,"(11.0, 14.0, 13.394736842105264)","(20.0, 36.0, 35.46666666666667)","(8.5, 9.8, 9.76842105263158)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 86.66666666666667)","(4.8, 7.6, 7.409090909090909)","(20.0, 36.0, 34.857142857142854)","(12.0, 15.5, 14.0)","(3.5, 4.0, 3.9653846153846155)","(41.0, 110.0, 97.5)"
05-01-2023 16:52:01.504458,"(11.0, 13.5, 13.394736842105264)","(20.0, 36.0, 35.46666666666667)","(8.5, 10.0, 9.76842105263158)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 86.66666666666667)","(4.8, 7.6, 7.409090909090909)","(20.0, 36.0, 34.857142857142854)","(12.0, 14.5, 14.0)","(3.5, 4.0, 3.9653846153846155)","(41.0, 110.0, 100.38461538461539)"
05-01-2023 16:52:02.816802,"(11.0, 13.5, 13.394736842105264)","(20.0, 36.0, 34.93333333333333)","(8.5, 10.0, 9.746153846153845)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 79.61538461538461)","(4.8, 7.6, 7.409090909090909)","(20.0, 36.0, 34.857142857142854)","(12.0, 14.5, 13.766666666666667)","(3.5, 4.0, 3.9653846153846155)","(41.0, 110.0, 100.38461538461539)"
05-01-2023 16:52:04.058022,"(11.0, 13.5, 13.394736842105264)","(20.0, 36.0, 34.93333333333333)","(8.5, 10.0, 9.746153846153845)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 79.61538461538461)","(4.8, 7.6, 7.438461538461539)","(20.0, 36.0, 35.27272727272727)","(12.0, 14.5, 13.766666666666667)","(3.5, 4.0, 3.9653846153846155)","(41.0, 110.0, 100.38461538461539)"
05-01-2023 16:52:05.541154,"(11.0, 13.5, 13.394736842105264)","(20.0, 36.0, 34.93333333333333)","(8.5, 10.0, 9.746153846153845)","(2.9, 3.65, 3.5996296296296295)","(61.0, 95.0, 86.66666666666667)","(4.8, 7.6, 7.438461538461539)","(20.0, 36.0, 35.27272727272727)","(12.0, 14.5, 13.766666666666667)","(3.5, 4.0, 3.9653846153846155)","(41.0, 110.0, 100.38461538461539)"
05-01-2023 16:52:06.723812,"(11.0, 13.5, 13.394736842105264)","(20.0, 36.0, 34.93333333333333)","(8.5, 10.0, 9.746153846153845)","(2.9, 3.65, 3.5996296296296295)","(61.0, 90.0, 72.77777777777777)","(4.8, 7.6, 7.493333333333333)","(20.0, 36.0, 35.27272727272727)","(12.0, 14.5, 13.766666666666667)","(3.5, 4.0, 3.915)","(41.0, 110.0, 100.0)"
