,Alta Queen,Moonlightsshadow,Alta Hurrah Nz,Dwayne,Pocket The Change Nz,All Black Rain,Mister Montblanc
10-01-2023 18:04:46.726684,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:47.857483,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:48.913437,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:49.907018,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:50.924760,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:52.125230,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:53.315113,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:54.529454,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:55.752044,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:56.973612,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:58.112137,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:04:59.256087,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:05:00.373360,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.076)"
10-01-2023 18:05:01.444305,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.092)"
10-01-2023 18:05:02.480863,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.092)"
10-01-2023 18:05:03.542168,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.096)"
10-01-2023 18:05:04.588163,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.096)"
10-01-2023 18:05:05.686232,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.096)"
10-01-2023 18:05:06.763146,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.096)"
10-01-2023 18:05:07.799055,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.096)"
10-01-2023 18:05:08.957485,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.096)"
10-01-2023 18:05:10.119352,"(3.9, 5.9, 5.42)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 2.9000000000000004)"
10-01-2023 18:05:11.308601,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:12.477010,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:13.623709,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:14.799006,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:15.863975,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:16.919235,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:17.876256,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:18.929556,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:20.040403,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:21.209293,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:22.421744,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:23.661314,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:24.875398,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:26.073734,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:27.381768,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:28.690207,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:29.937423,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:31.215564,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:32.431081,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:33.662413,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:34.890260,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:36.021729,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:37.149290,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:38.238398,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:39.342339,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 201.8181818181818)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:40.501527,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:41.674160,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:42.933051,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:44.214463,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:45.500472,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:46.712356,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:47.876143,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:48.996017,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:50.112909,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:51.203087,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:52.315923,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:53.416964,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:54.542791,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:55.645809,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:56.724361,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:57.784896,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:05:58.920081,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:00.057840,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:01.214414,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:02.464430,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:03.692840,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:04.902696,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:06.075842,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:07.193744,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:08.224520,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:09.269639,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:10.392606,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:11.604598,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:12.722044,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:13.905181,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:15.047371,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:16.197664,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:17.274791,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:18.402081,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:19.416836,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:20.544234,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:21.587979,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:22.703873,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:23.754941,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:24.864151,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:26.008140,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
10-01-2023 18:06:27.099357,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 192.0)","(2.35, 99999, 99990)","(101.0, 220.0, 197.14285714285714)","(2.35, 3.2, 3.125)"
