,Was That Then,Randall,Nitro Beau,Highgate Lass,Our Charlie Boy,Hot Danger,Dewana Gem,Posh Danger
22,"[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 102690), 4.8, 8.6]"
23,"[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 231950), 4.8, 8.6]"
24,"[datetime.datetime(2022, 11, 28, 18, 18, 26, 372652), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 26, 373651), 4.8, 8.6]"
25,"[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 27, 519823), 4.8, 8.6]"
26,"[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 28, 667718), 4.8, 8.6]"
27,"[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 29, 804596), 4.8, 8.6]"
28,"[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 30, 950717), 4.8, 8.6]"
29,"[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 32, 103400), 4.8, 8.6]"
30,"[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 33, 262733), 4.8, 8.6]"
31,"[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 34, 421899), 4.8, 8.6]"
32,"[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 35, 557712), 4.8, 8.6]"
33,"[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 36, 689129), 4.8, 8.6]"
34,"[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 37, 817464), 4.8, 8.6]"
35,"[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 38, 946053), 4.8, 8.6]"
36,"[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 40, 75919), 4.8, 8.6]"
37,"[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 41, 209989), 4.8, 8.6]"
38,"[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 42, 335088), 4.8, 8.6]"
39,"[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 43, 459187), 4.8, 8.6]"
