,Supasonic Romeo,Marlie On Fire,Bailing Out,Way Too Much,Champaign Dame,Spiteful Miss,Pepperberry
11-01-2023 19:54:40.733014,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:41.812706,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:42.842702,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:43.898551,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:44.950612,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:46.053668,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:47.181567,"(10.0, 38.0, 33.416666666666664)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:48.236023,"(10.0, 38.0, 24.5)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:49.177592,"(10.0, 38.0, 24.5)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:50.257651,"(10.0, 38.0, 24.5)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:51.333867,"(10.0, 38.0, 24.5)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:52.394901,"(10.0, 38.0, 24.5)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:53.498440,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:54.514401,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:55.627513,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:56.812009,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:57.980701,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:59.017256,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:59.937616,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:00.952061,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:02.057066,"(10.0, 38.0, 30.428571428571427)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:03.153902,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:04.179265,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:05.268389,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:06.474845,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:07.708382,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:08.903945,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:09.997671,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:11.077522,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:12.267409,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:13.451472,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:14.609177,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:15.779383,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:16.783077,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:17.802031,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:18.964596,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:20.064130,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:21.077730,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:22.102696,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:23.207661,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:24.343424,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:25.446072,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:26.554655,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:27.584274,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:28.677623,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:29.810349,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:30.955538,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:32.015945,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:32.965345,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:34.163774,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:35.321261,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:36.429043,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:37.536177,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:38.556775,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:39.642999,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:40.792178,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:41.943532,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:43.001186,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:43.928070,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:45.040410,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:46.240073,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:47.462381,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:48.593901,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:49.791749,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:55:50.975650,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
