,Benji Nz,Miss Lamarr,Mandoza Nz,Misstiano,Gee Jay Kay,Christmas Toyboy Nz,Good Times Ahead Nz,Stormyskyes,Gold Horseshoe
20,"[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 292047), 41.0, 100.0]"
21,"[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 505014), 41.0, 100.0]"
22,"[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 751077), 41.0, 100.0]"
23,"[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 37, 39671), 41.0, 100.0]"
24,"[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 38, 287584), 41.0, 100.0]"
25,"[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 39, 510441), 41.0, 100.0]"
26,"[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 40, 733618), 41.0, 100.0]"
27,"[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 41, 970438), 41.0, 100.0]"
28,"[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 43, 201627), 41.0, 100.0]"
29,"[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 5.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 44, 509702), 41.0, 100.0]"
