,My Mate Phil,Mighty Miners,Stolen Jade,Tony Pepperoni,Red Hill,Hes Got Swagger,Working Bee
20,"[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 50, 670128), 51.0, 510.0]"
21,"[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 51, 811935), 51.0, 510.0]"
22,"[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 52, 936792), 51.0, 510.0]"
23,"[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 54, 63010), 51.0, 510.0]"
24,"[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 55, 177282), 51.0, 510.0]"
25,"[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 56, 299639), 51.0, 510.0]"
26,"[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 57, 411981), 51.0, 510.0]"
27,"[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 58, 537625), 51.0, 510.0]"
28,"[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 59, 654855), 51.0, 510.0]"
29,"[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 0, 772166), 51.0, 510.0]"
