,Animal,Victory Medal Nz,Arthur Lowe Nz,Alakazam,Premonition,Clarenden Envoy,Steam Cleaned
07-01-2023 21:06:39.138627,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:40.210603,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:41.267049,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:42.383633,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:43.529597,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:44.652818,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:45.801271,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:46.910743,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:47.992453,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:48.987714,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:50.006303,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:51.112618,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:52.308788,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:53.532286,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:54.994693,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:56.691587,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:57.987769,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:06:59.113296,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:00.249193,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:01.469298,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:02.568158,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:03.704424,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:04.871574,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:06.117600,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:07.343227,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:08.503985,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:09.774119,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:10.996955,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:12.107330,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.666666666666668)"
07-01-2023 21:07:13.335495,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 18.333333333333332)"
07-01-2023 21:07:14.429159,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 18.333333333333332)"
07-01-2023 21:07:15.689666,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 16.2)"
07-01-2023 21:07:17.010774,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 16.2)"
07-01-2023 21:07:18.177106,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 16.2)"
07-01-2023 21:07:19.377223,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 16.2)"
07-01-2023 21:07:20.510996,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 16.2)"
07-01-2023 21:07:21.720143,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 21.0, 16.2)"
07-01-2023 21:07:22.861004,"(1.4, 1.62, 1.605625)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:23.965744,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:25.040218,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:26.096734,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:27.320960,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:28.555003,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:29.675941,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:30.840807,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:32.070827,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:33.183610,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:34.270857,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:35.331185,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:36.345490,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:37.418335,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:38.431636,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:39.566744,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:40.741436,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:41.865973,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:43.234556,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:44.502521,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:45.622221,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:46.638431,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:47.696617,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:48.799793,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:49.893527,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:50.964145,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:52.043365,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:53.135211,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:54.299596,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:55.356269,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:56.440123,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:57.416686,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
07-01-2023 21:07:58.702542,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.466666666666667)","(11.0, 21.0, 16.636363636363637)"
