,Titans,Obsessive Nature,Tax Free Prophet,Areyoulistening,Strapparsi,Make An Effort,Delightful Icing
08-01-2023 16:21:11.247639,"(5.5, 6.0, 5.938823529411764)","(11.0, 15.5, 14.557142857142857)","(2.15, 2.42, 2.36625)","(10.0, 11.5, 11.397435897435898)","(5.5, 6.6, 6.542857142857143)","(12.0, 14.5, 14.166666666666666)","(41.0, 70.0, 62.0)"
08-01-2023 16:21:12.189454,"(5.5, 6.0, 5.938823529411764)","(11.0, 15.5, 14.554054054054054)","(2.15, 2.36, 2.351111111111111)","(10.0, 11.5, 11.397435897435898)","(5.5, 6.6, 6.482352941176471)","(12.0, 14.5, 14.166666666666666)","(41.0, 70.0, 62.0)"
08-01-2023 16:21:13.135604,"(5.5, 6.0, 5.96030534351145)","(11.0, 15.5, 14.554054054054054)","(2.15, 2.36, 2.3504477611940295)","(10.0, 11.5, 11.375)","(5.5, 6.6, 6.514285714285714)","(12.0, 14.5, 14.112903225806452)","(41.0, 70.0, 62.0)"
08-01-2023 16:21:14.122807,"(5.5, 6.0, 5.96030534351145)","(11.0, 15.5, 14.554054054054054)","(2.15, 2.36, 2.3150877192982455)","(10.0, 11.5, 11.375)","(5.5, 6.6, 6.514285714285714)","(12.0, 14.5, 13.642857142857142)","(41.0, 70.0, 68.42105263157895)"
08-01-2023 16:21:15.214253,"(5.5, 6.0, 5.938095238095238)","(11.0, 15.5, 14.554054054054054)","(2.15, 2.36, 2.3150877192982455)","(10.0, 11.5, 11.375)","(5.5, 6.6, 6.514285714285714)","(12.0, 14.5, 13.954545454545455)","(41.0, 70.0, 70.0)"
08-01-2023 16:21:16.303588,"(5.5, 6.0, 5.941935483870968)","(11.0, 15.5, 14.554054054054054)","(2.15, 2.36, 2.3150877192982455)","(10.0, 11.5, 11.375)","(5.5, 6.6, 6.514285714285714)","(12.0, 14.0, 13.954545454545455)","(41.0, 75.0, 70.0)"
08-01-2023 16:21:17.488966,"(5.5, 6.0, 5.959090909090909)","(11.0, 15.5, 14.554054054054054)","(2.1, 2.36, 2.3150877192982455)","(10.0, 11.5, 11.375)","(5.5, 6.6, 6.383333333333334)","(12.0, 14.0, 13.954545454545455)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:18.559380,"(5.5, 6.0, 5.959090909090909)","(11.0, 15.5, 14.554054054054054)","(2.1, 2.36, 2.3150877192982455)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.383333333333334)","(12.0, 14.0, 13.954545454545455)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:19.583842,"(5.5, 6.0, 5.955555555555556)","(11.0, 15.5, 14.646341463414634)","(2.1, 2.34, 2.307272727272727)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.383333333333334)","(12.0, 14.0, 13.954545454545455)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:20.665821,"(5.5, 6.0, 5.955555555555556)","(11.0, 15.5, 14.646341463414634)","(2.1, 2.34, 2.307272727272727)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.383333333333334)","(12.0, 14.0, 13.954545454545455)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:21.742952,"(5.5, 6.0, 5.955555555555556)","(11.0, 15.5, 14.578947368421053)","(2.1, 2.34, 2.307272727272727)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.375)","(12.0, 14.0, 13.954545454545455)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:22.729150,"(5.5, 6.0, 5.955555555555556)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.307272727272727)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.375)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:23.773441,"(5.5, 6.0, 5.9526315789473685)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.307272727272727)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.375)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:24.810654,"(5.5, 6.0, 5.9526315789473685)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.307272727272727)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.375)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:25.826771,"(5.5, 6.0, 5.9526315789473685)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.301702127659574)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.384)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:26.901807,"(5.5, 6.0, 5.965714285714286)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.301702127659574)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.384)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.78260869565217)"
08-01-2023 16:21:28.031202,"(5.5, 6.0, 5.965714285714286)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.301702127659574)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.384)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.78260869565217)"
08-01-2023 16:21:29.015535,"(5.5, 6.0, 5.965714285714286)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.301702127659574)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.78260869565217)"
08-01-2023 16:21:30.030996,"(5.5, 6.0, 5.965714285714286)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.293846153846154)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.78260869565217)"
08-01-2023 16:21:31.115584,"(5.5, 6.0, 5.965714285714286)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.293846153846154)","(10.0, 11.5, 11.375)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.5)"
08-01-2023 16:21:32.231762,"(5.5, 6.0, 5.976)","(11.0, 15.0, 14.9625)","(2.1, 2.34, 2.303265306122449)","(10.0, 12.0, 11.072463768115941)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.5)"
08-01-2023 16:21:33.162187,"(5.5, 6.0, 5.977852348993289)","(11.0, 15.0, 14.934782608695652)","(2.1, 2.34, 2.303265306122449)","(10.0, 12.0, 11.072463768115941)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.5)"
08-01-2023 16:21:34.254078,"(5.5, 6.0, 5.9762589928057555)","(11.0, 15.0, 14.934782608695652)","(2.1, 2.34, 2.2929411764705883)","(10.0, 12.0, 11.072463768115941)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.5)"
08-01-2023 16:21:35.369421,"(5.5, 6.0, 5.9875)","(11.0, 15.0, 14.934782608695652)","(2.1, 2.34, 2.2929411764705883)","(10.0, 12.0, 11.072463768115941)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:36.392722,"(5.5, 6.0, 5.992307692307692)","(11.0, 15.0, 14.934782608695652)","(2.1, 2.34, 2.2929411764705883)","(10.0, 12.0, 11.072463768115941)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:37.415304,"(5.5, 6.0, 5.992307692307692)","(11.0, 15.0, 14.934782608695652)","(2.1, 2.34, 2.2991489361702127)","(10.0, 12.0, 11.072463768115941)","(5.5, 6.4, 6.358620689655173)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:38.429564,"(5.5, 6.0, 5.992307692307692)","(11.0, 15.0, 14.416666666666666)","(2.1, 2.32, 2.3046808510638295)","(10.0, 12.0, 11.39622641509434)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:39.361712,"(5.5, 6.8, 6.7615384615384615)","(11.0, 15.0, 14.333333333333334)","(2.1, 2.32, 2.3046808510638295)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:40.362556,"(5.5, 6.8, 6.55)","(11.0, 15.0, 14.333333333333334)","(2.1, 2.32, 2.3046808510638295)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:41.407278,"(5.5, 6.8, 6.567441860465117)","(11.0, 14.5, 13.26086956521739)","(2.1, 2.32, 2.3046808510638295)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:42.436299,"(5.5, 6.8, 6.567441860465117)","(11.0, 15.5, 14.383720930232558)","(2.1, 2.32, 2.3046808510638295)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:43.491398,"(5.5, 6.4, 6.281578947368422)","(11.0, 15.5, 14.358695652173912)","(2.1, 2.32, 2.288695652173913)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.0)"
08-01-2023 16:21:44.528846,"(5.5, 6.4, 6.281578947368422)","(11.0, 15.5, 14.358695652173912)","(2.1, 2.32, 2.288695652173913)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:45.766211,"(5.5, 6.4, 6.281578947368422)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.288695652173913)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:46.867463,"(5.5, 6.8, 6.659154929577465)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.288695652173913)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:47.899676,"(5.5, 6.8, 6.659154929577465)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.288695652173913)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:48.959353,"(5.5, 6.8, 6.659154929577465)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.288695652173913)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.966666666666667)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:50.061968,"(5.5, 6.8, 6.659154929577465)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.34, 2.317674418604651)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:51.049094,"(5.5, 6.4, 6.322857142857143)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.34, 2.317674418604651)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:52.141856,"(5.5, 6.6, 6.477777777777778)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.2849999999999997)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 70.9090909090909)"
08-01-2023 16:21:53.252579,"(5.5, 6.6, 6.1875)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.2849999999999997)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.833333333333334)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:54.244305,"(5.5, 6.2, 6.035714285714286)","(11.0, 15.5, 14.923076923076923)","(2.1, 2.32, 2.298461538461538)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.833333333333334)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:55.281225,"(5.5, 6.2, 6.035714285714286)","(11.0, 15.5, 14.875)","(2.1, 2.32, 2.298461538461538)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.833333333333334)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:56.286494,"(5.5, 6.2, 6.183333333333334)","(11.0, 15.5, 14.875)","(2.1, 2.32, 2.298461538461538)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:57.285595,"(5.5, 6.2, 6.183815028901734)","(11.0, 15.5, 14.875)","(2.1, 2.32, 2.2775)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:58.336703,"(5.5, 6.2, 6.183815028901734)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2857894736842104)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.833333333333334)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:21:59.427377,"(5.5, 6.2, 6.184444444444445)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2857894736842104)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:00.411008,"(5.5, 6.6, 6.375)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2792307692307694)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.714285714285714)","(51.0, 75.0, 70.0)"
08-01-2023 16:22:01.428734,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2836363636363637)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:02.603779,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2836363636363637)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:03.615152,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2836363636363637)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:04.606565,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.2836363636363637)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:05.817386,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.1, 2.3, 2.281052631578947)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:06.930769,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.05, 2.3, 2.281052631578947)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:07.955599,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.05, 2.3, 2.281052631578947)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.34)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:09.030848,"(5.5, 6.8, 6.447058823529412)","(11.0, 15.5, 14.875)","(2.05, 2.3, 2.281052631578947)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.4, 6.428571428571429)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:10.245562,"(5.5, 6.8, 6.733333333333333)","(11.0, 15.5, 14.875)","(2.05, 2.32, 2.2703896103896106)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.6, 6.42)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 69.54545454545455)"
08-01-2023 16:22:11.341699,"(5.5, 6.4, 6.276923076923077)","(11.0, 15.5, 14.875)","(2.05, 2.3, 2.267529411764706)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.6, 6.42)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 70.0)"
08-01-2023 16:22:12.356882,"(5.5, 6.4, 6.303030303030304)","(11.0, 15.5, 14.875)","(2.05, 2.3, 2.267529411764706)","(10.0, 12.0, 11.415841584158416)","(5.5, 6.6, 6.42)","(12.0, 14.0, 13.657142857142857)","(51.0, 75.0, 70.0)"
08-01-2023 16:22:13.503584,"(5.5, 6.4, 6.303030303030304)","(11.0, 15.5, 14.875)","(2.05, 2.3, 2.3066666666666666)","(10.0, 12.0, 11.456521739130435)","(5.5, 6.6, 6.42)","(12.0, 14.0, 13.25)","(51.0, 75.0, 66.42857142857143)"
08-01-2023 16:22:14.632389,"(5.5, 6.8, 6.625)","(11.0, 15.5, 14.590909090909092)","(2.05, 2.34, 2.32125)","(10.0, 12.5, 16.46590909090909)","(5.5, 6.6, 6.218181818181819)","(12.0, 14.0, 17.055555555555557)","(51.0, 75.0, 65.5)"
08-01-2023 16:22:15.688565,"(5.5, 9.8, 9.68918918918919)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.5, 2.2800000000000002)","(10.0, 17.5, 16.46590909090909)","(5.5, 9.4, 6.218181818181819)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 65.5)"
08-01-2023 16:22:16.866849,"(5.5, 9.8, 9.68918918918919)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.5, 2.216)","(10.0, 17.5, 16.46590909090909)","(5.5, 9.4, 6.218181818181819)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 65.5)"
08-01-2023 16:22:18.008978,"(5.5, 9.8, 8.17142857142857)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.24, 2.216)","(10.0, 17.5, 16.46590909090909)","(5.5, 9.4, 6.218181818181819)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 65.5)"
08-01-2023 16:22:19.221074,"(5.5, 5.4, 4.2444444444444445)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.24, 2.216)","(10.0, 17.5, 16.46590909090909)","(5.5, 9.4, 5.916666666666667)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 65.5)"
08-01-2023 16:22:20.484039,"(5.5, 5.4, 3.7181818181818183)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.24, 2.216)","(10.0, 17.5, 16.46590909090909)","(5.5, 6.2, 5.9750000000000005)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 65.5)"
08-01-2023 16:22:21.723482,"(5.5, 3.95, 3.587209302325581)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.24, 2.216)","(10.0, 17.5, 16.46590909090909)","(5.5, 6.2, 6.523076923076923)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 65.5)"
08-01-2023 16:22:22.881745,"(5.5, 4.9, 4.321428571428571)","(11.0, 18.5, 17.757317073170732)","(2.05, 2.24, 2.27531914893617)","(10.0, 17.5, 16.441860465116278)","(5.5, 9.4, 8.323076923076924)","(12.0, 19.0, 17.055555555555557)","(51.0, 95.0, 116.42857142857143)"
