,Invincible Bay,Always Hapi,Sebastian The Fox,Sachem,Savvy Sovereign,Le Messager,Mr Invincible,Stelvio,Top Arctic,Mortar,Demando,Oamanikka,Friday At Five,Zazster
04-01-2023 15:24:54.867210,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 12.0, 11.538461538461538)","(4.4, 5.3, 5.3090909090909095)","(3.1, 3.65, 3.582558139534884)","(15.0, 20.0, 19.0)","(19.0, 23.0, 21.0)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.8)","(51.0, 100.0, 53.333333333333336)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:56.464801,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 45.2)","(8.0, 12.0, 11.538461538461538)","(4.4, 5.4, 5.3090909090909095)","(3.1, 3.65, 3.582558139534884)","(15.0, 20.0, 19.0)","(19.0, 23.0, 21.0)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.8)","(51.0, 100.0, 65.0)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:57.994226,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 44.8)","(8.0, 12.0, 11.538461538461538)","(4.4, 5.4, 5.3090909090909095)","(3.1, 3.65, 3.6158823529411763)","(15.0, 20.0, 19.0)","(19.0, 23.0, 20.473684210526315)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.8)","(51.0, 100.0, 65.0)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:59.550943,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 44.8)","(8.0, 12.0, 11.666666666666666)","(4.4, 5.4, 5.333333333333334)","(3.1, 3.65, 3.6073529411764707)","(15.0, 20.0, 18.75)","(19.0, 23.0, 20.8)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.4)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:01.138605,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 12.0, 12.75)","(4.4, 5.4, 5.322222222222223)","(3.1, 3.65, 3.5933823529411764)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 20.25)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 60.0)","(31.0, 70.0, 52.888888888888886)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:02.673757,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.4, 5.2846153846153845)","(3.1, 3.6, 3.592857142857143)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 19.75)","(21.0, 46.0, 29.714285714285715)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 60.0)","(31.0, 70.0, 52.888888888888886)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:04.204235,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.3, 5.2846153846153845)","(3.1, 3.6, 3.599411764705882)","(15.0, 20.0, 18.714285714285715)","(19.0, 20.0, 19.818181818181817)","(21.0, 46.0, 31.333333333333332)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 60.0)","(31.0, 70.0, 51.8)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:05.743561,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.3, 5.325)","(3.1, 3.65, 3.5450892857142855)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 19.6)","(21.0, 40.0, 35.6)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 60.0)","(31.0, 70.0, 51.8)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:07.318705,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.5, 5.325)","(3.1, 3.55, 3.5450892857142855)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 19.6)","(21.0, 38.0, 33.38461538461539)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 51.8)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:08.863285,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.5, 5.325)","(3.1, 3.55, 3.565771812080537)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 19.666666666666668)","(21.0, 38.0, 33.38461538461539)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 51.8)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:10.351372,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.5, 5.325)","(3.1, 3.6, 3.565771812080537)","(15.0, 20.0, 18.714285714285715)","(19.0, 20.0, 19.0)","(21.0, 38.0, 31.647058823529413)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 51.8)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:11.873993,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.833333333333334)","(4.4, 5.5, 5.325)","(3.1, 3.6, 3.565771812080537)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 18.0)","(21.0, 38.0, 31.647058823529413)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 51.14285714285714)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:13.450183,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.857142857142858)","(4.4, 5.5, 5.323076923076923)","(3.1, 3.6, 3.5475728155339805)","(15.0, 20.0, 18.714285714285715)","(19.0, 22.0, 18.2)","(21.0, 38.0, 31.647058823529413)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 51.14285714285714)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:14.977769,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.923076923076923)","(4.4, 5.5, 5.325)","(3.1, 3.55, 3.565771812080537)","(15.0, 20.0, 18.714285714285715)","(19.0, 21.0, 17.857142857142858)","(21.0, 38.0, 31.0)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.9)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:16.497512,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.923076923076923)","(4.4, 5.5, 5.323076923076923)","(3.1, 3.6, 3.565771812080537)","(15.0, 20.0, 18.714285714285715)","(19.0, 21.0, 18.285714285714285)","(21.0, 36.0, 30.210526315789473)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.9)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:18.033736,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.923076923076923)","(4.4, 5.5, 5.323076923076923)","(3.1, 3.6, 3.560311284046693)","(15.0, 20.0, 19.181818181818183)","(19.0, 20.0, 17.818181818181817)","(21.0, 36.0, 30.210526315789473)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.9)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:19.548778,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.90909090909091)","(8.0, 13.0, 12.923076923076923)","(4.4, 5.5, 5.323076923076923)","(3.1, 3.6, 3.560311284046693)","(15.0, 20.0, 19.4375)","(19.0, 20.0, 18.352941176470587)","(21.0, 36.0, 30.210526315789473)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.9)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:21.073778,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.333333333333336)","(8.0, 13.0, 12.923076923076923)","(4.4, 5.5, 5.4941176470588236)","(3.1, 3.6, 3.557142857142857)","(15.0, 20.0, 19.4375)","(19.0, 20.0, 15.1)","(21.0, 36.0, 26.0)","(31.0, 60.0, 47.0)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.381818181818181)","(51.0, 65.0, 56.25)","(31.0, 70.0, 56.25)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:22.614839,"(7.0, 9.2, 8.985714285714286)","(31.0, 46.0, 44.333333333333336)","(8.0, 13.0, 12.973684210526315)","(4.4, 5.6, 5.587878787878788)","(3.1, 3.6, 3.5955882352941178)","(15.0, 20.0, 19.75)","(19.0, 16.0, 14.0)","(21.0, 34.0, 26.0)","(31.0, 60.0, 47.0)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:24.180853,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.973684210526315)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.6, 3.5955882352941178)","(15.0, 20.0, 19.4375)","(19.0, 16.5, 14.25)","(21.0, 34.0, 24.6875)","(31.0, 60.0, 47.0)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:25.641971,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.973684210526315)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.6, 3.558333333333333)","(15.0, 21.0, 19.4375)","(19.0, 16.5, 16.6875)","(21.0, 32.0, 28.90909090909091)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:27.258796,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.973684210526315)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.6, 3.5413194444444445)","(15.0, 21.0, 19.4375)","(19.0, 17.0, 17.03125)","(21.0, 30.0, 28.133333333333333)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:28.812106,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.973684210526315)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.5413194444444445)","(15.0, 21.0, 19.4375)","(19.0, 17.5, 16.86842105263158)","(21.0, 30.0, 28.133333333333333)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:30.396352,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.973684210526315)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.53993288590604)","(15.0, 21.0, 19.4375)","(19.0, 17.5, 16.86842105263158)","(21.0, 30.0, 28.133333333333333)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:31.930367,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.975)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.53993288590604)","(15.0, 21.0, 19.484848484848484)","(19.0, 17.5, 17.466666666666665)","(21.0, 30.0, 28.133333333333333)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.53103448275862)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:33.665563,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.975)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.53993288590604)","(15.0, 21.0, 19.484848484848484)","(19.0, 18.0, 17.304347826086957)","(21.0, 30.0, 28.133333333333333)","(31.0, 60.0, 55.5)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.552941176470588)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:35.241037,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 44.666666666666664)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.53993288590604)","(15.0, 21.0, 19.484848484848484)","(19.0, 18.0, 17.304347826086957)","(21.0, 30.0, 28.133333333333333)","(31.0, 60.0, 46.875)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.552941176470588)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:36.881044,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.53993288590604)","(15.0, 21.0, 19.484848484848484)","(19.0, 18.0, 16.9)","(21.0, 30.0, 27.043478260869566)","(31.0, 55.0, 45.54545454545455)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.333333333333332)","(51.0, 65.0, 56.25)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:38.479952,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.5428057553956833)","(15.0, 21.0, 19.484848484848484)","(19.0, 17.5, 16.9)","(21.0, 29.0, 27.043478260869566)","(31.0, 55.0, 45.54545454545455)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.333333333333332)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 57.30769230769231)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:40.086880,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.53993288590604)","(15.0, 21.0, 19.484848484848484)","(19.0, 17.5, 16.9375)","(21.0, 29.0, 27.043478260869566)","(31.0, 55.0, 45.54545454545455)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.333333333333332)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 58.333333333333336)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:41.678286,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.5413194444444445)","(15.0, 21.0, 19.484848484848484)","(18.0, 17.5, 16.9375)","(21.0, 29.0, 27.043478260869566)","(31.0, 55.0, 45.54545454545455)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.333333333333332)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 58.333333333333336)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:43.193342,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.5413194444444445)","(15.0, 21.0, 19.436363636363637)","(18.0, 17.5, 16.9375)","(21.0, 29.0, 27.043478260869566)","(31.0, 55.0, 45.54545454545455)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.333333333333332)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 59.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:44.692200,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.5388888888888888)","(15.0, 21.0, 19.436363636363637)","(18.0, 17.5, 16.9375)","(21.0, 29.0, 27.043478260869566)","(31.0, 55.0, 45.25)","(51.0, 100.0, 60.0)","(7.5, 9.6, 9.562962962962963)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 64.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:46.302784,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.5381410256410257)","(15.0, 21.0, 19.585365853658537)","(18.0, 17.5, 16.9375)","(21.0, 29.0, 27.043478260869566)","(31.0, 55.0, 46.8)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.562962962962963)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:47.886064,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.14285714285714)","(8.0, 13.0, 12.98076923076923)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.55, 3.455263157894737)","(15.0, 21.0, 19.727272727272727)","(18.0, 17.5, 16.833333333333332)","(21.0, 29.0, 27.454545454545453)","(31.0, 50.0, 39.333333333333336)","(51.0, 100.0, 60.0)","(7.5, 9.8, 9.7)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:49.456844,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.5)","(8.0, 13.0, 12.368421052631579)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.5, 3.455263157894737)","(15.0, 21.0, 19.727272727272727)","(18.0, 17.0, 16.98936170212766)","(21.0, 28.0, 27.454545454545453)","(31.0, 50.0, 44.5)","(51.0, 100.0, 60.0)","(7.5, 10.0, 9.753846153846153)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:51.066079,"(7.0, 9.8, 9.755555555555556)","(31.0, 46.0, 45.5)","(8.0, 13.0, 12.368421052631579)","(4.4, 5.6, 5.586666666666666)","(3.1, 3.5, 3.455263157894737)","(15.0, 21.0, 19.727272727272727)","(18.0, 17.0, 17.321428571428573)","(21.0, 28.0, 27.454545454545453)","(31.0, 55.0, 44.5)","(51.0, 100.0, 60.0)","(7.5, 10.0, 9.753846153846153)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:52.708946,"(7.0, 9.8, 9.766666666666667)","(31.0, 46.0, 45.5)","(8.0, 13.0, 12.407407407407407)","(4.4, 5.6, 5.571428571428571)","(3.1, 3.5, 3.4415789473684213)","(15.0, 21.0, 19.727272727272727)","(18.0, 17.5, 17.401960784313726)","(21.0, 28.0, 27.454545454545453)","(31.0, 55.0, 51.5)","(51.0, 100.0, 64.0)","(7.5, 10.0, 9.753846153846153)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:54.304589,"(7.0, 9.8, 9.766666666666667)","(31.0, 46.0, 45.5)","(8.0, 13.0, 12.407407407407407)","(4.4, 5.6, 5.583333333333333)","(3.1, 3.45, 3.4415789473684213)","(15.0, 21.0, 19.727272727272727)","(18.0, 17.5, 17.401960784313726)","(21.0, 28.0, 27.454545454545453)","(31.0, 55.0, 51.5)","(51.0, 100.0, 64.0)","(7.5, 10.0, 9.753846153846153)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
04-01-2023 15:25:55.970685,"(7.0, 9.8, 9.766666666666667)","(31.0, 46.0, 45.5)","(8.0, 13.0, 12.407407407407407)","(4.4, 5.7, 5.583333333333333)","(3.1, 3.45, 3.4415789473684213)","(15.0, 21.0, 19.727272727272727)","(18.0, 17.5, 17.401960784313726)","(21.0, 28.0, 27.454545454545453)","(31.0, 55.0, 51.5)","(51.0, 100.0, 64.0)","(7.5, 10.0, 9.753846153846153)","(51.0, 65.0, 55.76923076923077)","(31.0, 70.0, 65.0)","(101.0, 560.0, 360.0)"
