,Rocky Banner,Wham Bam Kent,Nobu Lad,Aeroplane Wish,Ebby Justice,Mr Sizzler,Misled,Black Onyx Mae
09-01-2023 16:10:08.572908,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:09.815554,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:11.040345,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:12.267122,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:13.417570,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:14.600945,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:15.870860,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:17.173363,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:18.398911,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:19.518444,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:20.609234,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:21.768049,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:10:23.021815,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:24.273605,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:25.433050,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:26.572918,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:27.785080,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:29.379951,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:30.922740,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:10:32.195745,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
