,Knight Walker,Yarraman Markle,Nightwatch Star,Gemmas Express,Lexy Can Bern,Beatboxer,Blissfull Donna,Caesars Rockstar,Neville Shannon
15-12-2022 14:31:47.940957,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:49.284205,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:50.583391,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:51.811579,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:53.085699,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:54.350764,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:55.622971,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:56.866046,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:58.066296,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:59.291649,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:32:00.597884,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:32:01.880414,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:32:03.502002,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:32:05.354536,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 25.25)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:06.567267,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:07.902127,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:09.324041,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:10.824387,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:12.324064,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:13.956523,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:15.536226,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:16.926743,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:18.409661,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:19.740088,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:21.070911,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:22.452832,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:23.844720,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:25.310785,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:26.714937,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:28.074845,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:29.387819,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:30.760982,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
