,Fools Mirage,Cat Named Hercules,Homegrown Legend,Prince Carolina J,Forever Indian,Eura Bunny Boy,Charm The Ladies
08-12-2022 12:47:50.670750,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 68.66666666666666)","(4.4, 4.8, 4.68)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:51.694100,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 68.66666666666666)","(4.4, 4.8, 4.68)","(10.0, 24.0, 21.119999999999997)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:52.868551,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 26.5)","(4.4, 4.8, 4.68)","(10.0, 24.0, 21.119999999999997)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:53.925891,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 100.0, 26.5)","(4.4, 4.8, 4.68)","(10.0, 24.0, 21.119999999999997)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:54.974458,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 100.0, 22.066666666666666)","(4.4, 4.8, 4.68)","(10.0, 24.0, 21.119999999999997)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:55.977064,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 100.0, 22.066666666666666)","(4.4, 4.8, 4.68)","(10.0, 24.0, 21.119999999999997)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:57.089926,"(2.35, 2.88, 2.8130232558139534)","(41.0, 980.0, 358.6666666666667)","(26.0, 100.0, 21.71875)","(4.4, 4.8, 4.466666666666667)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:58.254330,"(2.35, 2.88, 2.8130232558139534)","(41.0, 980.0, 358.6666666666667)","(26.0, 100.0, 21.71875)","(4.4, 4.8, 4.466666666666667)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:59.402145,"(2.35, 2.88, 2.8130232558139534)","(41.0, 980.0, 358.6666666666667)","(26.0, 100.0, 21.71875)","(4.2, 4.8, 4.466666666666667)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:00.567727,"(2.35, 2.88, 2.8130232558139534)","(41.0, 980.0, 358.6666666666667)","(26.0, 100.0, 21.71875)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:01.690441,"(2.35, 2.88, 2.8136585365853657)","(41.0, 980.0, 358.6666666666667)","(26.0, 100.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:02.799069,"(2.35, 3.45, 3.095)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:03.850945,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:05.158233,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:06.367304,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:07.489592,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:08.669332,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:09.860253,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:11.101130,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
