,Cawbourne Roses,We Back,Zipping Abigail,Battle Born,Coco Model,Magic Flame,Here Comes Buddy,You Know Tree
10-01-2023 18:45:09.354721,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 27.125)","(6.5, 18.0, 14.266666666666666)"
10-01-2023 18:45:10.430333,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 27.125)","(6.5, 18.0, 14.266666666666666)"
10-01-2023 18:45:11.495675,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 27.125)","(6.5, 18.0, 13.8)"
10-01-2023 18:45:12.577289,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 27.125)","(6.5, 18.0, 13.8)"
10-01-2023 18:45:13.719255,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:14.930997,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:16.186751,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:17.276061,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:18.324674,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:19.438289,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:20.601320,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:21.802074,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:22.987816,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.2)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:24.054011,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.944444444444443)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:25.236594,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.944444444444443)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:26.447863,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.944444444444443)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:27.674152,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.944444444444443)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:28.823331,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.944444444444443)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:30.054196,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:31.251406,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:32.417585,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:33.563818,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.4)"
10-01-2023 18:45:34.651687,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 13.371428571428572)"
10-01-2023 18:45:35.826191,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 13.371428571428572)"
10-01-2023 18:45:36.880400,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 13.371428571428572)"
10-01-2023 18:45:37.955208,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 13.371428571428572)"
10-01-2023 18:45:39.173751,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:40.334005,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.89090909090909)"
10-01-2023 18:45:41.472575,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.89090909090909)"
10-01-2023 18:45:42.598274,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 11.89090909090909)"
10-01-2023 18:45:43.977661,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:45.346634,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:46.571280,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:47.778698,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.916666666666668)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:48.997402,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.4)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:50.077619,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.4)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:51.191378,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.4)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:52.366160,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:53.481134,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:54.585965,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:55.720839,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:56.891774,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:57.966877,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.75)"
10-01-2023 18:45:59.034476,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 14.117647058823529)"
10-01-2023 18:46:00.129299,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 14.117647058823529)"
10-01-2023 18:46:01.295606,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 13.285714285714285)"
10-01-2023 18:46:02.435206,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 13.285714285714285)"
10-01-2023 18:46:03.566277,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 13.285714285714285)"
10-01-2023 18:46:04.714906,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 8.4)"
10-01-2023 18:46:05.814816,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 8.4)"
10-01-2023 18:46:06.947557,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:08.065417,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:09.196046,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:10.300163,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:11.345831,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:12.396903,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:13.495884,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.083333333333332)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:14.642289,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.6)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:15.756549,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.6)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:16.934039,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.6)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:18.070943,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.6)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:19.171367,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.6)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:20.230577,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 28.6)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:21.292452,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 24.61111111111111)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:22.438341,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.61111111111111)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:23.469035,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.61111111111111)","(6.5, 18.0, 9.6)"
10-01-2023 18:46:24.547712,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.61111111111111)","(6.5, 18.0, 14.047058823529412)"
10-01-2023 18:46:25.636352,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.61111111111111)","(6.5, 18.0, 13.2)"
10-01-2023 18:46:26.759536,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.61111111111111)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:27.911816,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.61111111111111)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:29.058674,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 24.0)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:30.166138,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:31.235031,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:32.264683,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:33.283557,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:34.358447,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:35.475979,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
10-01-2023 18:46:36.625637,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 36.0, 26.76923076923077)","(6.5, 18.0, 11.4)"
