,A Fighting Fury,Kings County,Louis January,Demurral,The Driller,Zipspur,Magnetic Drive
06-01-2023 14:32:35.078742,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:36.152188,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:37.222337,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:38.282117,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:39.219638,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:40.151796,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:41.144984,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.511111111111111)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:42.208893,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.511111111111111)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:43.362633,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.511111111111111)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:44.379152,"(4.6, 5.6, 5.5)","(6.0, 9.4, 8.511111111111111)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:45.432124,"(4.6, 5.6, 5.5)","(6.0, 11.5, 10.930769230769231)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:46.531508,"(4.6, 5.6, 5.5)","(6.0, 11.0, 10.25)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.156521739130435)"
06-01-2023 14:32:47.578691,"(4.6, 5.6, 5.438461538461538)","(6.0, 11.0, 10.0)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:48.559991,"(4.6, 5.6, 5.5)","(6.0, 11.0, 9.444444444444445)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:49.573821,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.55)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:50.605241,"(4.6, 5.6, 5.5)","(6.0, 10.0, 8.857142857142858)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:51.665070,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.2)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:52.643017,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.428571428571429)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:53.625087,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:54.575270,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:55.632565,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:56.718005,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:57.853330,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:59.022949,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:00.167078,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:01.178686,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:02.129905,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:03.076410,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:04.134738,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:05.093387,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:06.087499,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:07.078568,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:08.104977,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:09.163830,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:10.235627,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:11.372438,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:12.413584,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:13.434538,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:14.418664,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:15.412655,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.9, 3.6527472527472526)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 11.575)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:16.389247,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 20.0)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:17.382524,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:18.383572,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.84)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:19.456284,"(4.6, 5.6, 5.5)","(6.0, 10.0, 9.709090909090909)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:20.601463,"(4.6, 5.6, 5.5)","(6.0, 10.5, 10.033333333333333)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:21.717441,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.625)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:22.875338,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.625)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:23.968159,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.625)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:25.110124,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.625)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:26.124289,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.625)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:27.109591,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.625)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:28.071084,"(4.6, 5.6, 5.5)","(6.0, 10.5, 9.461538461538462)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:29.136723,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:30.208378,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:31.258800,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:32.278616,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:33.260754,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:34.312114,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:35.528835,"(4.6, 5.6, 5.5)","(6.0, 9.8, 9.175)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:36.693874,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:37.974013,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:39.062192,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:40.123929,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:41.329005,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:42.445918,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:43.456446,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:44.407969,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:45.439839,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:46.445046,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:47.494022,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:48.576494,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:49.688155,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:33:50.760770,"(4.6, 5.6, 5.5)","(6.0, 9.8, 8.957894736842105)","(3.1, 3.8, 3.6528846153846155)","(14.0, 23.0, 17.857142857142858)","(13.0, 18.5, 16.25)","(7.5, 17.5, 12.233333333333333)","(3.5, 4.4, 4.252631578947369)"
