,Whata Journey,Tracer Bullet,Vanity Bay,Baileys With Legs,Misstrepo,Chainlinc,Johnrod,Onlysbest,Allambie
07-12-2022 18:45:53.952252,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:55.519467,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:57.059007,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:58.588382,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.466666666666667)"
07-12-2022 18:46:00.058455,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:01.560529,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:03.072387,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:04.590995,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:06.175087,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:07.713120,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:09.200518,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:10.910621,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:12.484153,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:14.046703,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:15.685886,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:17.330920,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.4, 7.466666666666667)"
07-12-2022 18:46:18.942241,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:20.515173,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:22.087779,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:23.635233,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:25.520742,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:27.102193,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:28.980521,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:30.723996,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:32.353195,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:34.018066,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:35.619347,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:37.283824,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:38.892981,"(4.6, 7.2, 6.24)","(17.0, 29.0, 26.545454545454547)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:40.774838,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:42.598202,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:44.741450,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:47.218093,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:49.144469,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:51.188719,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:53.454509,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:55.504366,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:57.433844,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:46:59.317234,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:47:01.244123,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(7.0, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:47:03.097321,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(7.0, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
07-12-2022 18:47:04.788571,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(7.0, 7.6, 7.171428571428572)","(5.0, 6.8, 6.425)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.2, 7.266666666666667)"
