,Solar Space,Infiltrate,Bald Head Sally,Turbo Tuxedo,Slingshot Marley,Oscar Ruth,Snowys Lad,Slingshot Puzzle
11-01-2023 16:13:54.728452,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.75)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.0)","(2.0, 2.28, 2.0733333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:55.933116,"(6.5, 8.6, 8.015)","(6.0, 11.5, 11.222222222222221)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.0)","(2.0, 2.22, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:57.212644,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.742857142857142)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.416666666666668)","(2.0, 2.32, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 50.0)"
11-01-2023 16:13:58.372364,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.416666666666668)","(2.0, 2.32, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 50.0)"
11-01-2023 16:13:59.629982,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.416666666666668)","(2.0, 2.32, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 50.0)"
11-01-2023 16:14:00.798765,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.416666666666668)","(2.0, 2.32, 2.0933333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 50.0)"
11-01-2023 16:14:01.929228,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.8)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.416666666666668)","(2.0, 2.28, 2.0933333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
11-01-2023 16:14:03.028216,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.416666666666668)","(2.0, 2.28, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 47.142857142857146)"
11-01-2023 16:14:04.176842,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 19.5, 18.5)","(2.0, 2.32, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 47.142857142857146)"
11-01-2023 16:14:05.345863,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.82)","(4.2, 5.3, 5.05)","(91.0, 510.0, 335.0)","(5.5, 19.5, 18.5)","(2.0, 2.32, 2.1066666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 50.666666666666664)"
11-01-2023 16:14:06.564152,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.82)","(4.2, 5.3, 5.05)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.5)","(2.0, 2.32, 2.068)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 50.666666666666664)"
11-01-2023 16:14:07.827889,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.881818181818183)","(4.2, 5.3, 5.1)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.5)","(2.0, 2.34, 2.068)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 50.666666666666664)"
11-01-2023 16:14:09.054382,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.366666666666667)","(4.2, 5.3, 5.1)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 17.25)","(2.0, 2.34, 2.068)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 44.888888888888886)"
11-01-2023 16:14:10.271700,"(6.5, 8.6, 8.015)","(6.0, 12.5, 11.6)","(4.2, 5.3, 5.1)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.34, 2.0949999999999998)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:11.453510,"(6.5, 8.6, 7.235)","(6.0, 12.5, 11.6)","(4.2, 5.3, 5.1)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.38, 2.0949999999999998)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:12.664051,"(6.5, 8.0, 7.466666666666667)","(6.0, 12.5, 11.6)","(4.2, 5.3, 5.1)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.44, 2.088)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:13.837841,"(6.5, 8.0, 7.466666666666667)","(6.0, 13.0, 11.4)","(4.2, 5.3, 5.2375)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.4, 2.057142857142857)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:14.975680,"(6.5, 8.0, 7.466666666666667)","(6.0, 13.0, 12.288888888888888)","(4.2, 5.4, 5.181818181818182)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.4, 2.057142857142857)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:16.046832,"(6.5, 7.8, 7.6)","(6.0, 13.0, 12.288888888888888)","(4.2, 5.4, 5.24)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.4, 2.057142857142857)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:17.226766,"(6.5, 8.4, 7.44)","(6.0, 13.0, 12.288888888888888)","(4.2, 5.5, 5.3)","(91.0, 510.0, 393.33333333333337)","(5.5, 19.5, 17.25)","(2.0, 2.4, 2.1)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:18.439284,"(6.5, 8.4, 7.44)","(6.0, 13.0, 12.288888888888888)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 335.0)","(5.5, 19.5, 18.5)","(2.0, 2.4, 2.1)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:19.670299,"(6.5, 8.4, 6.988235294117647)","(6.0, 13.0, 12.288888888888888)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 335.0)","(5.5, 19.5, 18.5)","(2.0, 2.4, 2.1)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:20.761942,"(6.5, 8.4, 6.988235294117647)","(6.0, 13.0, 11.4)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 335.0)","(5.5, 19.5, 18.5)","(2.0, 2.4, 2.1)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:21.938751,"(6.5, 8.4, 6.988235294117647)","(6.0, 13.5, 11.280000000000001)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 335.0)","(5.5, 19.5, 18.5)","(2.0, 2.4, 2.1333333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:23.136476,"(6.5, 8.4, 6.988235294117647)","(6.0, 13.5, 10.472727272727273)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.4, 2.1333333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:24.276270,"(6.5, 8.4, 6.988235294117647)","(6.0, 13.5, 10.472727272727273)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.4, 2.1333333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:25.311522,"(6.5, 8.0, 7.76)","(6.0, 13.5, 10.472727272727273)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.38, 2.1266666666666665)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:26.407246,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 10.472727272727273)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.38, 2.076)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:27.660970,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.5, 12.083333333333334)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.38, 2.076)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:28.917890,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.0, 12.0)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:30.124718,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.0, 11.5)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:31.328880,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.0, 11.5)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:32.477569,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 12.0)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.61111111111111)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:33.616101,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.357142857142858)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.61111111111111)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:34.765635,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.357142857142858)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.61111111111111)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:35.918408,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.357142857142858)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.61111111111111)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:37.051564,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.357142857142858)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.61111111111111)","(2.0, 2.36, 2.072)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:38.249515,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.045454545454545)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(2.0, 2.36, 2.068)","(21.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:39.423152,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.045454545454545)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(1.95, 2.34, 2.068)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:40.655611,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.045454545454545)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(1.95, 2.34, 2.068)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:41.875315,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.045454545454545)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(1.95, 2.34, 2.068)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:43.036667,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.045454545454545)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(1.95, 2.34, 2.068)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:44.106680,"(6.5, 8.0, 7.485714285714286)","(6.0, 13.5, 11.045454545454545)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(1.95, 2.34, 2.068)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:45.206024,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.642857142857142)","(1.95, 2.34, 2.068)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:46.396546,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(1.95, 2.36, 2.072)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:47.499442,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(1.95, 2.36, 2.072)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:48.657626,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(1.95, 2.36, 2.072)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:49.756004,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(1.95, 2.36, 2.072)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:50.923960,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 18.5)","(1.95, 2.36, 2.288)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:52.034217,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 19.071428571428573)","(1.95, 2.36, 2.2590476190476187)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:53.185378,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 19.5, 19.875)","(1.95, 2.32, 2.2590476190476187)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:54.247098,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 21.0, 19.875)","(1.95, 2.32, 2.2590476190476187)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:55.430596,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 21.0, 19.875)","(1.95, 2.32, 2.2590476190476187)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:56.638987,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 21.0, 19.875)","(1.95, 2.32, 2.2590476190476187)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:57.822868,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 21.0, 19.875)","(1.95, 2.32, 2.2590476190476187)","(26.0, 38.0, 31.23076923076923)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:14:58.966490,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 21.0, 19.75)","(1.95, 2.32, 2.2590476190476187)","(26.0, 38.0, 32.82352941176471)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:00.059967,"(6.5, 8.0, 7.485714285714286)","(6.0, 12.0, 11.25)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 20.0, 19.875)","(1.95, 2.32, 2.272)","(26.0, 38.0, 33.111111111111114)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:01.161435,"(6.5, 8.0, 7.485714285714286)","(6.0, 11.5, 11.071428571428571)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 24.0, 21.0)","(1.95, 2.32, 2.272)","(26.0, 38.0, 33.111111111111114)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:02.318535,"(6.5, 8.0, 7.485714285714286)","(6.0, 11.5, 11.071428571428571)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 23.0, 21.0)","(1.95, 2.32, 2.255)","(26.0, 38.0, 34.44444444444444)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:03.402673,"(6.5, 8.0, 7.485714285714286)","(6.0, 11.5, 11.071428571428571)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 23.0, 21.0)","(1.95, 2.3, 2.255)","(26.0, 38.0, 35.6)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:04.472051,"(6.5, 8.0, 7.236363636363636)","(6.0, 11.5, 11.071428571428571)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 23.0, 21.0)","(1.95, 2.3, 2.255)","(26.0, 38.0, 35.6)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:05.667533,"(6.5, 8.0, 7.236363636363636)","(6.0, 11.5, 11.071428571428571)","(4.2, 5.5, 5.140000000000001)","(91.0, 510.0, 467.5)","(5.5, 23.0, 20.714285714285715)","(1.95, 2.3, 2.272)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:06.850249,"(6.5, 8.0, 6.95)","(6.0, 11.5, 11.071428571428571)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.714285714285715)","(1.95, 2.32, 2.272)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 44.36363636363637)"
11-01-2023 16:15:07.984908,"(6.5, 8.0, 6.937142857142857)","(6.0, 11.5, 11.2)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.714285714285715)","(1.95, 2.32, 2.274285714285714)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:09.001517,"(6.5, 8.0, 6.937142857142857)","(6.0, 11.5, 11.2)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.714285714285715)","(1.95, 2.32, 2.1)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:10.130047,"(6.5, 7.8, 6.685714285714285)","(6.0, 11.5, 11.2)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.714285714285715)","(1.95, 2.34, 2.105)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:11.221817,"(6.5, 7.4, 7.0)","(6.0, 11.5, 10.857142857142858)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.714285714285715)","(1.95, 2.36, 2.096)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:12.392940,"(6.5, 7.4, 7.15)","(6.0, 11.5, 10.65)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.857142857142858)","(1.95, 2.4, 2.14)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:13.575227,"(6.5, 7.6, 6.5440000000000005)","(6.0, 11.0, 10.833333333333334)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.857142857142858)","(1.95, 2.38, 2.14)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:14.726408,"(6.5, 7.6, 6.5440000000000005)","(6.0, 11.5, 10.9375)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.857142857142858)","(1.95, 2.38, 2.1742857142857144)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:15.868306,"(6.5, 7.4, 7.0875)","(6.0, 11.5, 10.625)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.857142857142858)","(1.95, 2.38, 2.1742857142857144)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:17.045382,"(6.5, 7.4, 6.945454545454545)","(6.0, 11.5, 10.625)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.857142857142858)","(1.95, 2.38, 2.1657142857142855)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
11-01-2023 16:15:18.113596,"(6.5, 7.4, 6.894736842105263)","(6.0, 11.5, 10.625)","(4.2, 5.5, 5.050000000000001)","(91.0, 510.0, 467.5)","(5.5, 22.0, 20.857142857142858)","(1.95, 2.36, 2.1657142857142855)","(26.0, 38.0, 35.89473684210526)","(31.0, 55.0, 45.714285714285715)"
