,Willsintown,Destiny Blues,Fortyfive Rock,Handsome Harry Nz,Tulhurst Cuddles,Taleggio,Jaydes Terror,Darby Brights,Whata Reactor
12-01-2023 14:54:54.245129,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:55.612329,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:57.175420,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:58.709331,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:00.246885,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:01.764037,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:03.290381,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:04.606097,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:05.891417,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:07.330073,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
