,Towering Star,Finniss Blossom,Velocity Cleo,Highly Praised,Pure By Design,Easy Street,Didelis,Irish Brandy
10-01-2023 14:10:54.453116,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 52.666666666666664)"
10-01-2023 14:10:55.623449,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 52.666666666666664)"
10-01-2023 14:10:56.773453,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:57.924527,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:59.002750,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:11:00.065148,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:11:01.079164,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:11:02.180468,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:11:03.269641,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:11:04.433572,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 21.0)"
10-01-2023 14:11:05.537009,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:06.599661,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:07.609311,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:08.697119,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:09.862851,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:11.012589,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:12.161578,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:13.271993,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:14.336905,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:15.463279,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:16.668504,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:17.747434,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:18.885581,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:19.936376,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:20.972835,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:21.975440,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:23.092119,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:24.211982,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:25.383900,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:26.444408,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:27.529949,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:28.590884,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:29.682481,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:30.758722,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:31.912420,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:33.099465,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:34.303258,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:35.476617,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:36.553454,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:37.656651,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:38.735249,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.50625)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:39.783909,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.55, 4.595833333333333)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:40.881510,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.7, 4.595833333333333)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:42.007545,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:43.103587,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:44.196127,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:45.208016,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:46.257089,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:47.271964,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:48.367484,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 4.4543478260869565)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:49.454910,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 4.5, 3.6396551724137933)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:50.578939,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6396551724137933)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:51.673009,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6396551724137933)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:52.782196,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6396551724137933)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:53.953484,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6396551724137933)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:55.128446,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6078947368421055)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:56.322201,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6078947368421055)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:57.495021,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.6078947368421055)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:58.705031,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:11:59.882570,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:01.014384,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:02.060992,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:03.173208,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:04.282054,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:05.433094,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:06.535872,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:07.676816,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:08.695515,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:09.786379,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:10.886673,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:12.087311,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:13.207296,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:14.327121,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:15.426412,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
10-01-2023 14:12:16.517707,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.7, 3.3499999999999996)","(15.0, 42.0, 19.916666666666668)","(6.5, 11.0, 8.88888888888889)","(16.0, 46.0, 21.0)"
