,Bel Song,Body And Soul,Doublern,Equatori,Prancing Queen,Ravera,Scuderia,Three Grand
16-12-2022 11:59:45.152869,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:46.317774,"(5.5, 8.0, 7.142857142857142)","(31.0, 28.0, 26.5)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.488888888888889)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:47.464414,"(5.5, 8.0, 7.142857142857142)","(31.0, 28.0, 26.5)","(3.3, 3.85, 3.825510204081633)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.488888888888889)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:48.588950,"(5.5, 8.0, 7.4)","(31.0, 28.0, 27.25)","(3.3, 3.85, 3.83125)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:49.803748,"(5.5, 8.0, 7.4)","(31.0, 28.0, 27.25)","(3.3, 3.85, 3.83125)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:51.101719,"(5.5, 8.0, 7.4)","(31.0, 28.0, 27.25)","(3.3, 3.85, 3.83125)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:52.243333,"(5.5, 8.0, 7.4)","(31.0, 28.0, 27.25)","(3.3, 3.85, 3.83125)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:53.390255,"(5.5, 8.0, 7.4)","(31.0, 28.0, 27.25)","(3.3, 3.85, 3.83125)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:54.455129,"(5.5, 8.0, 7.4)","(31.0, 28.0, 27.25)","(3.3, 3.85, 3.83125)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:55.563055,"(5.5, 7.8, 7.216666666666667)","(31.0, 32.0, 28.81818181818182)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.9375)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:56.601992,"(5.5, 7.8, 7.216666666666667)","(31.0, 32.0, 28.81818181818182)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.9375)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:57.653391,"(5.5, 7.8, 7.216666666666667)","(31.0, 32.0, 28.81818181818182)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.9375)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.44)"
16-12-2022 11:59:58.716184,"(5.5, 7.8, 7.216666666666667)","(31.0, 32.0, 28.5)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.9375)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 11:59:59.720560,"(5.5, 7.8, 7.216666666666667)","(31.0, 32.0, 28.5)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.9375)","(6.0, 8.2, 8.004347826086956)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:00.755324,"(5.5, 7.8, 7.216666666666667)","(31.0, 32.0, 28.5)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.9375)","(6.0, 8.2, 7.979591836734693)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:01.863402,"(5.5, 7.8, 7.0)","(31.0, 34.0, 31.75)","(3.3, 3.85, 3.83125)","(13.0, 24.0, 21.5)","(6.0, 8.2, 7.979591836734693)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:02.998554,"(5.5, 7.8, 7.0)","(31.0, 32.0, 30.25)","(3.3, 3.85, 3.83125)","(13.0, 23.0, 21.714285714285715)","(6.0, 8.2, 7.979591836734693)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:04.148491,"(5.5, 7.6, 7.199999999999999)","(31.0, 32.0, 30.25)","(3.3, 3.85, 3.83125)","(13.0, 23.0, 21.714285714285715)","(6.0, 8.2, 7.979591836734693)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:05.305041,"(5.5, 7.6, 7.199999999999999)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.83125)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:06.435683,"(5.5, 7.6, 7.199999999999999)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.8344827586206898)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:07.590749,"(5.5, 7.6, 7.199999999999999)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.8344827586206898)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:08.687278,"(5.5, 7.6, 7.199999999999999)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.8344827586206898)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:09.779853,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.8344827586206898)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:10.863000,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.7492753623188406)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:11.923443,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.8, 3.7492753623188406)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:13.014205,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.8, 3.7492753623188406)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:14.059726,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.8, 3.7492753623188406)","(13.0, 20.0, 19.75)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:15.088470,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:16.069238,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.153846153846153)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:17.104818,"(5.5, 7.6, 7.35)","(31.0, 34.0, 28.857142857142858)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:18.172006,"(5.5, 7.6, 7.35)","(31.0, 34.0, 27.6)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:19.298992,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:20.392819,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:21.493063,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.779166666666667)","(13.0, 20.0, 19.5)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:22.669545,"(5.5, 7.6, 7.35)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.773076923076923)","(13.0, 19.5, 18.0)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:23.780285,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.782)","(13.0, 19.5, 18.0)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:24.872572,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.782)","(13.0, 19.0, 17.0)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.24)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:26.040465,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.782)","(13.0, 19.0, 15.921052631578947)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:27.116665,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.7846153846153845)","(13.0, 15.5, 15.25)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:28.159618,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.7878048780487807)","(13.0, 15.0, 14.978260869565217)","(6.0, 8.2, 7.999999999999999)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.529032258064516)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:29.372856,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 29.636363636363637)","(3.3, 3.85, 3.782)","(13.0, 18.0, 15.666666666666666)","(6.0, 8.2, 7.872727272727272)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.3578947368421055)","(8.0, 9.6, 9.466666666666667)"
16-12-2022 12:00:30.503459,"(5.5, 7.6, 7.4799999999999995)","(31.0, 34.0, 28.0)","(3.3, 3.85, 3.725)","(13.0, 18.0, 15.666666666666666)","(6.0, 8.2, 7.872727272727272)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.2272727272727275)","(8.0, 9.6, 9.441379310344828)"
16-12-2022 12:00:31.592776,"(5.5, 7.6, 7.4799999999999995)","(31.0, 34.0, 32.125)","(3.3, 3.6, 3.5727272727272728)","(13.0, 18.0, 16.25)","(6.0, 8.2, 7.872727272727272)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.418181818181818)","(8.0, 9.8, 9.441379310344828)"
16-12-2022 12:00:32.794542,"(5.5, 7.6, 7.533333333333333)","(31.0, 34.0, 30.344827586206897)","(3.3, 3.6, 3.5665562913907283)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.595121951219513)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:34.032603,"(5.5, 7.6, 7.588888888888889)","(31.0, 32.0, 30.4)","(3.3, 3.6, 3.5665562913907283)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.595121951219513)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:35.200996,"(5.5, 7.6, 7.588888888888889)","(31.0, 32.0, 30.4)","(3.3, 3.6, 3.5665562913907283)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.595121951219513)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:36.332633,"(5.5, 7.6, 7.588888888888889)","(31.0, 32.0, 30.4)","(3.3, 3.6, 3.5672413793103446)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.595121951219513)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:37.509237,"(5.5, 7.6, 7.59)","(31.0, 32.0, 30.4)","(3.3, 3.6, 3.570125786163522)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.625)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:38.700301,"(5.5, 7.6, 7.59)","(31.0, 32.0, 30.4)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.625)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:39.921411,"(5.5, 7.6, 7.59)","(31.0, 32.0, 30.75)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.625)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:41.057564,"(5.5, 7.6, 7.59)","(31.0, 32.0, 30.75)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.933333333333333)","(6.5, 8.4, 8.327272727272728)","(4.8, 6.8, 6.625)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:42.260941,"(5.5, 7.6, 7.59)","(26.0, 32.0, 30.75)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.327272727272728)","(5.0, 6.8, 6.625)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:43.496636,"(5.5, 7.6, 7.59)","(26.0, 32.0, 30.75)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.625)","(8.0, 9.8, 9.448)"
16-12-2022 12:00:44.704528,"(5.5, 7.6, 7.59)","(26.0, 32.0, 30.75)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.625)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:45.948458,"(5.5, 7.6, 7.59)","(26.0, 32.0, 30.75)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.625)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:47.147219,"(5.5, 7.6, 7.59)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.625)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:48.347139,"(5.5, 7.6, 7.59)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:49.504437,"(5.5, 7.4, 7.325806451612904)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:50.721386,"(5.5, 7.4, 7.325806451612904)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:51.927782,"(5.5, 7.4, 7.325806451612904)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.570125786163522)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:53.156491,"(5.5, 7.4, 7.322033898305085)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:54.376427,"(5.5, 7.4, 7.322033898305085)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.5693939393939393)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:55.623131,"(5.5, 7.4, 7.322033898305085)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.6, 3.733783783783784)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:56.987678,"(5.5, 7.4, 7.322033898305085)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.75, 3.7418918918918918)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:58.198345,"(5.5, 7.4, 7.322033898305085)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.75, 3.7418918918918918)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9818181818181815)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.638461538461539)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:00:59.359943,"(5.5, 7.4, 7.322033898305085)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.75, 3.7418918918918918)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9230769230769225)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.6090909090909085)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:01:00.723947,"(5.5, 7.4, 7.323333333333333)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.75, 3.727777777777778)","(13.0, 18.0, 17.23076923076923)","(6.0, 8.2, 7.9230769230769225)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.6090909090909085)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:01:01.995684,"(5.5, 7.4, 7.323333333333333)","(26.0, 32.0, 30.615384615384617)","(3.3, 3.75, 3.727777777777778)","(13.0, 18.0, 16.5)","(6.0, 8.2, 7.9230769230769225)","(6.5, 8.4, 8.352941176470589)","(5.0, 6.8, 6.6090909090909085)","(8.0, 9.8, 9.516129032258066)"
16-12-2022 12:01:03.312974,"(5.5, 7.4, 7.23448275862069)","(26.0, 34.0, 32.888888888888886)","(3.3, 3.75, 3.725)","(13.0, 18.0, 16.5)","(6.0, 8.2, 7.979591836734693)","(6.5, 8.4, 8.441860465116278)","(5.0, 6.8, 6.6090909090909085)","(8.0, 9.8, 9.516129032258066)"
