,Smoke Show,Bit Shakey,Our Girls Shout,Rogue Temptation,Home Invader,Scott Me
11-01-2023 11:55:17.141261,"(3.5, 4.2, 4.144)","(2.45, 2.9, 2.8873684210526314)","(3.6, 4.3, 4.2178571428571425)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.14864864864865)"
11-01-2023 11:55:18.180822,"(3.5, 4.2, 4.11764705882353)","(2.45, 2.9, 2.8873684210526314)","(3.6, 4.3, 4.2178571428571425)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.14864864864865)"
11-01-2023 11:55:19.155776,"(3.5, 4.2, 4.11764705882353)","(2.45, 2.9, 2.8847619047619046)","(3.6, 4.3, 4.21)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.55)","(8.0, 10.5, 10.14864864864865)"
11-01-2023 11:55:20.068797,"(3.5, 4.2, 4.11764705882353)","(2.45, 2.9, 2.8847619047619046)","(3.6, 4.3, 4.206896551724138)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.14864864864865)"
11-01-2023 11:55:20.918939,"(3.5, 4.2, 4.11875)","(2.45, 2.9, 2.888108108108108)","(3.6, 4.3, 4.211475409836066)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.55)","(8.0, 10.5, 10.166666666666666)"
11-01-2023 11:55:21.774848,"(3.5, 4.2, 4.11875)","(2.45, 2.9, 2.888108108108108)","(3.6, 4.3, 4.125)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.166666666666666)"
11-01-2023 11:55:22.668844,"(3.5, 4.2, 4.135714285714286)","(2.45, 2.9, 2.8899999999999997)","(3.6, 4.2, 4.125)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.55)","(8.0, 10.5, 10.14864864864865)"
11-01-2023 11:55:23.562044,"(3.5, 4.2, 4.135714285714286)","(2.45, 2.9, 2.8899999999999997)","(3.6, 4.2, 4.12)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.14864864864865)"
11-01-2023 11:55:24.443914,"(3.5, 4.2, 4.135714285714286)","(2.45, 2.9, 2.8899999999999997)","(3.6, 4.2, 4.12)","(21.0, 48.0, 44.92307692307692)","(12.0, 22.0, 21.55)","(8.0, 10.5, 10.171875)"
11-01-2023 11:55:25.344114,"(3.5, 4.2, 4.152)","(2.45, 2.9, 2.8766666666666665)","(3.6, 4.2, 4.12)","(21.0, 48.0, 42.0)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.206896551724139)"
11-01-2023 11:55:26.234406,"(3.5, 4.2, 4.113043478260869)","(2.45, 2.92, 2.8811009174311923)","(3.6, 4.2, 4.110344827586206)","(21.0, 48.0, 42.0)","(12.0, 22.0, 21.55)","(8.0, 10.5, 10.206896551724139)"
11-01-2023 11:55:27.143072,"(3.5, 4.2, 4.113043478260869)","(2.45, 2.9, 2.8909090909090907)","(3.6, 4.2, 4.110344827586206)","(21.0, 48.0, 42.0)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.206896551724139)"
11-01-2023 11:55:28.002890,"(3.5, 4.2, 4.118181818181818)","(2.45, 2.9, 2.8712)","(3.6, 4.2, 4.110344827586206)","(21.0, 48.0, 42.0)","(12.0, 22.0, 21.771428571428572)","(8.0, 10.5, 10.206896551724139)"
11-01-2023 11:55:28.885694,"(3.5, 4.2, 4.118181818181818)","(2.45, 2.9, 2.8712)","(3.6, 4.2, 4.110344827586206)","(21.0, 48.0, 41.6)","(12.0, 22.0, 21.103448275862068)","(8.0, 10.5, 10.206896551724139)"
11-01-2023 11:55:29.897058,"(3.5, 4.2, 4.118181818181818)","(2.45, 2.88, 2.8666666666666667)","(3.6, 4.2, 4.110344827586206)","(21.0, 48.0, 41.6)","(12.0, 22.0, 21.066666666666666)","(8.0, 10.5, 10.206896551724139)"
11-01-2023 11:55:30.853195,"(3.5, 4.2, 4.05)","(2.45, 2.92, 2.8614018691588785)","(3.6, 4.2, 4.110344827586206)","(21.0, 48.0, 43.42857142857143)","(12.0, 22.0, 21.103448275862068)","(8.0, 10.5, 10.196428571428571)"
11-01-2023 11:55:31.861057,"(3.5, 4.1, 4.033333333333333)","(2.45, 2.9, 2.88)","(3.6, 4.2, 4.1571428571428575)","(21.0, 48.0, 44.0)","(12.0, 22.0, 21.066666666666666)","(8.0, 10.5, 10.270833333333334)"
11-01-2023 11:55:32.803120,"(3.5, 4.1, 4.053571428571429)","(2.45, 2.9, 2.874285714285714)","(3.6, 4.2, 4.152)","(21.0, 48.0, 40.0)","(12.0, 20.0, 19.2)","(8.0, 10.5, 10.32258064516129)"
11-01-2023 11:55:33.695153,"(3.5, 4.1, 4.076190476190476)","(2.45, 2.9, 2.874285714285714)","(3.6, 4.2, 4.171428571428572)","(21.0, 48.0, 41.333333333333336)","(12.0, 20.0, 19.5)","(8.0, 10.5, 10.328125)"
11-01-2023 11:55:34.593350,"(3.5, 4.1, 4.076190476190476)","(2.45, 2.9, 2.88)","(3.6, 4.2, 4.171428571428572)","(21.0, 48.0, 41.333333333333336)","(12.0, 21.0, 20.0)","(8.0, 10.5, 10.328125)"
11-01-2023 11:55:35.427079,"(3.5, 4.1, 4.08)","(2.45, 2.9, 2.881818181818182)","(3.6, 4.2, 4.171428571428572)","(21.0, 48.0, 44.0)","(12.0, 21.0, 20.5)","(8.0, 10.5, 10.328125)"
11-01-2023 11:55:36.350025,"(3.5, 4.2, 4.111666666666666)","(2.45, 2.9, 2.874285714285714)","(3.6, 4.1, 4.03)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.153846153846153)","(8.0, 10.5, 10.1)"
11-01-2023 11:55:37.286133,"(3.5, 4.2, 4.108620689655172)","(2.45, 2.9, 2.876923076923077)","(3.6, 4.1, 4.089473684210526)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.153846153846153)","(8.0, 10.5, 10.166666666666666)"
11-01-2023 11:55:38.240968,"(3.5, 4.2, 4.064102564102564)","(2.45, 2.9, 2.8866666666666667)","(3.6, 4.1, 4.07391304347826)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.153846153846153)","(8.0, 10.5, 10.192307692307692)"
11-01-2023 11:55:39.211861,"(3.5, 4.2, 4.064102564102564)","(2.45, 2.9, 2.8866666666666667)","(3.6, 4.1, 4.06938775510204)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.153846153846153)","(8.0, 10.5, 10.192307692307692)"
11-01-2023 11:55:40.177962,"(3.5, 4.2, 4.069135802469136)","(2.45, 2.9, 2.876)","(3.6, 4.1, 4.073684210526316)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.4)","(8.0, 10.5, 10.14516129032258)"
11-01-2023 11:55:41.141653,"(3.5, 4.2, 4.053164556962026)","(2.45, 2.92, 2.8617224880382772)","(3.6, 4.1, 4.073684210526316)","(21.0, 48.0, 45.27272727272727)","(12.0, 22.0, 20.25)","(8.0, 10.5, 10.14516129032258)"
11-01-2023 11:55:42.024270,"(3.5, 4.2, 4.053164556962026)","(2.45, 2.92, 2.8614423076923075)","(3.6, 4.1, 4.073684210526316)","(21.0, 48.0, 44.25)","(12.0, 22.0, 21.466666666666665)","(8.0, 10.5, 10.133333333333333)"
11-01-2023 11:55:42.883435,"(3.5, 4.2, 4.058536585365854)","(2.45, 2.92, 2.8614423076923075)","(3.6, 4.1, 4.073684210526316)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.40909090909091)","(8.0, 10.5, 10.14516129032258)"
11-01-2023 11:55:43.742850,"(3.5, 4.2, 4.071111111111112)","(2.45, 2.9, 2.882608695652174)","(3.6, 4.1, 4.073684210526316)","(21.0, 48.0, 42.0)","(12.0, 22.0, 20.4)","(8.0, 10.5, 10.133333333333333)"
11-01-2023 11:55:44.591202,"(3.5, 4.2, 4.058536585365854)","(2.45, 2.9, 2.8609999999999998)","(3.6, 4.2, 4.155555555555556)","(21.0, 48.0, 46.0)","(12.0, 22.0, 20.75)","(8.0, 10.5, 10.121212121212121)"
11-01-2023 11:55:45.525743,"(3.5, 4.2, 4.058536585365854)","(2.45, 2.9, 2.8771428571428572)","(3.6, 4.2, 4.175)","(21.0, 48.0, 43.2)","(12.0, 22.0, 21.0)","(8.0, 10.5, 10.133333333333333)"
11-01-2023 11:55:46.462370,"(3.5, 4.2, 4.058536585365854)","(2.45, 2.88, 2.866086956521739)","(3.6, 4.2, 4.178260869565217)","(21.0, 48.0, 42.666666666666664)","(12.0, 22.0, 20.653846153846153)","(8.0, 10.5, 10.133333333333333)"
11-01-2023 11:55:47.391700,"(3.5, 4.2, 4.062337662337662)","(2.45, 2.9, 2.88)","(3.6, 4.2, 4.178260869565217)","(21.0, 48.0, 44.92307692307692)","(12.0, 22.0, 20.857142857142858)","(8.0, 10.5, 10.021739130434783)"
11-01-2023 11:55:48.391502,"(3.5, 4.1, 4.0827586206896544)","(2.45, 2.9, 2.8876923076923076)","(3.6, 4.2, 4.178260869565217)","(21.0, 48.0, 44.92307692307692)","(12.0, 22.0, 21.0)","(8.0, 10.5, 9.953125)"
11-01-2023 11:55:49.372829,"(3.5, 4.1, 4.0827586206896544)","(2.45, 2.9, 2.889090909090909)","(3.6, 4.2, 4.178260869565217)","(21.0, 48.0, 44.92307692307692)","(12.0, 22.0, 21.0)","(8.0, 10.5, 9.98529411764706)"
11-01-2023 11:55:50.279361,"(3.5, 4.1, 4.0827586206896544)","(2.45, 2.9, 2.889090909090909)","(3.6, 4.2, 4.175)","(21.0, 48.0, 43.55555555555556)","(12.0, 21.0, 20.210526315789473)","(8.0, 10.5, 9.98529411764706)"
11-01-2023 11:55:51.143544,"(3.5, 4.1, 4.066666666666666)","(2.45, 2.9, 2.8712)","(3.6, 4.3, 4.228571428571429)","(21.0, 48.0, 43.55555555555556)","(12.0, 21.0, 19.642857142857142)","(8.0, 10.5, 10.3)"
11-01-2023 11:55:52.030204,"(3.5, 4.1, 4.066666666666666)","(2.45, 2.9, 2.876774193548387)","(3.6, 4.3, 4.245945945945946)","(21.0, 48.0, 44.92307692307692)","(12.0, 21.0, 19.857142857142858)","(8.0, 10.5, 10.025)"
11-01-2023 11:55:52.902584,"(3.5, 4.1, 4.066666666666666)","(2.45, 2.9, 2.8712)","(3.6, 4.3, 4.255)","(21.0, 48.0, 44.92307692307692)","(12.0, 21.0, 20.136363636363637)","(8.0, 10.5, 9.98846153846154)"
11-01-2023 11:55:53.810174,"(3.5, 4.1, 4.066666666666666)","(2.45, 2.9, 2.8775)","(3.6, 4.3, 4.253846153846154)","(21.0, 48.0, 43.55555555555556)","(12.0, 21.0, 20.136363636363637)","(8.0, 10.5, 9.98846153846154)"
11-01-2023 11:55:54.753338,"(3.5, 4.1, 4.073076923076923)","(2.45, 2.9, 2.8775)","(3.6, 4.3, 4.247058823529412)","(21.0, 48.0, 45.333333333333336)","(12.0, 21.0, 20.6)","(8.0, 10.5, 9.96896551724138)"
11-01-2023 11:55:55.686953,"(3.5, 4.1, 4.026666666666666)","(2.45, 2.88, 2.852)","(3.6, 4.3, 4.253846153846154)","(21.0, 48.0, 44.36363636363636)","(12.0, 23.0, 21.58823529411765)","(8.0, 10.5, 9.96896551724138)"
11-01-2023 11:55:56.632112,"(3.5, 4.1, 4.067741935483871)","(2.45, 2.86, 2.8514285714285714)","(3.6, 4.3, 4.25)","(21.0, 48.0, 44.36363636363636)","(12.0, 23.0, 21.58823529411765)","(8.0, 10.5, 9.96896551724138)"
11-01-2023 11:55:57.900112,"(3.5, 4.2, 4.065822784810127)","(2.45, 2.86, 2.8474999999999997)","(3.6, 4.3, 4.25)","(21.0, 48.0, 45.0)","(12.0, 23.0, 21.58823529411765)","(8.0, 10.5, 9.96896551724138)"
11-01-2023 11:55:58.788678,"(3.5, 4.2, 4.065822784810127)","(2.45, 2.86, 2.8474999999999997)","(3.6, 4.3, 4.25)","(21.0, 48.0, 45.0)","(12.0, 23.0, 21.58823529411765)","(8.0, 10.5, 9.96896551724138)"
11-01-2023 11:55:59.742022,"(3.5, 4.3, 4.274285714285714)","(2.45, 2.86, 2.848148148148148)","(3.6, 4.1, 4.09074074074074)","(21.0, 55.0, 49.0)","(12.0, 23.0, 22.0)","(8.0, 10.5, 9.92962962962963)"
11-01-2023 11:56:00.649101,"(3.5, 4.4, 4.310769230769231)","(2.45, 2.84, 2.8114285714285714)","(3.6, 4.2, 4.142307692307693)","(21.0, 55.0, 49.0)","(12.0, 23.0, 22.043478260869566)","(8.0, 10.5, 9.92962962962963)"
11-01-2023 11:56:01.582751,"(3.5, 4.4, 4.341176470588236)","(2.45, 2.82, 2.8)","(3.6, 4.2, 4.1625)","(21.0, 55.0, 49.0)","(12.0, 22.0, 21.923076923076923)","(8.0, 10.5, 9.90294117647059)"
11-01-2023 11:56:02.523284,"(3.5, 4.4, 4.3304347826086955)","(2.45, 2.82, 2.803157894736842)","(3.6, 4.2, 4.1863636363636365)","(21.0, 55.0, 49.0)","(12.0, 22.0, 21.923076923076923)","(8.0, 10.5, 10.004878048780489)"
11-01-2023 11:56:03.481506,"(3.5, 4.4, 4.33)","(2.45, 2.82, 2.813333333333333)","(3.6, 4.2, 4.113888888888889)","(21.0, 55.0, 49.0)","(12.0, 23.0, 21.896551724137932)","(8.0, 10.5, 10.045)"
11-01-2023 11:56:04.470377,"(3.5, 4.4, 4.33)","(2.45, 2.84, 2.832)","(3.6, 4.2, 4.123529411764705)","(21.0, 55.0, 46.5)","(12.0, 23.0, 21.866666666666667)","(8.0, 10.5, 10.045)"
11-01-2023 11:56:05.488096,"(3.5, 4.4, 4.292592592592593)","(2.45, 2.8, 2.7885714285714283)","(3.6, 4.3, 4.291919191919192)","(21.0, 55.0, 47.4)","(12.0, 23.0, 21.866666666666667)","(8.0, 10.5, 9.947368421052632)"
11-01-2023 11:56:06.495428,"(3.5, 4.4, 4.292592592592593)","(2.45, 2.78, 2.773548387096774)","(3.6, 4.3, 4.2913461538461535)","(21.0, 50.0, 46.0)","(12.0, 23.0, 21.866666666666667)","(8.0, 10.5, 9.947368421052632)"
11-01-2023 11:56:07.532498,"(3.5, 4.4, 4.292592592592593)","(2.45, 2.78, 2.7785185185185184)","(3.5, 4.3, 4.295)","(21.0, 50.0, 46.0)","(13.0, 23.0, 21.82758620689655)","(8.0, 10.5, 10.022727272727273)"
11-01-2023 11:56:08.606100,"(3.5, 4.4, 4.292592592592593)","(2.45, 2.8, 2.789090909090909)","(3.5, 4.3, 4.295)","(21.0, 50.0, 46.0)","(13.0, 23.0, 21.82758620689655)","(8.0, 10.5, 10.022727272727273)"
11-01-2023 11:56:09.541154,"(3.5, 4.3, 4.245098039215686)","(2.45, 2.82, 2.7857142857142856)","(3.5, 4.3, 4.295)","(21.0, 50.0, 46.0)","(13.0, 23.0, 21.82758620689655)","(8.0, 10.5, 10.022727272727273)"
11-01-2023 11:56:10.425680,"(3.5, 4.3, 4.245098039215686)","(2.45, 2.82, 2.801176470588235)","(3.5, 4.3, 4.21860465116279)","(21.0, 50.0, 46.0)","(13.0, 23.0, 21.866666666666667)","(8.0, 10.5, 10.033333333333333)"
11-01-2023 11:56:11.321765,"(3.5, 4.3, 4.245098039215686)","(2.45, 2.82, 2.808)","(3.5, 4.3, 4.2027777777777775)","(21.0, 50.0, 46.0)","(13.0, 23.0, 21.866666666666667)","(8.0, 10.5, 10.033333333333333)"
11-01-2023 11:56:12.233951,"(3.5, 4.4, 4.368269230769231)","(2.45, 2.84, 2.804390243902439)","(3.5, 4.2, 4.142857142857142)","(21.0, 50.0, 46.0)","(13.0, 23.0, 21.866666666666667)","(8.0, 10.5, 10.0)"
11-01-2023 11:56:13.132158,"(3.5, 4.4, 4.394505494505495)","(2.45, 2.8, 2.7715555555555556)","(3.5, 4.2, 4.170212765957447)","(21.0, 50.0, 46.0)","(13.0, 23.0, 22.561643835616437)","(8.0, 10.5, 9.987804878048781)"
11-01-2023 11:56:14.045538,"(3.5, 4.4, 4.394505494505495)","(2.45, 2.8, 2.772173913043478)","(3.5, 4.2, 4.157894736842105)","(21.0, 50.0, 46.0)","(13.0, 23.0, 22.676470588235293)","(8.0, 10.5, 9.987804878048781)"
11-01-2023 11:56:14.960084,"(3.5, 4.4, 4.396)","(2.45, 2.8, 2.776153846153846)","(3.5, 4.2, 4.142857142857142)","(21.0, 50.0, 46.0)","(13.0, 23.0, 22.681159420289855)","(8.0, 10.5, 9.932432432432433)"
11-01-2023 11:56:15.828834,"(3.5, 4.4, 4.3861386138613865)","(2.45, 2.84, 2.82)","(3.5, 4.2, 4.12051282051282)","(21.0, 50.0, 46.0)","(13.0, 23.0, 22.65714285714286)","(8.0, 10.5, 9.932432432432433)"
11-01-2023 11:56:16.739594,"(3.6, 4.4, 4.3861386138613865)","(2.5, 2.82, 2.805454545454545)","(3.7, 4.2, 4.116279069767441)","(26.0, 50.0, 46.0)","(14.0, 23.0, 22.661971830985916)","(8.0, 10.5, 9.947368421052632)"
11-01-2023 11:56:17.607153,"(3.6, 4.4, 4.370175438596491)","(2.5, 2.82, 2.818064516129032)","(3.7, 4.2, 4.116279069767441)","(26.0, 50.0, 46.0)","(14.0, 23.0, 22.661971830985916)","(8.0, 10.5, 9.947368421052632)"
11-01-2023 11:56:18.481562,"(3.6, 4.4, 4.3730158730158735)","(2.5, 2.82, 2.7866666666666666)","(3.7, 4.2, 4.1175)","(26.0, 40.0, 39.333333333333336)","(14.0, 23.0, 22.661971830985916)","(8.0, 10.5, 9.947368421052632)"
11-01-2023 11:56:19.485766,"(3.6, 4.4, 4.3961538461538465)","(2.5, 2.8, 2.789090909090909)","(3.7, 4.2, 4.120588235294117)","(26.0, 40.0, 39.333333333333336)","(14.0, 23.0, 22.71014492753623)","(8.0, 10.5, 9.964705882352941)"
11-01-2023 11:56:20.422505,"(3.6, 4.5, 4.40925925925926)","(2.5, 2.82, 2.8107692307692305)","(3.7, 4.2, 4.103571428571429)","(26.0, 44.0, 42.0)","(14.0, 23.0, 22.8125)","(8.0, 10.5, 10.095555555555556)"
11-01-2023 11:56:21.505592,"(3.6, 4.5, 4.427027027027027)","(2.5, 2.82, 2.813333333333333)","(3.7, 4.1, 4.096774193548387)","(26.0, 44.0, 42.0)","(14.0, 23.0, 22.774647887323944)","(8.0, 10.5, 10.1325)"
11-01-2023 11:56:22.506268,"(3.6, 4.5, 4.422875816993464)","(2.5, 2.82, 2.8182978723404255)","(3.7, 4.1, 4.096774193548387)","(26.0, 44.0, 42.0)","(14.0, 23.0, 22.2)","(8.0, 10.5, 10.1325)"
11-01-2023 11:56:23.455126,"(3.6, 4.5, 4.423684210526316)","(2.5, 2.84, 2.824242424242424)","(3.7, 4.1, 3.9548387096774196)","(26.0, 42.0, 40.666666666666664)","(14.0, 23.0, 22.272727272727273)","(8.0, 10.5, 10.118181818181819)"
11-01-2023 11:56:24.367977,"(3.6, 4.5, 4.424183006535948)","(2.5, 2.86, 2.8442105263157895)","(3.7, 4.0, 3.987878787878788)","(26.0, 42.0, 40.666666666666664)","(14.0, 23.0, 22.272727272727273)","(8.0, 10.5, 10.118181818181819)"
11-01-2023 11:56:25.289090,"(3.6, 4.5, 4.424183006535948)","(2.5, 2.86, 2.8507692307692305)","(3.7, 4.0, 3.992063492063492)","(26.0, 42.0, 40.5)","(14.0, 23.0, 22.285714285714285)","(8.0, 10.5, 10.118181818181819)"
11-01-2023 11:56:26.219659,"(3.6, 4.5, 4.426582278481013)","(2.5, 2.86, 2.851111111111111)","(3.7, 4.0, 3.9574074074074073)","(26.0, 42.0, 41.0)","(14.0, 23.0, 22.880597014925375)","(8.0, 10.5, 9.98846153846154)"
11-01-2023 11:56:27.107352,"(3.6, 4.5, 4.450537634408603)","(2.5, 2.88, 2.866285714285714)","(3.7, 4.0, 3.946031746031746)","(26.0, 42.0, 41.0)","(14.0, 23.0, 22.75)","(8.0, 10.5, 9.98846153846154)"
11-01-2023 11:56:28.164319,"(3.6, 4.5, 4.458024691358025)","(2.5, 2.84, 2.8306666666666667)","(3.7, 3.95, 3.8985714285714286)","(26.0, 42.0, 41.0)","(14.0, 23.0, 22.73134328358209)","(8.0, 10.5, 10.23611111111111)"
11-01-2023 11:56:29.105715,"(3.6, 4.5, 4.447272727272727)","(2.5, 2.86, 2.8285714285714283)","(3.6, 3.95, 3.893859649122807)","(26.0, 42.0, 41.0)","(14.0, 23.0, 22.73134328358209)","(8.0, 10.5, 10.23611111111111)"
11-01-2023 11:56:30.100837,"(3.6, 4.5, 4.431343283582089)","(2.5, 2.86, 2.8355102040816327)","(3.6, 3.95, 3.8896825396825396)","(26.0, 42.0, 40.0)","(14.0, 23.0, 22.870967741935484)","(8.0, 10.5, 10.25)"
11-01-2023 11:56:31.036034,"(3.6, 4.5, 4.431343283582089)","(2.5, 2.86, 2.8504761904761904)","(3.6, 3.95, 3.891538461538462)","(26.0, 40.0, 38.8)","(14.0, 23.0, 22.733333333333334)","(8.0, 10.5, 10.428571428571429)"
11-01-2023 11:56:31.996380,"(3.6, 4.5, 4.432352941176471)","(2.5, 2.86, 2.8479245283018866)","(3.6, 3.9, 3.88)","(26.0, 40.0, 35.714285714285715)","(14.0, 24.0, 22.736842105263158)","(8.0, 10.5, 10.4375)"
11-01-2023 11:56:32.887463,"(3.6, 4.5, 4.432352941176471)","(2.5, 2.88, 2.8581132075471696)","(3.6, 3.9, 3.852)","(26.0, 36.0, 35.733333333333334)","(14.0, 23.0, 22.666666666666668)","(8.0, 10.5, 10.444444444444445)"
11-01-2023 11:56:33.787360,"(3.6, 4.5, 4.432352941176471)","(2.5, 2.9, 2.895438596491228)","(3.6, 3.85, 3.819)","(26.0, 36.0, 34.0)","(14.0, 24.0, 22.6875)","(8.0, 10.5, 10.452380952380953)"
11-01-2023 11:56:34.699931,"(3.6, 4.5, 4.433766233766234)","(2.5, 2.9, 2.8944347826086956)","(3.6, 3.85, 3.8169642857142856)","(26.0, 32.0, 31.75)","(14.0, 24.0, 22.764705882352942)","(8.0, 11.0, 10.588235294117647)"
11-01-2023 11:56:35.641310,"(3.6, 4.4, 4.385714285714286)","(2.5, 2.92, 2.901094527363184)","(3.6, 3.85, 3.8024390243902437)","(26.0, 34.0, 32.666666666666664)","(14.0, 24.0, 22.974358974358974)","(8.0, 11.0, 10.642857142857142)"
11-01-2023 11:56:36.597780,"(3.6, 4.5, 4.375)","(2.5, 2.92, 2.9014358974358974)","(3.6, 3.85, 3.8008928571428573)","(26.0, 34.0, 32.666666666666664)","(14.0, 24.0, 22.904761904761905)","(8.0, 11.0, 10.642857142857142)"
11-01-2023 11:56:37.544904,"(3.6, 4.5, 4.375)","(2.5, 2.92, 2.9021198156682027)","(3.6, 3.85, 3.7976190476190474)","(26.0, 34.0, 32.666666666666664)","(14.0, 23.0, 22.9)","(8.0, 11.0, 10.642857142857142)"
