,On Pursuit,Get A Shout,Xavien Bale,Dr Archer,Aunt Bee,Aussie Axle,Raw Eleven,Velocity Tori
11-01-2023 19:18:18.422010,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:19.670648,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:21.079076,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:22.275465,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:23.650918,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:24.814845,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:25.976235,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:27.156704,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:28.445801,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:29.678683,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:30.858764,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:31.880809,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:32.978724,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:34.147269,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:35.327466,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:36.509017,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:37.708786,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:38.862473,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:39.974372,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:41.069729,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:42.145436,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:43.266233,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.14)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:44.328859,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.18, 2.14)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:45.392527,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.18, 2.14)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:46.437173,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.25)","(1.65, 2.18, 2.14)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:47.587769,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.14)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:48.754680,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.14)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:49.828010,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.14)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:50.925818,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:52.056980,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:53.221370,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:54.324445,"(6.0, 11.5, 7.128571428571429)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:55.342923,"(6.0, 11.5, 7.675000000000001)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:56.328521,"(6.0, 11.5, 7.675000000000001)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:57.454988,"(6.0, 11.5, 7.675000000000001)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.1425)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:58.605533,"(6.0, 11.5, 7.675000000000001)","(31.0, 110.0, 56.875)","(1.65, 2.18, 2.144)","(3.9, 6.2, 4.2)","(16.0, 42.0, 23.090909090909093)","(11.0, 28.0, 25.73076923076923)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:59.786083,"(6.0, 13.0, 7.5)","(31.0, 260.0, 113.125)","(1.65, 2.6, 2.464864864864865)","(3.9, 6.2, 4.275)","(16.0, 60.0, 49.0)","(11.0, 34.0, 25.73076923076923)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:00.946579,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 113.125)","(1.65, 2.6, 2.464864864864865)","(3.9, 6.2, 4.275)","(16.0, 60.0, 49.0)","(11.0, 34.0, 25.73076923076923)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:02.209254,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 113.125)","(1.65, 2.6, 2.2615384615384615)","(3.9, 6.2, 4.275)","(16.0, 60.0, 49.0)","(11.0, 34.0, 25.73076923076923)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:03.413335,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 113.125)","(1.65, 2.58, 2.2615384615384615)","(3.9, 6.2, 4.275)","(16.0, 60.0, 49.0)","(11.0, 34.0, 25.73076923076923)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:04.605543,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 113.125)","(1.65, 2.58, 2.2615384615384615)","(3.9, 6.2, 4.275)","(16.0, 60.0, 49.0)","(11.0, 34.0, 25.73076923076923)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:05.719610,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 113.125)","(1.65, 2.58, 2.306896551724138)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 26.941176470588236)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:06.679922,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.58, 2.306896551724138)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:07.808283,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.58, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:08.793916,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:09.839963,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:10.816763,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:11.803800,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:12.916422,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:14.199743,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:15.307801,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:16.400298,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:17.569660,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:18.641961,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 19.3125)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:19.627857,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 53.785714285714285)","(11.0, 34.0, 24.416666666666668)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:20.713618,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 60.0, 31.5)","(11.0, 34.0, 19.9375)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:21.780224,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 34.0, 19.9375)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:22.974094,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 34.0, 19.9375)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:24.043257,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 34.0, 19.9375)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:25.057339,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 34.0, 19.9375)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:26.023663,"(6.0, 12.5, 8.433333333333334)","(31.0, 260.0, 130.0)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 34.0, 17.6875)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:27.084045,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 17.6875)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:28.156870,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 17.6875)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:29.139121,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 17.6875)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:30.171081,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 17.6875)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:31.304408,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 19.11111111111111)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:32.450208,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 21.333333333333332)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:33.549392,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 21.333333333333332)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:34.758291,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 21.333333333333332)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:35.926859,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 21.333333333333332)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:37.149787,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 21.333333333333332)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:38.390794,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 63.333333333333336)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 26.5)","(11.0, 28.0, 21.333333333333332)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:39.498537,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 58.125)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 28.0, 19.11111111111111)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:40.540495,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 28.0, 19.11111111111111)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:19:41.628972,"(6.0, 11.0, 7.933333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.24, 2.1858333333333335)","(3.9, 6.2, 4.275)","(16.0, 44.0, 31.5)","(11.0, 28.0, 19.11111111111111)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
