,Big Time Faye,Opawa Meg,Adobe Poppets,Allegro Tori,Eytukan,Love Race
16-12-2022 12:57:52.625255,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:53.591170,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:54.547863,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:55.631996,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:56.681076,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:57.552410,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:58.504080,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:59.569876,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:00.684353,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:01.837957,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:03.044554,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:04.157598,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:05.366219,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:06.480234,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:07.552674,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:08.612396,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:09.610407,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:10.557572,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:11.679667,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:12.735598,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:13.772790,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:14.965519,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:16.064073,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:17.313037,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.5256521739130435)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:18.390676,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 1.522391304347826)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:19.431646,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.61, 1.5191304347826087)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:20.485831,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.6, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:21.557665,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:22.384262,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:23.437069,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:24.479260,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:25.473883,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:26.409836,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.0999999999999996)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:27.456329,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.0999999999999996)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:28.514042,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.531111111111111)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:29.451661,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.6, 1.5361904761904763)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:30.440564,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.61, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:31.554653,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:32.542886,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:33.452632,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.63, 1.565)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:34.490490,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.64, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:35.455463,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:36.384058,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:37.330793,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:38.254032,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.61, 1.5568333333333333)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:39.192773,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:40.206692,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:41.290403,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.56)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:42.312490,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 1.565)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:43.256796,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.63, 1.5699999999999998)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:44.205649,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.64, 1.575)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:45.150667,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.65, 1.56)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:46.026802,"(6.5, 13.0, 12.04)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.0, 12.04)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 1.56)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:46.930917,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.565)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:47.990337,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.63, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:48.937067,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.5577966101694916)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:49.878586,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.61, 1.56)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:50.840424,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:51.885020,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:52.924125,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.565)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:53.862364,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.63, 1.565)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:54.841555,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1048780487804875)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:55.873729,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.56)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:56.870399,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 1.5550000000000002)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:57.866431,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.61, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:58.837697,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:58:59.793983,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:00.889175,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.63, 1.5228358208955224)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:02.006951,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 1.5282089552238804)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:03.056521,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.63, 1.5228358208955224)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:04.090662,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.62, 1.517462686567164)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:05.171879,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 22.070588235294117)","(1.45, 1.61, 1.512089552238806)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:06.227675,"(6.5, 13.5, 12.773684210526316)","(10.0, 24.0, 22.690909090909088)","(7.0, 13.5, 12.773684210526316)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.6, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:07.188177,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:08.172368,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:09.155617,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 1.5282089552238804)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:10.045280,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.63, 1.5282089552238804)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:11.103118,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.64, 1.538955223880597)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:12.139667,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.65, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:13.118155,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:14.152253,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:15.212526,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:16.249060,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.1065217391304345)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:17.288996,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:18.319654,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:19.314729,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:20.230284,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:21.198387,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:22.189939,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 1.5792727272727272)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:23.215550,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.63, 1.5720909090909092)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:24.276000,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.62, 1.564909090909091)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:25.377649,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.61, 1.560747663551402)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:26.503938,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.6, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:27.507493,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:28.359846,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 2.204494382022472)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:29.372565,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.6, 1.5533644859813085)","(13.0, 32.0, 29.4375)"
16-12-2022 12:59:30.429955,"(6.5, 13.5, 12.553333333333335)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.5, 12.553333333333335)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.59, 1.5597222222222222)","(13.0, 32.0, 29.4375)"
