,Blackpool Homer,Hazelnut,Slippery Swan,Island Chief,Cool Militant,Perfect Goddess,Devils Water,Way Up North
11-01-2023 15:57:18.040490,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:19.233659,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:20.410052,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:21.634586,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:22.820509,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:24.024028,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:25.198884,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 13.427272727272726)"
11-01-2023 15:57:26.367366,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.5, 12.636363636363637)","(10.0, 42.0, 38.849999999999994)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 13.427272727272726)"
11-01-2023 15:57:27.643415,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 12.636363636363637)","(10.0, 42.0, 38.849999999999994)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 13.427272727272726)"
11-01-2023 15:57:28.868257,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 12.636363636363637)","(10.0, 42.0, 38.849999999999994)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 13.427272727272726)"
11-01-2023 15:57:30.011629,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 12.636363636363637)","(10.0, 42.0, 38.849999999999994)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 13.427272727272726)"
11-01-2023 15:57:31.150968,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 12.636363636363637)","(10.0, 42.0, 38.849999999999994)","(9.0, 19.5, 13.491666666666667)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 13.427272727272726)"
11-01-2023 15:57:32.322335,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 12.636363636363637)","(10.0, 42.0, 34.125)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.5, 14.7)"
11-01-2023 15:57:33.476488,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 34.25)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:34.681784,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 34.25)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:35.794121,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 34.25)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:36.935648,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 36.916666666666664)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:38.000808,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 36.916666666666664)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:39.154782,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 36.916666666666664)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:40.334817,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 37.0)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:41.495869,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 37.0)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:42.812324,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 42.0, 30.333333333333332)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:44.036205,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 34.0, 30.333333333333332)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:45.202186,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 34.0, 30.333333333333332)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
11-01-2023 15:57:46.250864,"(8.5, 15.5, 9.112499999999999)","(9.0, 17.0, 11.666666666666666)","(10.0, 34.0, 28.75)","(9.0, 19.5, 12.41875)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 13.625)","(9.0, 18.0, 14.7)"
