,Alternate Shot,Sour Lemon,Epic Rooster,Adobe Derulo,Goldstar Tookie,Sugar Time
05-01-2023 16:11:37.859603,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:38.779234,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:39.811109,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:40.961549,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:42.070074,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:43.061014,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:43.994053,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:44.980657,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:45.984777,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:46.873042,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:47.946702,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:48.994329,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:49.972034,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:50.870334,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:51.828850,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:52.787364,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:53.772326,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:54.789279,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:55.919965,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.522727272727266)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:56.984398,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:57.972080,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:58.949164,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:00.106821,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:01.047767,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:01.934382,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:02.890757,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:03.875443,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:04.824096,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:05.712970,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:06.732615,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:07.715392,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:08.576264,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:09.514973,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:10.500304,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:11.504216,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:12.383685,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:13.322891,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:14.372300,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:15.386691,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:16.322418,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:17.210324,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:18.194881,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:19.198202,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:20.110312,"(1.5, 1.86, 1.804225352112676)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:21.058614,"(1.5, 1.86, 1.804225352112676)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:22.027817,"(1.5, 1.86, 1.804225352112676)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:22.996276,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:23.945707,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:24.827234,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:25.787084,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.77391304347826)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:26.766939,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 60.400000000000006)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:27.708324,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 60.400000000000006)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:28.615131,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 60.400000000000006)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:29.618286,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:30.613563,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:31.593198,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:32.453805,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:33.422306,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:34.388357,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:35.397982,"(1.5, 2.0, 1.9411764705882353)","(21.0, 220.0, 162.42857142857142)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:36.309867,"(1.5, 2.0, 1.9411764705882353)","(21.0, 210.0, 114.5)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:12:37.259900,"(1.5, 2.0, 1.9411764705882353)","(21.0, 210.0, 114.5)","(3.4, 5.5, 4.288461538461538)","(10.0, 26.0, 24.490909090909092)","(10.0, 65.0, 57.5)","(14.0, 34.0, 30.92857142857143)"
