,Prominent Henny,Warrior Empress,Awesome Evil,Can She Scoot,Tel Aviv
15-12-2022 11:09:19.132962,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:20.031029,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:20.860210,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:21.699172,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:22.573735,"(4.4, 5.2, 5.086363636363637)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:23.460338,"(4.4, 5.2, 5.086363636363637)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:24.337481,"(4.4, 5.2, 5.086363636363637)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:25.170544,"(4.4, 5.2, 5.086363636363637)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:26.027269,"(4.4, 5.2, 5.086363636363637)","(5.0, 6.2, 6.033333333333333)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.195454545454546)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:26.880378,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 6.033333333333333)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:27.744483,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.025)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:28.638141,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.85)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:29.481142,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:30.375173,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:31.260251,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:32.049946,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:32.854333,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2666666666666666)"
15-12-2022 11:09:33.773964,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:34.637425,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:35.475507,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:36.277841,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:37.147579,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:37.991737,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.175)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:38.878388,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.207142857142857)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:39.711151,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.207142857142857)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:40.497285,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.207142857142857)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:41.308946,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.207142857142857)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:42.152678,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.207142857142857)","(2.1, 2.4, 2.2593939393939397)"
15-12-2022 11:09:43.044867,"(4.4, 5.2, 5.075)","(5.0, 6.2, 6.0)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.15)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:43.996392,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.818181818181818)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.135294117647059)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:44.906172,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.135294117647059)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:45.716401,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.135294117647059)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:46.557055,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.135294117647059)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:47.403265,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.84)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.135294117647059)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:48.298904,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.142857142857143)","(2.1, 2.34, 2.2533333333333334)"
15-12-2022 11:09:49.109699,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.142857142857143)","(2.1, 2.3, 2.2533333333333334)"
15-12-2022 11:09:49.997155,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.142857142857143)","(2.1, 2.34, 2.2622222222222224)"
15-12-2022 11:09:50.853903,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.6, 6.142857142857142)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:51.671417,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.6, 5.9)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:52.510023,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.6, 6.25)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:53.368406,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.6, 6.25)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:54.161773,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.6, 6.25)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:54.994549,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.6, 6.1000000000000005)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:55.887057,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.1000000000000005)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:56.693773,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.1000000000000005)","(2.1, 2.32, 2.24)"
15-12-2022 11:09:57.507064,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.1000000000000005)","(2.1, 2.34, 2.2175000000000002)"
15-12-2022 11:09:58.315057,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.4, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.1000000000000005)","(2.1, 2.4, 2.31)"
15-12-2022 11:09:59.184244,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.678260869565217)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.566666666666666)","(2.1, 2.4, 2.31)"
15-12-2022 11:09:59.978178,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.678260869565217)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.180000000000001)","(2.1, 2.38, 2.31)"
15-12-2022 11:10:00.789917,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.0, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.180000000000001)","(2.1, 2.38, 2.31)"
15-12-2022 11:10:01.871198,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.0, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.385714285714285)","(2.1, 2.38, 2.2694117647058825)"
15-12-2022 11:10:02.685296,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.0, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.385714285714285)","(2.1, 2.34, 2.2694117647058825)"
15-12-2022 11:10:03.517467,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.8)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.2153846153846155)","(2.1, 2.34, 2.247692307692308)"
15-12-2022 11:10:04.345658,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.88)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.2153846153846155)","(2.1, 2.34, 2.247692307692308)"
15-12-2022 11:10:05.357822,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.828571428571428)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.2153846153846155)","(2.1, 2.34, 2.247692307692308)"
15-12-2022 11:10:06.176002,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.828571428571428)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.2153846153846155)","(2.1, 2.34, 2.247692307692308)"
15-12-2022 11:10:07.037298,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.8125)","(31.0, 900.0, 472.0)","(4.4, 6.4, 6.2153846153846155)","(2.1, 2.34, 2.2854545454545456)"
15-12-2022 11:10:07.831725,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.8125)","(31.0, 900.0, 472.0)","(4.4, 6.4, 5.976470588235294)","(2.1, 2.34, 2.2854545454545456)"
15-12-2022 11:10:08.860015,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.8125)","(31.0, 900.0, 472.0)","(4.4, 6.4, 5.85)","(2.1, 2.34, 2.2854545454545456)"
15-12-2022 11:10:09.857422,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.8125)","(31.0, 900.0, 472.0)","(4.4, 6.4, 5.85)","(2.1, 2.34, 2.2854545454545456)"
15-12-2022 11:10:10.673271,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.821428571428571)","(31.0, 900.0, 472.0)","(4.4, 6.4, 5.85)","(2.1, 2.34, 2.2854545454545456)"
15-12-2022 11:10:11.482368,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.516)","(2.1, 2.34, 2.2854545454545456)"
15-12-2022 11:10:12.368050,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.461538461538462)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:13.285124,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.592592592592593)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.975)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:14.122462,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.461538461538462)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:14.926980,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.975)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:15.750441,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.5)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:16.544935,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.592592592592593)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.5)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:17.427580,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.5)","(2.1, 2.34, 2.3329411764705883)"
15-12-2022 11:10:18.335882,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.592592592592593)","(31.0, 900.0, 386.4)","(4.4, 6.2, 5.5)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:19.283307,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 386.4)","(4.4, 6.2, 5.7)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:20.174491,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.645833333333333)","(31.0, 900.0, 386.4)","(4.4, 5.9, 5.7)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:21.115779,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.9, 5.392307692307692)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:21.922457,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.9, 5.392307692307692)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:22.974316,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.9, 5.392307692307692)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:23.961291,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.9, 5.392307692307692)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:24.938989,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:25.810830,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:26.829278,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:27.741719,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.3266666666666667)"
15-12-2022 11:10:28.672926,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.592592592592593)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:29.522213,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:30.445178,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:31.653458,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:32.522722,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 386.4)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:33.405270,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:34.335047,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.322222222222222)"
15-12-2022 11:10:35.191795,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.32, 2.311111111111111)"
15-12-2022 11:10:36.072809,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.4, 2.2909090909090906)"
15-12-2022 11:10:36.965666,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.821428571428571)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.4, 2.2909090909090906)"
15-12-2022 11:10:37.942824,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.4, 2.2909090909090906)"
15-12-2022 11:10:38.903608,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.4, 2.2909090909090906)"
15-12-2022 11:10:39.908111,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.4, 2.2727272727272725)"
15-12-2022 11:10:40.749879,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.4, 2.2727272727272725)"
15-12-2022 11:10:41.721956,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.38, 2.32)"
15-12-2022 11:10:42.591173,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.38, 2.32)"
15-12-2022 11:10:43.624294,"(4.4, 5.2, 5.075)","(5.0, 6.2, 5.64)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.38, 2.32)"
15-12-2022 11:10:44.537459,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.857142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.38, 2.32)"
15-12-2022 11:10:45.484288,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:46.414586,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:47.217051,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:48.049562,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:49.009705,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:49.980021,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:50.899783,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.75)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:51.824685,"(4.4, 5.2, 5.075)","(5.0, 6.0, 5.8125)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:52.633973,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.0, 5.8125)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.55)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:53.482659,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.646153846153846)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:54.419297,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.646153846153846)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:55.347067,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.646153846153846)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:56.566859,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 5.8, 5.589285714285714)","(2.1, 2.34, 2.28)"
15-12-2022 11:10:57.669821,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.44)","(2.1, 2.34, 2.3099999999999996)"
15-12-2022 11:10:58.627639,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.2, 5.44)","(2.1, 2.34, 2.3099999999999996)"
15-12-2022 11:10:59.626126,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.6000000000000005)","(2.1, 2.34, 2.3099999999999996)"
15-12-2022 11:11:00.813401,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.6000000000000005)","(2.1, 2.34, 2.28)"
15-12-2022 11:11:02.073604,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.6000000000000005)","(2.1, 2.34, 2.28)"
15-12-2022 11:11:03.148991,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.6000000000000005)","(2.1, 2.34, 2.28)"
15-12-2022 11:11:04.204618,"(4.4, 5.2, 5.057142857142857)","(5.0, 6.2, 5.9)","(31.0, 900.0, 472.0)","(4.4, 6.0, 5.6000000000000005)","(2.1, 2.34, 2.28)"
