,Whiskey Business,Amber Days,Have A Heart,Dream Dancer,Godges,Cheeky Willow,Cake Is Good,Dayseas Rikki
06-01-2023 16:05:28.980168,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:30.110388,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:31.262513,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:32.405891,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:33.499417,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:34.552881,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:35.651415,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:36.736386,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:37.877718,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:39.076201,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:40.184528,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:41.282952,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:42.325470,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:43.326845,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:44.420895,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:45.583901,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:46.675990,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:47.816655,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.6230769230769235)","(11.0, 22.0, 21.076923076923077)"
