,Smash Ready,Its Better,Diamond Harmony,Money Bags,Jocelyn,Edge Of Reason,Sadiki Bale,Taieri Missile
12-01-2023 15:45:27.222515,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:28.670702,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:30.059138,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:31.342347,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:32.555755,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:33.743372,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:34.994549,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:36.193479,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:37.459022,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:38.684721,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:39.904243,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:41.060473,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:42.257013,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:43.440896,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:44.671323,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:45.980630,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:47.366474,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:48.735873,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:50.083845,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:51.508094,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:52.826358,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:54.040071,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:55.177531,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.66842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:56.421026,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:57.502083,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:58.715357,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:59.875651,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:01.101671,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:02.412271,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:03.621716,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.0)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:04.782359,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:05.991365,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:07.148879,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:08.250348,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:09.440693,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:10.693685,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:11.973074,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:13.159542,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:14.260857,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:15.532551,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:16.793150,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:17.960082,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:19.068234,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:20.361169,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:21.610772,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:22.766913,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:23.978109,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:25.289484,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 7.084615384615385)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:26.593593,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 7.969230769230769)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.9)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:27.866773,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 6.35)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:29.131863,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 6.35)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:30.450376,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 6.35)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:46:31.738549,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 6.35)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
