,Notacry,A View From Above,Moogie Son,Champs Success,Lightning Star,Fast Gallito,Leslies Gold,Tool Time,Speeding Style,Poverty Bay
12-01-2023 08:40:12.417021,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:13.837663,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:15.236941,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:16.629867,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:18.039458,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:19.458918,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:21.017473,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:22.379994,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:23.738184,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:25.131474,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:26.583247,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:28.016827,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:29.432588,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:30.787753,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:32.208352,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:33.554484,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:35.006476,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:36.489700,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:37.932539,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:39.364194,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:40.777911,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:42.110759,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:43.496080,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:44.956216,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:46.454837,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:47.927304,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:49.347590,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:50.688614,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:52.131754,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:53.563935,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:55.010938,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:56.380929,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:57.749726,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:59.175364,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:00.610131,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:02.091324,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:03.524325,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:04.899247,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:06.303816,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:07.691991,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:09.098103,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:10.523733,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:11.990355,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:13.369614,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:14.761005,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:16.155728,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:17.620242,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:19.042076,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:20.507158,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:21.939733,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:23.428704,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:24.813652,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:26.182313,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:27.552076,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:29.019686,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:30.557489,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:31.971822,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:33.329385,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:34.635344,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:36.082437,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:37.491706,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:38.915471,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:40.425137,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:41.838706,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:43.196130,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:44.650640,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:46.081872,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:47.585118,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:48.986927,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:50.381503,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:51.711971,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:53.117252,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:54.560269,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:55.923225,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:41:57.245254,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
