,Rocking Bugatti,Hurricane Hall,Major Watson Nz,Our Madiba Nz,Ultimate Force,Bide Our Time,Belittled,Rocket Boy,Tupelo Beach,Daylight At Dawn
07-01-2023 15:39:49.519905,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:51.146327,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:52.734931,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:54.352770,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:55.831350,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:57.349823,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:58.824629,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:00.203375,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:01.674265,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:03.127553,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:04.656749,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:06.090978,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:07.528315,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:08.927321,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:10.343358,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:11.713776,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:13.034615,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:14.401139,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:15.783886,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:17.072593,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:18.382787,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:19.739497,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:21.021514,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:22.310624,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:23.522726,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:24.761509,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:26.038813,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:27.295079,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:28.669612,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:30.020250,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:31.359442,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:32.689776,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:33.998850,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:35.314968,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:36.661280,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:37.980095,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:39.278723,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:40.532990,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:41.795324,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:43.046834,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:44.240184,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:45.502387,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:46.807968,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:48.066825,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:49.341905,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:50.679268,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:51.964555,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:53.303920,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:54.634287,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:55.960140,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:57.200630,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:58.466794,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:40:59.718880,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:41:00.948609,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:41:02.178348,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:41:03.509560,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:41:04.795758,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:41:06.060891,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:41:07.303350,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
