,Shintaro Fury,Finniss Spice,Newtons Law,Recommend,Bag The Cash,Big Merv,Velocity Corene,Irish Gem
07-01-2023 10:32:10.170338,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:11.400383,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:12.649087,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:13.978072,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:15.316144,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:16.653253,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:18.084091,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:19.406586,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:20.784611,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:22.337005,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:23.880992,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:25.528040,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:26.894862,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:28.229865,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:29.525038,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:30.832817,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:32.133291,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:33.355610,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:34.682538,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:36.072350,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:37.432311,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:38.824765,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:40.154080,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:41.429558,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:42.655543,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:43.952211,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:45.149748,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:46.448524,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:47.803520,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:48.903270,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:50.078211,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:51.276757,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:52.416055,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:53.724627,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:54.967825,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:56.088089,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:57.295262,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:58.465801,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:59.810741,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:01.222580,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:02.566901,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:03.868045,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:05.247521,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:06.644957,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:08.007095,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:09.432460,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:10.766148,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:11.994701,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:13.237085,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:14.507247,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:15.703619,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:16.974356,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:18.239698,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:19.432303,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:20.612883,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:21.798247,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:22.924161,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:24.234269,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:25.556474,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:26.831091,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:28.101027,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:29.403453,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:30.591830,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:31.837931,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:33.070911,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:34.305254,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:35.558210,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:36.910277,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:33:38.066032,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
