,Clockstrikestwelve,Thats Amare,Shezaghost,Scherzo,Madeira Wine,Rev Ree,Trojan Clubhouse
08-01-2023 08:58:24.787537,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:25.899166,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:26.981368,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:28.078110,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:29.176876,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:30.287098,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:31.389897,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:32.467849,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:33.575117,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:34.692307,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:35.780906,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:36.859364,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:37.972288,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:39.044148,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:40.132759,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:41.228781,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:42.340810,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:43.456342,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:44.579584,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:45.681884,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:46.787625,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:47.882665,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:48.985057,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:50.080001,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:51.186914,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:52.271056,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:53.384299,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:54.468467,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:55.564893,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:56.686901,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:57.773136,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:58.856566,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:58:59.946610,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:01.034778,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:02.143585,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:03.243482,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:04.334524,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:05.414092,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:06.557109,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:07.643732,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:08.771323,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:09.896676,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:10.994625,"(3.2, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:12.090058,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:13.190286,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:14.286712,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:15.405812,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:16.491271,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:17.577998,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:18.686391,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:19.771823,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:20.867471,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:21.946515,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:23.060098,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:24.152084,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:25.247039,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:26.339726,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:27.451162,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:28.532321,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:29.628186,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:30.746759,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:31.860869,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:32.977957,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:34.076902,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:35.188619,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:36.272751,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:37.369633,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:38.462373,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:39.561944,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:40.666949,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:41.744337,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:42.853183,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:43.935688,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:45.027288,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:46.118351,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:47.213664,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:48.318155,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:49.398037,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:50.492520,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:51.595438,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:52.702543,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:53.788303,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:54.882451,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:55.976417,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:57.084123,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:58.178834,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 08:59:59.293069,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:00.387811,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:01.476507,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:02.573233,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:03.691310,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:04.788817,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:05.874133,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:06.973677,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:08.076574,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:09.187253,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:10.306045,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:11.386926,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:12.473987,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:13.563936,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:14.678445,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:15.779892,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:16.883018,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:17.987701,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:19.121378,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:20.243035,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:21.342795,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:22.443904,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
08-01-2023 09:00:23.570530,"(3.3, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.0, 99999, 99990)"
