,Augusto Bravo,Charmed Destiny,Gentacheeva,Irish Knight,Sunday Bowler,Nairobi,Xylina Warrior,Monks
04-01-2023 11:42:48.525306,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.380952380952381)","(91.0, 320.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:49.642840,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:50.750618,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:51.897761,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:52.980160,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:54.152140,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:55.318275,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:56.435701,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:57.563869,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 36.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:58.731282,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:42:59.835920,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:00.927744,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:01.981388,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 211.11111111111111)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:03.084048,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 300.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:04.118512,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:05.159190,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:06.225295,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:07.314949,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:08.443365,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:09.659096,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:10.801269,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:11.906756,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:13.032443,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:14.186741,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:15.293438,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:16.422716,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:17.534390,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 240.0)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:18.666320,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 290.0, 202.22222222222223)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:19.752741,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 280.0, 226.66666666666669)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:20.824116,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 270.0, 226.66666666666669)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:22.032434,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 270.0, 226.66666666666669)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:43:23.444071,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 270.0, 226.66666666666669)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:43:24.749859,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 270.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:43:25.887859,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:27.061945,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:28.204863,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:29.369503,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.683333333333334)"
04-01-2023 11:43:30.498058,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.320952380952381)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.333333333333334)","(91.0, 310.0, 253.33333333333331)","(26.0, 34.0, 29.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
