,Right To Assemble,Lindas Taj,I Love Maria,Varsity Kickline,Gilded Quest,Jaccaci,Tout Ensemble
15-12-2022 10:50:12.924216,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 25.0)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:13.949820,"(101.0, 610.0, 352.85714285714283)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 25.0)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:15.053561,"(101.0, 610.0, 352.85714285714283)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 25.0)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:16.096023,"(101.0, 610.0, 352.85714285714283)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 27.857142857142858)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:17.108285,"(101.0, 610.0, 386.875)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 27.857142857142858)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:18.040094,"(101.0, 610.0, 482.5)","(9.0, 22.0, 15.142857142857142)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 27.857142857142858)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:19.024400,"(101.0, 610.0, 321.0)","(9.0, 22.0, 15.142857142857142)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 27.1)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:20.086792,"(101.0, 610.0, 321.0)","(9.0, 22.0, 15.142857142857142)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 27.1)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:21.197682,"(101.0, 610.0, 321.0)","(9.0, 22.0, 15.142857142857142)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:22.231387,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:23.300744,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(7.5, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:24.261379,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:25.177781,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
