,Acquiescent,Dollar Bucks,Kano,Of The Field,Scamster,The Bladesman,Tewkesbury,Jugan,Saintly Rose,Superior Sam,Unscented
08-01-2023 13:34:22.510989,"(2.0, 2.2, 2.18)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:23.753035,"(2.0, 2.2, 2.18)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:25.029486,"(2.0, 2.2, 2.18)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:26.347769,"(2.0, 2.2, 2.18)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:27.686252,"(2.0, 2.2, 2.18)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:29.009546,"(2.0, 2.2, 2.18)","(101.0, 230.0, 193.33333333333334)","(101.0, 230.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 45.0)","(41.0, 170.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 230.0, 160.0)"
08-01-2023 13:34:30.244317,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:31.447057,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:32.676609,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:33.939994,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:35.215113,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:36.563538,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:37.935523,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:39.282291,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:40.648986,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:42.118124,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:43.618671,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:45.132258,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:46.602569,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:48.002496,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:49.441510,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:50.863635,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:52.281470,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:53.787942,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:55.160045,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:56.576041,"(2.0, 2.2, 2.18)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:58.081609,"(2.0, 2.2, 2.16)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:34:59.585243,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:01.045516,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:02.500136,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:03.903991,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:05.363996,"(2.0, 2.18, 2.0965217391304347)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:06.765190,"(2.0, 2.18, 2.0965217391304347)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:08.178161,"(2.0, 2.18, 2.0965217391304347)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:09.505919,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:10.813844,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:12.151414,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:13.502822,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:14.904978,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:16.300007,"(2.0, 2.18, 2.084)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:17.694686,"(2.0, 2.18, 2.081818181818182)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:19.068033,"(2.0, 2.16, 2.1100000000000003)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.88)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:20.474961,"(2.0, 2.16, 2.12)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.571428571428571)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:21.878653,"(2.0, 2.16, 2.12)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.571428571428571)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:23.323743,"(2.0, 2.16, 2.12)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.571428571428571)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:24.711884,"(2.0, 2.18, 2.098181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.571428571428571)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:26.131222,"(2.0, 2.18, 2.098181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.571428571428571)","(101.0, 220.0, 160.0)"
08-01-2023 13:35:27.546962,"(2.0, 2.18, 2.098181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.0, 10.866666666666667)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 45.0)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.571428571428571)","(101.0, 220.0, 160.0)"
