,Jets Art,Jo Rocks,Alanza,Elli Joh,Heavenly Brigade Nz,Norms Lady,Blissfull Mind,Tic Tact,Aussiepride,Power Up Nz
11-01-2023 19:16:56.299918,"(6.0, 8.4, 7.733333333333333)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:57.923224,"(6.0, 8.4, 7.733333333333333)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:59.466159,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:00.870384,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:02.191536,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:03.544251,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:04.954668,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:06.337503,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:07.657675,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:08.912663,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:10.223800,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:11.452203,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:12.795856,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:14.018170,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:15.305090,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:16.687791,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:18.085159,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:19.470937,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:20.891713,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:22.212593,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:23.435884,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:24.757515,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:26.039002,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:27.405393,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:28.699209,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:30.021693,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:31.287498,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:32.607264,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:33.962851,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 8.48)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:35.439204,"(6.0, 8.4, 7.733333333333333)","(8.0, 9.8, 10.2)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:36.860715,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 10.2)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:38.364381,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:39.989994,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:41.326480,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.7142857142857144)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:42.639678,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:43.866897,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:45.034852,"(6.0, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(4.8, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:46.329039,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:47.594710,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:49.023057,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:50.305274,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:51.522887,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:53.146281,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:54.467385,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:55.923453,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:57.335284,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:17:58.735094,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:00.258313,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:01.611361,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:02.919864,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:04.248514,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:05.676624,"(5.5, 8.4, 7.733333333333333)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 7.566666666666667)","(81.0, 170.0, 138.57142857142856)","(71.0, 190.0, 106.66666666666666)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:07.053341,"(5.5, 8.4, 7.066666666666667)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 84.16666666666667)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 106.66666666666666)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:08.526351,"(5.5, 8.4, 7.2)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:09.863507,"(5.5, 8.4, 7.2)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:11.223217,"(5.5, 8.4, 7.2)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:12.511898,"(5.5, 8.4, 7.2)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:13.841150,"(5.5, 8.4, 7.2)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:15.142284,"(5.5, 8.4, 7.2)","(8.0, 11.5, 9.16)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:16.550974,"(5.5, 8.4, 7.2)","(8.0, 11.5, 10.2)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:18.010776,"(5.5, 8.4, 7.2)","(8.0, 11.5, 10.2)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
11-01-2023 19:18:19.500065,"(5.5, 8.4, 7.2)","(8.0, 11.5, 10.2)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(5.0, 8.4, 6.96)","(81.0, 170.0, 142.5)","(71.0, 190.0, 166.36363636363637)","(26.0, 38.0, 26.0)","(4.4, 99999, 99990)"
