,Toongabbie Mae,Nelly Intention,Lika Light,St Maarten,Toms Express,Belle Intention,Leapling,Trendy Touchdown
08-01-2023 19:23:09.889567,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 51.5)"
08-01-2023 19:23:10.960593,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:12.041434,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:13.182214,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:14.368327,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:15.355801,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:16.355763,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:17.368329,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 590.0, 132.22222222222223)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:18.437519,"(1.9, 3.0, 2.725)","(2.5, 4.1, 2.996)","(81.0, 590.0, 132.22222222222223)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:19.504926,"(1.9, 3.0, 2.6615384615384614)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:20.540776,"(1.9, 2.98, 2.888695652173913)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:21.640743,"(1.9, 2.98, 2.73)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:22.686202,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:23.806902,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:24.851784,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:25.905499,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:27.019610,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:28.143763,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:29.244048,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:30.245360,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:31.294526,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:32.353154,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:33.496470,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:34.566216,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:35.568416,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:36.567118,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:37.635962,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:38.745112,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:39.750638,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:40.767241,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 540.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:41.904746,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:43.013957,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:44.160477,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:45.245938,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:46.330904,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:47.414266,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 273.0769230769231)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:48.480329,"(1.9, 2.96, 2.7314285714285713)","(2.5, 4.1, 2.996)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.946153846153845)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:49.558434,"(1.9, 2.96, 2.7446153846153845)","(2.5, 4.1, 2.858)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:50.605865,"(1.9, 2.96, 2.7446153846153845)","(2.5, 3.95, 2.8225000000000002)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:51.643814,"(1.9, 2.96, 2.7446153846153845)","(2.5, 3.9, 2.956)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:52.768559,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.8, 2.936)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:53.836769,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.7, 3.046666666666667)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:54.880338,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.65, 2.7604347826086957)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:55.917175,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.55, 2.7792857142857144)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:56.992300,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.55, 2.7545833333333336)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:58.159593,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.55, 2.7545833333333336)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:23:59.252719,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.55, 2.7545833333333336)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:24:00.297286,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.55, 2.7545833333333336)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:24:01.345987,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.45, 2.7492)","(81.0, 590.0, 361.1111111111111)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 245.38461538461542)","(20.0, 65.0, 58.85714285714286)","(20.0, 55.0, 38.5)"
08-01-2023 19:24:02.498864,"(1.9, 2.96, 2.8266666666666667)","(2.5, 3.45, 3.06)","(81.0, 590.0, 495.83333333333337)","(10.0, 22.0, 15.75)","(7.0, 9.2, 8.993749999999999)","(51.0, 550.0, 443.0)","(20.0, 65.0, 50.666666666666664)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:03.625324,"(1.9, 2.94, 2.918823529411765)","(2.5, 3.4, 3.06)","(81.0, 580.0, 495.83333333333337)","(10.0, 21.0, 18.944444444444443)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:04.732981,"(1.9, 2.94, 2.855)","(2.5, 3.4, 3.06)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:05.829129,"(1.9, 2.94, 2.9)","(2.5, 3.4, 3.06)","(81.0, 580.0, 488.18181818181813)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:06.921309,"(1.9, 2.94, 2.855)","(2.5, 3.4, 3.06)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:07.973451,"(1.9, 2.94, 2.855)","(2.5, 3.4, 3.06)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:09.079919,"(1.9, 2.94, 2.9175)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 20.083333333333336)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:10.146328,"(1.9, 2.94, 2.855)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 22.0, 20.083333333333336)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:11.191893,"(1.9, 2.94, 2.77)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 22.0, 18.714285714285715)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:12.306726,"(1.9, 2.94, 2.77)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 22.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:13.402224,"(1.9, 2.94, 2.902222222222222)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:14.503685,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:15.594459,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.3, 3.01)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:16.653948,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.25, 2.7553333333333336)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:17.715669,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.2, 2.96)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:18.855081,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.2, 2.96)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 45.45454545454545)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:19.979501,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.2, 2.96)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:21.037961,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.2, 2.96)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:21.991789,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.2, 2.96)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.993749999999999)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:23.061660,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.2, 2.96)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.96923076923077)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:24.174875,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.15, 2.748666666666667)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 9.0125)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:25.311172,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.1, 2.91)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 9.0125)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:26.351936,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.1, 2.91)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 9.0125)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 52.30769230769231)"
08-01-2023 19:24:27.393021,"(1.9, 2.94, 2.8833333333333333)","(2.5, 3.1, 2.91)","(81.0, 580.0, 495.83333333333337)","(10.0, 20.0, 19.136363636363637)","(7.0, 9.2, 8.7)","(51.0, 540.0, 443.0)","(20.0, 65.0, 47.083333333333336)","(20.0, 55.0, 46.25)"
