,Red Fox,Antequera,Diddley Squat,Zoufire,Big Bullet,Berry Foxie,World Action,Xtramagic
08-01-2023 11:44:54.152711,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:55.105576,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:56.043482,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:56.996637,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:57.917141,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:58.840622,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:59.920092,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:00.875865,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:01.834075,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:02.927782,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:03.884737,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:04.878250,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:05.905792,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:06.894726,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:45:07.893198,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.927777777777778)","(9.0, 14.0, 13.416666666666668)"
08-01-2023 11:45:08.850851,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.927777777777778)","(9.0, 14.0, 11.3)"
08-01-2023 11:45:09.806274,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.927777777777778)","(9.0, 14.5, 13.0)"
08-01-2023 11:45:10.759510,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:11.701397,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:12.645744,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:13.588662,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:14.532356,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:15.490203,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:16.464919,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.966666666666667)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:17.434977,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:18.398975,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:19.375286,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:20.489938,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:21.479002,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:22.461333,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:23.491659,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:24.582777,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:25.589658,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:26.598403,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:27.607828,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:28.645931,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:29.630787,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:30.621613,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 153.33333333333334)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:31.598013,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 153.33333333333334)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:32.569016,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:33.582646,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:34.688655,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:35.692289,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:36.673206,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:37.657590,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:38.606664,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:39.580168,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:40.536790,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:41.541958,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:42.550720,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:43.553838,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:44.570480,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:45.584543,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:46.570416,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:47.555041,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.908333333333333)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:48.540123,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.966666666666667)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:49.546207,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.966666666666667)","(9.0, 14.0, 13.0)"
08-01-2023 11:45:50.508192,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.733333333333333)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 190.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.2, 3.966666666666667)","(9.0, 14.0, 13.0)"
