,Als Loaded,Big Time Oreo,Thrilling Maple,Big Time Violet,Claws In Creed,Claws In Cobra,Go Tina,Sugar Boom Boom
14-12-2022 11:54:15.219002,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.066666666666666)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.444444444444443)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.066666666666666)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:16.558939,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.066666666666666)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 23.333333333333332)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:17.619489,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.066666666666666)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 23.333333333333332)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:18.760317,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 23.420289855072465)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:20.451059,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.11111111111111)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:21.951228,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.03125)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:23.267561,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.03125)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:24.396432,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.03125)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:25.582798,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.03125)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:26.669620,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.11111111111111)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.03125)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:27.771475,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.03125)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:28.864759,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.147058823529413)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:29.932497,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 30.147058823529413)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:31.143639,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 28.25)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:32.203521,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 28.25)","(18.0, 24.0, 23.517241379310345)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:33.252344,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.142857142857142)","(20.0, 32.0, 29.692307692307693)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:34.299817,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8187499999999996)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.142857142857142)","(20.0, 32.0, 29.692307692307693)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:35.335867,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8187499999999996)","(16.0, 24.0, 22.8)","(15.0, 21.0, 19.142857142857142)","(20.0, 34.0, 29.333333333333332)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:36.382997,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8187499999999996)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.214285714285715)","(20.0, 34.0, 29.333333333333332)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:37.441456,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8285714285714283)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.214285714285715)","(20.0, 34.0, 29.333333333333332)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:38.585986,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 29.333333333333332)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:39.651235,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 28.689655172413794)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:40.695126,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 28.689655172413794)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:41.726280,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 29.470588235294116)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.2499212598425196)"
14-12-2022 11:54:42.820213,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 29.470588235294116)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.2499212598425196)"
14-12-2022 11:54:44.019842,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.5)","(1.9, 2.26, 2.2499212598425196)"
14-12-2022 11:54:45.117529,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2499212598425196)"
14-12-2022 11:54:46.151429,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.833333333333333)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2499212598425196)"
14-12-2022 11:54:47.174729,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.814285714285714)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2499212598425196)"
14-12-2022 11:54:48.254153,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.814285714285714)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.289473684210527)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.258974358974359)"
14-12-2022 11:54:49.359965,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8117647058823527)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 19.125)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.5)","(1.9, 2.3, 2.252676056338028)"
14-12-2022 11:54:50.443749,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.8117647058823527)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.125)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.5)","(1.9, 2.3, 2.252676056338028)"
14-12-2022 11:54:51.509547,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.083333333333334)","(3.2, 3.9, 3.805128205128205)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.0)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.252676056338028)"
14-12-2022 11:54:52.604978,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.9, 3.805128205128205)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.0)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.2520000000000002)"
14-12-2022 11:54:53.628993,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.9, 3.8057142857142856)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.0)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.2520000000000002)"
14-12-2022 11:54:54.615420,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.9, 3.8057142857142856)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.0)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.2520000000000002)"
14-12-2022 11:54:55.612310,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.9, 3.8057142857142856)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.0)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.2536363636363634)"
14-12-2022 11:54:56.624279,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.9, 3.8048780487804876)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.0)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2564102564102564)"
14-12-2022 11:54:57.641242,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.9, 3.8048780487804876)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.125)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2564102564102564)"
14-12-2022 11:54:58.647755,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.9, 3.804444444444444)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.125)","(20.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2564102564102564)"
14-12-2022 11:54:59.657518,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.9, 3.8048780487804876)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 19.8)","(20.0, 34.0, 29.8)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2564102564102564)"
14-12-2022 11:55:00.790931,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.9, 3.727397260273973)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 20.2578125)","(21.0, 34.0, 29.8)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2564102564102564)"
14-12-2022 11:55:01.849874,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.85, 3.8000000000000003)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 20.2578125)","(21.0, 34.0, 29.8)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2564102564102564)"
14-12-2022 11:55:03.136263,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.5)","(3.2, 3.85, 3.7833333333333337)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 20.136363636363637)","(21.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2558208955223877)"
14-12-2022 11:55:04.225997,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.85, 3.7875)","(16.0, 24.0, 22.323529411764707)","(15.0, 21.0, 20.136363636363637)","(21.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2558208955223877)"
14-12-2022 11:55:05.275574,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.85, 3.68030303030303)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 20.136363636363637)","(21.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.2554098360655734)"
14-12-2022 11:55:06.387156,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.85, 3.68030303030303)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 20.136363636363637)","(21.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.26, 2.281772151898734)"
14-12-2022 11:55:07.446450,"(20.0, 34.0, 30.666666666666668)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.85, 3.68030303030303)","(16.0, 24.0, 22.551724137931036)","(15.0, 21.0, 20.136363636363637)","(21.0, 34.0, 30.5)","(18.0, 24.0, 23.548387096774192)","(1.9, 2.3, 2.281772151898734)"
14-12-2022 11:55:08.690622,"(20.0, 34.0, 30.153846153846153)","(9.0, 12.0, 11.431034482758621)","(3.2, 3.85, 3.816666666666667)","(16.0, 24.0, 9998.5)","(15.0, 21.0, 9998.5)","(21.0, 34.0, 9998.5)","(18.0, 24.0, 9998.5)","(1.9, 2.3, 9998.5)"
14-12-2022 11:55:09.938315,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:11.059379,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:12.244389,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:13.401796,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:14.440592,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:15.491490,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:16.524073,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:17.517798,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
14-12-2022 11:55:18.671441,"(20.0, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(18.0, 99998, 9998.5)","(1.9, 99998, 9998.5)"
