,Rebellious Lord,Gutsy,Tarasque,Bianco Nuovo,Our Ellie Rose,Aeroette,Miss Cavendish,Bignota,Goodness Gracie,Bassons
04-01-2023 15:34:11.379191,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:12.791839,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:14.231891,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:15.621560,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:16.892885,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:18.223288,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:19.856812,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:21.389175,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:22.691687,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:23.999562,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:25.452057,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:26.809601,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 12.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:28.138081,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.5, 11.727272727272727)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:29.586879,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 13.0, 14.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:31.091084,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 14.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:32.747882,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 14.0)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:34.167604,"(9.0, 15.0, 13.25)","(7.0, 9.0, 8.96)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:35.473642,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:36.687006,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:38.197175,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:39.706189,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:41.322145,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:42.648203,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:44.132544,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:45.557925,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:46.910838,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:48.217538,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:49.490434,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:50.782802,"(9.0, 15.0, 14.416666666666668)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:52.076747,"(9.0, 15.0, 14.0)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:53.299478,"(9.0, 15.0, 14.0)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:54.551034,"(9.0, 15.0, 14.0)","(7.0, 9.0, 8.6)","(19.0, 70.0, 36.4)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:55.984643,"(9.0, 15.0, 14.0)","(7.0, 9.0, 8.6)","(19.0, 70.0, 50.8)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:57.396118,"(9.0, 15.0, 14.8)","(7.0, 9.0, 8.6)","(19.0, 70.0, 76.75)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:58.665544,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 95.0, 76.75)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:34:59.955052,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 95.0, 76.75)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:01.298397,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 95.0, 76.75)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:02.581102,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 95.0, 76.75)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:03.860275,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 95.0, 103.0)","(21.0, 36.0, 32.4)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:05.090693,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 130.0, 64.0)","(21.0, 36.0, 41.25)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:06.377947,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.6)","(19.0, 120.0, 64.0)","(21.0, 46.0, 41.25)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:07.735457,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 46.0, 41.25)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.699999999999999)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:09.021235,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 46.0, 41.25)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:10.264339,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 46.0, 41.25)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:11.439688,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 46.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:12.621672,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:13.865054,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:15.124154,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:16.414718,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.96)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:17.691100,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.92)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:18.997869,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:20.246313,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 64.0)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:21.505751,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:22.697730,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:23.877585,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:25.004621,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:26.220906,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:27.495485,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:28.724317,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:29.983031,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
04-01-2023 15:35:31.155838,"(9.0, 15.5, 14.8)","(7.0, 9.0, 8.976271186440679)","(19.0, 120.0, 46.5)","(21.0, 44.0, 37.2)","(5.0, 7.8, 7.1)","(8.5, 15.5, 12.8)","(4.8, 7.6, 6.8)","(3.2, 3.9, 3.7333333333333334)","(12.0, 19.5, 18.125)","(26.0, 40.0, 36.0)"
