,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 16:18:38.247395,"(81.0, 120.0, 107.14285714285714)","(31.0, 42.0, 40.885245901639344)","(7.5, 8.8, 8.715675675675676)","(6.0, 7.2, 7.09404990403071)","(8.0, 9.2, 9.153951890034364)","(18.0, 21.0, 20.32183908045977)","(26.0, 32.0, 31.794117647058822)","(8.5, 10.5, 10.300448430493274)","(5.5, 6.2, 6.025)","(6.0, 7.4, 7.304624277456647)","(31.0, 99999, 99990)","(10.0, 12.5, 12.236956521739131)","(81.0, 110.0, 95.59210526315789)"
04-01-2023 16:18:39.798612,"(81.0, 120.0, 107.6923076923077)","(31.0, 42.0, 40.885245901639344)","(7.5, 8.8, 8.74)","(6.0, 7.2, 7.092397660818714)","(8.0, 9.4, 9.225414364640883)","(18.0, 21.0, 20.685185185185183)","(26.0, 32.0, 31.774193548387096)","(8.5, 10.5, 10.300448430493274)","(5.5, 6.2, 6.02118451025057)","(6.0, 7.4, 7.218666666666667)","(31.0, 99999, 99990)","(10.0, 12.5, 12.240343347639485)","(81.0, 110.0, 96.11111111111111)"
04-01-2023 16:18:41.387797,"(81.0, 120.0, 108.29268292682927)","(31.0, 42.0, 40.95384615384615)","(7.5, 8.8, 8.725133689839572)","(6.0, 7.2, 7.097777777777778)","(8.0, 9.4, 9.242786069651741)","(18.0, 21.0, 20.529411764705884)","(26.0, 32.0, 31.78787878787879)","(8.5, 10.5, 10.337362637362638)","(5.5, 6.2, 6.0257510729613735)","(6.0, 7.4, 7.187586206896552)","(31.0, 99999, 99990)","(10.0, 12.5, 12.181578947368422)","(81.0, 100.0, 96.81818181818181)"
04-01-2023 16:18:42.948856,"(81.0, 120.0, 108.29268292682927)","(31.0, 42.0, 43.5)","(7.5, 8.8, 8.71764705882353)","(6.0, 7.2, 7.1)","(8.0, 9.4, 8.973234200743494)","(18.0, 21.0, 19.425)","(26.0, 32.0, 30.363636363636363)","(8.5, 10.5, 10.622262773722628)","(5.5, 6.2, 6.006157112526539)","(6.0, 7.2, 7.354010695187166)","(31.0, 99999, 99990)","(10.0, 12.5, 12.17180616740088)","(81.0, 100.0, 101.0)"
04-01-2023 16:18:44.426609,"(81.0, 100.0, 99.84375)","(31.0, 46.0, 43.51724137931034)","(7.5, 8.8, 8.711949685534591)","(6.0, 7.2, 7.1)","(8.0, 9.0, 8.972592592592592)","(18.0, 19.5, 19.83739837398374)","(26.0, 32.0, 30.8)","(8.5, 11.0, 10.630859375)","(5.5, 6.2, 6.016918429003021)","(6.0, 7.4, 7.354736842105264)","(31.0, 99999, 99990)","(10.0, 12.5, 12.180555555555555)","(81.0, 110.0, 101.0)"
04-01-2023 16:18:45.943962,"(81.0, 110.0, 106.66666666666667)","(31.0, 46.0, 43.23076923076923)","(7.5, 8.8, 8.69855072463768)","(6.0, 7.2, 7.1)","(8.0, 9.0, 8.942982456140351)","(18.0, 20.0, 19.830645161290324)","(26.0, 32.0, 30.688524590163933)","(8.5, 11.0, 10.630859375)","(5.5, 6.2, 6.03062558356676)","(6.0, 7.4, 7.303886925795053)","(31.0, 99999, 99990)","(10.0, 12.5, 12.180555555555555)","(81.0, 110.0, 96.33333333333333)"
04-01-2023 16:18:47.461422,"(81.0, 110.0, 105.5)","(31.0, 44.0, 43.371428571428574)","(7.5, 8.8, 8.684848484848485)","(6.0, 7.2, 7.230165289256199)","(8.5, 9.0, 8.935269709543569)","(18.0, 20.0, 19.823529411764707)","(26.0, 32.0, 30.77777777777778)","(8.5, 11.0, 10.626482213438734)","(5.5, 6.2, 5.9838289962825275)","(6.0, 7.4, 7.175824175824176)","(31.0, 99999, 99990)","(11.0, 12.5, 12.163414634146342)","(81.0, 100.0, 96.33333333333333)"
04-01-2023 16:18:49.065720,"(81.0, 110.0, 105.0)","(31.0, 44.0, 43.48571428571429)","(7.5, 8.8, 8.694444444444445)","(6.0, 7.4, 7.243144424131628)","(8.5, 9.0, 8.934453781512605)","(18.0, 20.0, 19.830645161290324)","(26.0, 32.0, 30.694444444444443)","(8.5, 11.0, 10.686131386861314)","(5.5, 6.0, 5.999786780383795)","(6.0, 7.2, 7.177130977130977)","(31.0, 99999, 99990)","(11.0, 12.5, 12.185365853658537)","(81.0, 100.0, 95.16666666666667)"
04-01-2023 16:18:50.575074,"(81.0, 110.0, 101.25)","(31.0, 44.0, 43.48571428571429)","(7.5, 8.8, 8.573611111111111)","(6.0, 7.4, 7.2441947565543074)","(8.0, 9.0, 8.934453781512605)","(18.0, 20.0, 19.830645161290324)","(26.0, 32.0, 30.694444444444443)","(8.5, 11.0, 10.678819444444445)","(5.5, 6.0, 6.015836298932384)","(6.0, 7.2, 7.177130977130977)","(31.0, 99999, 99990)","(11.0, 12.5, 12.185365853658537)","(81.0, 100.0, 95.2542372881356)"
04-01-2023 16:18:52.232575,"(81.0, 110.0, 101.25)","(31.0, 44.0, 43.48571428571429)","(7.5, 8.6, 8.567785234899329)","(6.0, 7.4, 7.2441947565543074)","(8.0, 9.0, 8.934453781512605)","(18.0, 20.0, 19.863636363636363)","(26.0, 32.0, 30.694444444444443)","(8.5, 11.0, 10.678819444444445)","(5.5, 6.2, 6.006982990152193)","(6.0, 7.2, 7.17664)","(31.0, 99999, 99990)","(11.0, 12.5, 12.185365853658537)","(81.0, 100.0, 95.2542372881356)"
04-01-2023 16:18:53.864325,"(81.0, 110.0, 101.12676056338029)","(31.0, 44.0, 43.48571428571429)","(7.5, 8.6, 8.56081081081081)","(6.0, 7.4, 7.240875912408759)","(8.0, 9.0, 8.934453781512605)","(18.0, 20.0, 19.65625)","(26.0, 32.0, 30.77922077922078)","(8.5, 11.0, 10.652366863905325)","(5.5, 6.2, 6.015135135135135)","(6.0, 7.2, 7.258867924528302)","(31.0, 99999, 99990)","(11.0, 12.5, 12.185365853658537)","(81.0, 100.0, 92.5)"
04-01-2023 16:18:55.473179,"(81.0, 110.0, 101.12676056338029)","(31.0, 44.0, 43.48571428571429)","(7.5, 8.6, 8.484697508896797)","(6.0, 7.4, 7.240875912408759)","(8.0, 9.0, 8.929166666666667)","(18.0, 20.0, 19.8125)","(26.0, 32.0, 30.694444444444443)","(8.5, 11.0, 10.651917404129794)","(5.5, 6.2, 6.0150943396226415)","(6.0, 7.4, 7.272622478386167)","(31.0, 99999, 99990)","(11.0, 12.5, 12.185365853658537)","(81.0, 95.0, 92.0)"
04-01-2023 16:18:57.039164,"(81.0, 110.0, 100.49295774647888)","(31.0, 44.0, 41.5)","(7.5, 8.6, 8.484132841328414)","(6.5, 7.4, 7.231660231660232)","(8.0, 9.0, 8.927753303964758)","(18.0, 20.0, 20.313868613138688)","(26.0, 32.0, 30.694444444444443)","(8.5, 11.0, 10.652366863905325)","(5.5, 6.2, 6.03019801980198)","(6.0, 7.4, 7.273214285714286)","(31.0, 99999, 99990)","(11.0, 12.5, 12.182692307692308)","(81.0, 95.0, 92.0)"
04-01-2023 16:18:58.651301,"(81.0, 110.0, 100.49295774647888)","(31.0, 42.0, 41.5)","(7.5, 8.6, 8.486900958466453)","(6.5, 7.4, 7.24435318275154)","(8.0, 9.0, 8.559493670886075)","(18.0, 21.0, 20.42331288343558)","(26.0, 32.0, 30.794871794871796)","(8.5, 11.0, 10.701282051282051)","(5.5, 6.2, 6.04978102189781)","(6.0, 7.4, 7.289425981873112)","(31.0, 99999, 99990)","(11.0, 12.5, 12.242105263157894)","(81.0, 95.0, 93.75)"
04-01-2023 16:19:00.282001,"(81.0, 110.0, 100.75342465753425)","(31.0, 42.0, 41.5)","(7.5, 8.6, 8.494637223974763)","(6.5, 7.4, 7.2672504378283715)","(8.0, 8.6, 8.561133603238867)","(18.0, 21.0, 20.266666666666666)","(26.0, 32.0, 30.790697674418606)","(8.5, 11.0, 10.71484375)","(5.5, 6.2, 6.057577854671281)","(6.0, 7.4, 7.285106382978723)","(31.0, 99999, 99990)","(11.0, 12.5, 12.2421875)","(81.0, 95.0, 93.84615384615384)"
04-01-2023 16:19:02.158355,"(81.0, 95.0, 87.91666666666667)","(31.0, 42.0, 41.82608695652174)","(7.5, 8.6, 8.512335958005249)","(6.5, 7.4, 7.290943396226416)","(8.0, 8.6, 8.64223602484472)","(18.0, 21.0, 20.333333333333332)","(26.0, 32.0, 30.96)","(8.5, 11.0, 10.724815724815725)","(5.5, 6.2, 6.062064343163539)","(6.0, 7.4, 7.293532338308458)","(31.0, 99999, 99990)","(10.0, 12.5, 12.246963562753036)","(81.0, 95.0, 92.33333333333333)"
04-01-2023 16:19:03.989197,"(81.0, 90.0, 91.34146341463415)","(31.0, 42.0, 42.90909090909091)","(7.5, 8.6, 8.511590296495957)","(6.0, 7.4, 7.285770750988142)","(8.0, 8.8, 8.669955156950673)","(18.0, 21.0, 20.318918918918918)","(26.0, 32.0, 31.00952380952381)","(8.5, 11.0, 10.753424657534246)","(5.5, 6.2, 6.074281503316139)","(6.0, 7.4, 7.2732177263969175)","(31.0, 99999, 99990)","(10.0, 12.5, 12.171548117154812)","(81.0, 95.0, 96.78571428571429)"
04-01-2023 16:19:05.575241,"(81.0, 95.0, 87.8)","(31.0, 44.0, 42.11764705882353)","(7.5, 8.6, 8.522485207100592)","(6.5, 7.4, 7.29375)","(8.0, 8.8, 8.812765957446809)","(18.0, 21.0, 20.379310344827587)","(26.0, 32.0, 31.19672131147541)","(8.5, 11.0, 10.723076923076922)","(5.5, 6.2, 6.082249817384953)","(6.0, 7.4, 7.283950617283951)","(31.0, 99999, 99990)","(11.0, 12.5, 12.167372881355933)","(81.0, 100.0, 97.1875)"
04-01-2023 16:19:07.216979,"(81.0, 95.0, 87.8)","(31.0, 44.0, 42.645161290322584)","(7.5, 8.6, 8.552941176470588)","(6.5, 7.4, 7.293160813308688)","(8.0, 9.0, 8.805494505494506)","(18.0, 21.0, 20.388349514563107)","(26.0, 32.0, 31.177419354838708)","(8.5, 11.0, 10.700831024930748)","(5.5, 6.2, 5.977115384615384)","(6.0, 7.4, 7.296536796536797)","(31.0, 99999, 99990)","(11.0, 12.5, 12.167372881355933)","(81.0, 100.0, 97.12121212121212)"
04-01-2023 16:19:08.786713,"(81.0, 90.0, 86.0)","(31.0, 44.0, 42.707692307692305)","(7.5, 8.6, 8.669629629629629)","(6.5, 7.4, 7.295495495495496)","(8.0, 9.0, 8.788118811881189)","(18.0, 21.0, 20.49789029535865)","(26.0, 32.0, 31.19685039370079)","(8.5, 11.0, 10.68235294117647)","(5.5, 6.0, 5.996121883656509)","(6.0, 7.4, 7.250273224043716)","(31.0, 99999, 99990)","(11.0, 12.5, 12.191629955947137)","(81.0, 100.0, 95.8695652173913)"
04-01-2023 16:19:10.362992,"(81.0, 90.0, 86.0)","(31.0, 44.0, 42.8)","(7.5, 8.8, 8.640723981900452)","(6.5, 7.4, 7.292592592592593)","(8.0, 8.8, 8.749308755760369)","(18.0, 21.0, 20.49789029535865)","(26.0, 32.0, 31.19685039370079)","(8.5, 11.0, 10.698391420911529)","(5.5, 6.0, 5.994808743169399)","(6.0, 7.4, 7.237837837837838)","(31.0, 99999, 99990)","(11.0, 12.5, 12.191629955947137)","(81.0, 100.0, 95.74074074074075)"
04-01-2023 16:19:11.942725,"(81.0, 90.0, 89.11764705882354)","(31.0, 44.0, 43.142857142857146)","(7.5, 8.8, 8.389516129032259)","(6.5, 7.4, 7.320898100172712)","(8.0, 9.0, 8.86280193236715)","(18.0, 21.0, 20.6046511627907)","(26.0, 32.0, 31.080459770114942)","(8.5, 11.0, 10.722680412371133)","(5.5, 6.0, 6.034581673306773)","(6.0, 7.4, 7.3026369168357)","(31.0, 99999, 99990)","(11.0, 12.5, 12.294478527607362)","(81.0, 100.0, 97.05128205128204)"
04-01-2023 16:19:13.561352,"(81.0, 90.0, 89.11764705882354)","(31.0, 44.0, 43.241379310344826)","(7.5, 8.4, 8.394174757281554)","(6.5, 7.4, 7.310019646365423)","(8.0, 9.0, 8.861744966442954)","(18.0, 21.0, 20.6046511627907)","(26.0, 32.0, 31.11111111111111)","(8.5, 11.0, 10.733134920634921)","(5.5, 6.2, 5.994492948287442)","(6.0, 7.4, 7.2969957081545065)","(31.0, 99999, 99990)","(11.0, 12.5, 12.313370473537605)","(81.0, 100.0, 97.125)"
04-01-2023 16:19:15.143734,"(71.0, 95.0, 89.6875)","(31.0, 44.0, 43.46153846153846)","(7.5, 8.4, 8.389285714285714)","(6.5, 7.4, 7.325641025641026)","(8.0, 9.0, 8.822916666666668)","(18.0, 21.0, 20.617241379310343)","(26.0, 32.0, 31.126436781609197)","(8.5, 11.0, 10.726915520628683)","(5.5, 6.2, 5.981109550561798)","(6.0, 7.4, 7.32564705882353)","(31.0, 99999, 99990)","(11.0, 12.5, 12.317438692098092)","(81.0, 100.0, 97.1951219512195)"
04-01-2023 16:19:16.682832,"(71.0, 95.0, 89.6875)","(31.0, 44.0, 43.94871794871795)","(7.5, 8.4, 8.403614457831326)","(6.5, 7.4, 7.334347826086957)","(8.0, 9.0, 8.77938144329897)","(18.0, 21.0, 20.536507936507938)","(26.0, 32.0, 31.04255319148936)","(8.5, 11.0, 10.7300796812749)","(5.5, 6.2, 5.999802371541502)","(6.0, 7.4, 7.29662027833002)","(31.0, 99999, 99990)","(11.0, 12.5, 12.474903474903474)","(81.0, 100.0, 100.97222222222223)"
04-01-2023 16:19:18.299081,"(81.0, 90.0, 84.16666666666667)","(31.0, 44.0, 43.94871794871795)","(7.5, 8.6, 8.371428571428572)","(6.5, 7.4, 7.336016949152543)","(8.0, 8.8, 8.772203389830509)","(18.0, 21.0, 20.533112582781456)","(26.0, 32.0, 31.05759162303665)","(8.5, 11.0, 10.770459081836327)","(5.5, 6.0, 5.99900826446281)","(6.0, 7.4, 7.283751160631383)","(31.0, 99999, 99990)","(11.0, 12.5, 12.476785714285715)","(81.0, 110.0, 101.0958904109589)"
04-01-2023 16:19:19.926928,"(81.0, 85.0, 84.23076923076923)","(31.0, 44.0, 43.96)","(7.5, 8.4, 8.377358490566039)","(6.5, 7.4, 7.336016949152543)","(8.0, 8.8, 8.77878787878788)","(18.0, 21.0, 20.559375)","(26.0, 32.0, 31.113300492610836)","(8.5, 11.0, 10.785046728971963)","(5.5, 6.0, 5.972557172557172)","(6.0, 7.4, 7.248314606741573)","(31.0, 99999, 99990)","(11.0, 12.5, 12.479032258064516)","(81.0, 110.0, 101.55844155844156)"
04-01-2023 16:19:21.527969,"(81.0, 85.0, 84.23076923076923)","(31.0, 44.0, 43.96)","(7.5, 8.4, 8.377358490566039)","(6.5, 7.4, 7.325882352941177)","(8.0, 8.8, 8.796013289036546)","(18.0, 21.0, 20.559375)","(26.0, 32.0, 31.121951219512194)","(8.5, 11.0, 10.785046728971963)","(5.5, 6.0, 5.994017094017094)","(6.0, 7.4, 7.211846689895471)","(31.0, 99999, 99990)","(11.0, 12.5, 12.479032258064516)","(81.0, 110.0, 101.55844155844156)"
04-01-2023 16:19:23.148556,"(81.0, 85.0, 84.23076923076923)","(31.0, 44.0, 43.96078431372549)","(7.5, 8.4, 8.422528735632184)","(6.5, 7.4, 7.325882352941177)","(8.0, 8.8, 8.79281045751634)","(18.0, 21.0, 20.560747663551403)","(26.0, 32.0, 31.121951219512194)","(8.5, 11.0, 10.788349514563107)","(5.5, 6.2, 5.993683463449255)","(6.0, 7.4, 7.268243243243243)","(31.0, 99999, 99990)","(11.0, 12.5, 12.479032258064516)","(81.0, 110.0, 101.55844155844156)"
04-01-2023 16:19:24.758088,"(81.0, 85.0, 84.23076923076923)","(31.0, 44.0, 43.96078431372549)","(7.5, 8.6, 8.408153477218224)","(6.5, 7.4, 7.339478957915832)","(8.0, 8.8, 8.754761904761905)","(18.0, 21.0, 20.545161290322582)","(26.0, 32.0, 31.121951219512194)","(8.5, 11.0, 10.766595289079229)","(5.5, 6.2, 5.989762076423937)","(6.0, 7.4, 7.283233532934132)","(31.0, 99999, 99990)","(11.0, 13.0, 12.564516129032258)","(81.0, 110.0, 101.55844155844156)"
04-01-2023 16:19:26.411188,"(71.0, 85.0, 84.41176470588235)","(31.0, 44.0, 43.96078431372549)","(7.5, 8.6, 8.379753086419752)","(6.5, 7.4, 7.339759036144579)","(8.0, 8.8, 8.759064327485381)","(18.0, 21.0, 20.490384615384617)","(26.0, 32.0, 31.095238095238095)","(8.5, 11.0, 10.773626373626374)","(5.0, 6.2, 5.998416886543535)","(6.0, 7.4, 7.266502463054187)","(31.0, 99999, 99990)","(11.0, 13.0, 12.731843575418994)","(81.0, 110.0, 101.55844155844156)"
04-01-2023 16:19:28.048665,"(71.0, 85.0, 83.25)","(31.0, 44.0, 44.40963855421687)","(7.5, 8.6, 8.3192118226601)","(6.5, 7.4, 7.339759036144579)","(8.0, 8.8, 8.7424)","(18.0, 21.0, 20.490384615384617)","(26.0, 32.0, 31.064039408866996)","(8.5, 11.0, 10.776666666666667)","(5.0, 6.0, 6.030740037950665)","(6.0, 7.4, 7.260402684563759)","(31.0, 99999, 99990)","(11.0, 13.0, 12.731843575418994)","(81.0, 110.0, 101.55844155844156)"
04-01-2023 16:19:29.635818,"(71.0, 85.0, 85.3125)","(31.0, 46.0, 43.52)","(7.5, 8.4, 8.259877800407333)","(6.5, 7.4, 7.348665297741274)","(8.0, 8.8, 8.769846153846155)","(18.0, 21.0, 20.54248366013072)","(26.0, 32.0, 31.0)","(8.5, 11.0, 10.76388888888889)","(5.0, 6.2, 6.035608308605341)","(6.0, 7.4, 7.29082774049217)","(31.0, 99999, 99990)","(11.0, 13.0, 12.790697674418604)","(81.0, 110.0, 101.66666666666667)"
04-01-2023 16:19:31.208988,"(71.0, 90.0, 85.55555555555556)","(31.0, 44.0, 43.526315789473685)","(7.5, 8.4, 8.242105263157894)","(6.5, 7.4, 7.346303501945526)","(8.0, 8.8, 8.752647975077881)","(18.0, 21.0, 20.54983922829582)","(26.0, 32.0, 31.023809523809526)","(8.5, 11.0, 10.796666666666667)","(5.0, 6.2, 6.034228855721393)","(6.0, 7.4, 7.29054054054054)","(31.0, 99999, 99990)","(11.0, 13.0, 12.761904761904763)","(81.0, 110.0, 101.77215189873418)"
04-01-2023 16:19:32.771173,"(71.0, 90.0, 85.55555555555556)","(31.0, 44.0, 43.52)","(7.5, 8.4, 8.218095238095238)","(6.5, 7.4, 7.345776031434185)","(8.0, 8.8, 8.753799392097266)","(18.0, 21.0, 20.539432176656153)","(26.0, 32.0, 30.9247311827957)","(8.5, 11.0, 10.802721088435375)","(5.0, 6.2, 6.0344827586206895)","(6.0, 7.4, 7.287759815242494)","(31.0, 99999, 99990)","(11.0, 13.0, 12.727810650887575)","(81.0, 110.0, 101.77215189873418)"
04-01-2023 16:19:34.338409,"(71.0, 90.0, 85.55555555555556)","(31.0, 44.0, 43.52)","(7.5, 8.4, 8.204848484848483)","(6.5, 7.4, 7.345454545454546)","(8.0, 8.8, 8.750967741935485)","(18.0, 21.0, 20.202185792349727)","(26.0, 32.0, 30.98876404494382)","(8.5, 11.0, 10.824029126213592)","(5.5, 6.2, 6.042270058708415)","(6.0, 7.4, 7.316207951070337)","(31.0, 99999, 99990)","(11.0, 13.0, 12.76751592356688)","(81.0, 110.0, 101.77215189873418)"
04-01-2023 16:19:36.053268,"(71.0, 90.0, 85.78947368421052)","(31.0, 44.0, 43.532467532467535)","(7.5, 8.4, 8.213197969543147)","(6.5, 7.4, 7.359766763848397)","(8.0, 8.8, 8.369948186528498)","(18.0, 21.0, 20.141666666666666)","(26.0, 32.0, 31.040462427745666)","(8.5, 11.0, 10.923547400611621)","(5.5, 6.2, 6.0532304725168755)","(6.0, 7.4, 7.299514563106796)","(31.0, 99999, 99990)","(11.0, 13.0, 12.902597402597403)","(81.0, 110.0, 101.9753086419753)"
04-01-2023 16:19:37.656942,"(71.0, 90.0, 88.03571428571429)","(31.0, 44.0, 40.723404255319146)","(7.5, 8.4, 8.282131661442007)","(6.5, 7.4, 7.392976588628763)","(8.0, 8.4, 8.38913043478261)","(18.0, 21.0, 20.279411764705884)","(26.0, 32.0, 29.89071038251366)","(8.5, 11.0, 11.286516853932584)","(5.5, 6.2, 6.0744702320887995)","(6.0, 7.4, 7.316998468606432)","(31.0, 99999, 99990)","(11.0, 13.5, 13.13125)","(81.0, 110.0, 102.85714285714286)"
04-01-2023 16:19:39.300308,"(71.0, 90.0, 88.03571428571429)","(31.0, 46.0, 41.125)","(7.5, 8.4, 8.11055900621118)","(6.5, 7.4, 7.454545454545455)","(8.0, 8.4, 8.345641025641026)","(18.0, 21.0, 20.20863309352518)","(26.0, 30.0, 30.504347826086956)","(8.5, 11.5, 11.308724832214764)","(5.5, 6.2, 6.08961038961039)","(6.0, 7.4, 7.328983308042489)","(31.0, 99999, 99990)","(11.0, 13.5, 12.89622641509434)","(81.0, 110.0, 103.11827956989248)"
04-01-2023 16:19:40.934349,"(71.0, 90.0, 88.38235294117646)","(31.0, 42.0, 41.125)","(7.5, 8.2, 8.086802030456852)","(6.5, 7.6, 7.451685393258427)","(8.0, 8.4, 8.34207650273224)","(18.0, 21.0, 20.28846153846154)","(26.0, 32.0, 30.496)","(9.0, 11.5, 11.292727272727273)","(5.5, 6.2, 6.085110876451954)","(6.0, 7.4, 7.333522727272728)","(31.0, 99999, 99990)","(11.0, 13.0, 12.815286624203821)","(81.0, 110.0, 103.11827956989248)"
04-01-2023 16:19:42.559268,"(71.0, 90.0, 88.83333333333333)","(31.0, 42.0, 40.32)","(7.5, 8.2, 8.08952772073922)","(6.5, 7.6, 7.507035175879397)","(8.0, 8.4, 8.110675381263617)","(18.0, 21.0, 20.327272727272728)","(26.0, 32.0, 30.575539568345324)","(9.0, 11.5, 11.3125)","(5.5, 6.2, 6.127710843373494)","(6.0, 7.4, 7.338095238095239)","(31.0, 99999, 99990)","(11.0, 13.0, 12.91081081081081)","(81.0, 110.0, 103.4020618556701)"
