,Tender Heights,June The Weapon,Country Roy,Cobbers Chance,Classy Moreira,Honest Frank
10-01-2023 11:58:16.226032,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.725)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:17.290861,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:18.195000,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.7749999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:19.214961,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:20.289417,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:21.313155,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:22.316702,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:23.301304,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:24.270087,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:25.176929,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:26.229145,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:27.178254,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:28.197970,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:29.164799,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:30.108510,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:31.015903,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:31.924188,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:32.890675,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 8.333333333333332)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:33.930528,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.3)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:34.943581,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:35.958018,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:36.858716,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:37.757889,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:38.690263,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:39.661278,"(13.0, 29.0, 27.22222222222222)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:40.645293,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:41.636276,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:42.619806,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 9.8, 9.371428571428572)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:43.531423,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.4)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:44.437287,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:45.467166,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:46.475431,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:47.467609,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:48.412609,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 24.4375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:49.321526,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:50.223308,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:51.189739,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:52.129459,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:53.072123,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.199999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:54.040674,"(13.0, 29.0, 19.0)","(4.0, 8.6, 8.284615384615385)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:54.962276,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.266666666666666)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:55.923323,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:56.913643,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:57.863624,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:58.863733,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:58:59.884846,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:00.852848,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:02.000854,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:03.027896,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:04.028739,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:05.125135,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:06.095962,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:07.089285,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:08.012138,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:08.997215,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:09.969045,"(13.0, 29.0, 19.0)","(4.0, 8.6, 8.21)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:10.945411,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:11.891030,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.2333333333333325)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:12.798685,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:13.706727,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:14.679323,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:15.711806,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:16.747588,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:17.748489,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:18.719535,"(13.0, 29.0, 19.0)","(4.0, 8.6, 8.219999999999999)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:19.611725,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.366666666666667)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:20.585203,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:21.559016,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:22.489816,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:23.466416,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:24.423021,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:25.401941,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:26.296569,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:27.185870,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:28.162939,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:29.071812,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:30.056304,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:31.068620,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:32.048622,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:33.035251,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:34.127423,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:35.074700,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:35.979141,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
10-01-2023 11:59:37.020204,"(13.0, 29.0, 19.0)","(4.0, 8.6, 7.6499999999999995)","(2.0, 2.88, 2.8626666666666667)","(6.5, 10.0, 8.276923076923076)","(16.0, 36.0, 31.375)","(4.2, 6.6, 5.76)"
