,Amen Brother,Bia Tinne,Burrandana,Open Sky,Take On Manhattan,The Big Shamrock,Toro Magic,Brave Image,County Kilkenny,Mo Chara,Sonny Fella
05-01-2023 12:54:33.613138,"(7.0, 8.0, 7.9526315789473685)","(13.0, 21.0, 20.725490196078432)","(3.7, 4.0, 3.919047619047619)","(7.0, 8.0, 7.834825870646766)","(26.0, 30.0, 29.479166666666668)","(51.0, 95.0, 89.45652173913044)","(71.0, 120.0, 108.33333333333333)","(4.6, 5.3, 5.2891025641025635)","(7.5, 9.4, 9.124137931034483)","(18.0, 23.0, 22.92)","(20.0, 24.0, 23.94736842105263)"
05-01-2023 12:54:34.963803,"(7.0, 8.0, 7.9526315789473685)","(13.0, 21.0, 20.72)","(3.7, 4.0, 3.905327868852459)","(7.0, 8.0, 7.834825870646766)","(26.0, 30.0, 29.479166666666668)","(51.0, 95.0, 89.45652173913044)","(71.0, 120.0, 110.0)","(4.6, 5.3, 5.344117647058823)","(7.5, 9.4, 9.070588235294117)","(18.0, 23.0, 22.925925925925927)","(19.0, 24.0, 23.94736842105263)"
05-01-2023 12:54:36.398947,"(7.0, 8.0, 7.9424)","(13.0, 21.0, 20.68888888888889)","(3.7, 4.0, 3.9276470588235295)","(7.0, 8.0, 7.93)","(26.0, 30.0, 29.264705882352942)","(51.0, 95.0, 90.0)","(71.0, 120.0, 108.70967741935483)","(4.6, 5.4, 5.362135922330097)","(7.5, 9.4, 9.245360824742269)","(18.0, 23.0, 22.935483870967744)","(19.0, 24.0, 23.954545454545453)"
05-01-2023 12:54:37.673366,"(7.0, 8.0, 7.947445255474452)","(13.0, 21.0, 20.714285714285715)","(3.6, 4.0, 3.9023809523809523)","(7.0, 8.0, 7.907368421052632)","(26.0, 30.0, 29.324324324324323)","(51.0, 95.0, 90.09615384615384)","(71.0, 120.0, 110.54054054054055)","(4.6, 5.4, 5.3690476190476195)","(7.5, 9.4, 9.301030927835052)","(18.0, 23.0, 22.944444444444443)","(19.0, 24.0, 23.952380952380953)"
05-01-2023 12:54:38.891035,"(7.0, 8.0, 7.952)","(13.0, 21.0, 20.68888888888889)","(3.6, 4.0, 3.9023809523809523)","(7.0, 8.0, 7.907368421052632)","(26.0, 30.0, 29.324324324324323)","(51.0, 95.0, 86.73076923076923)","(71.0, 120.0, 110.54054054054055)","(4.6, 5.4, 5.442528735632184)","(7.5, 9.4, 9.301030927835052)","(18.0, 23.0, 22.944444444444443)","(19.0, 24.0, 23.96)"
05-01-2023 12:54:40.071528,"(7.0, 7.8, 7.769090909090909)","(13.0, 21.0, 20.68888888888889)","(3.6, 4.0, 3.973529411764706)","(7.0, 8.0, 7.907368421052632)","(26.0, 30.0, 28.80952380952381)","(51.0, 90.0, 86.66666666666667)","(71.0, 120.0, 110.54054054054055)","(4.6, 5.5, 5.442528735632184)","(7.5, 9.4, 9.301030927835052)","(18.0, 23.0, 22.944444444444443)","(19.0, 24.0, 23.96)"
05-01-2023 12:54:41.288347,"(7.0, 7.8, 7.769090909090909)","(13.0, 21.0, 20.68888888888889)","(3.6, 4.0, 3.973529411764706)","(7.0, 8.0, 7.907368421052632)","(26.0, 30.0, 28.80952380952381)","(51.0, 90.0, 86.66666666666667)","(71.0, 120.0, 110.54054054054055)","(4.6, 5.5, 5.452941176470588)","(7.5, 9.4, 9.301030927835052)","(18.0, 23.0, 22.939393939393938)","(19.0, 24.0, 23.956521739130434)"
05-01-2023 12:54:42.509719,"(7.0, 7.8, 7.7682242990654204)","(13.0, 21.0, 20.68888888888889)","(3.6, 4.0, 3.859375)","(7.0, 8.0, 7.920879120879121)","(26.0, 30.0, 28.80952380952381)","(51.0, 90.0, 85.52631578947368)","(71.0, 120.0, 109.0625)","(4.6, 5.5, 5.452941176470588)","(7.5, 9.4, 9.301030927835052)","(18.0, 23.0, 22.939393939393938)","(19.0, 24.0, 23.956521739130434)"
05-01-2023 12:54:43.725077,"(7.0, 7.8, 7.7403508771929825)","(13.0, 21.0, 20.67391304347826)","(3.6, 4.0, 3.97972972972973)","(7.0, 8.0, 7.90828025477707)","(26.0, 30.0, 28.80952380952381)","(51.0, 90.0, 85.52631578947368)","(71.0, 120.0, 109.0625)","(4.6, 5.5, 5.4609756097560975)","(7.5, 9.4, 9.295652173913044)","(18.0, 23.0, 22.939393939393938)","(19.0, 24.0, 23.954545454545453)"
05-01-2023 12:54:45.176328,"(7.0, 7.8, 7.728301886792453)","(13.0, 21.0, 20.67391304347826)","(3.6, 4.1, 4.014410480349345)","(7.0, 8.0, 7.90828025477707)","(26.0, 30.0, 28.076923076923077)","(51.0, 90.0, 85.52631578947368)","(71.0, 120.0, 110.27777777777777)","(4.6, 5.5, 5.483333333333333)","(7.5, 9.4, 9.295652173913044)","(18.0, 23.0, 22.939393939393938)","(19.0, 24.0, 23.444444444444443)"
05-01-2023 12:54:46.662863,"(7.0, 8.0, 7.992207792207792)","(13.0, 21.0, 20.68888888888889)","(3.6, 4.1, 4.030739299610895)","(7.0, 8.0, 7.90828025477707)","(26.0, 30.0, 27.972972972972972)","(51.0, 90.0, 85.52631578947368)","(71.0, 120.0, 110.27777777777777)","(4.6, 5.6, 5.456818181818182)","(7.5, 9.4, 9.227027027027027)","(18.0, 23.0, 22.939393939393938)","(19.0, 23.0, 22.8)"
05-01-2023 12:54:48.304396,"(6.5, 8.0, 7.992771084337349)","(14.0, 21.0, 20.68888888888889)","(3.6, 4.1, 4.0224)","(7.0, 7.8, 7.784030418250951)","(26.0, 30.0, 27.571428571428573)","(51.0, 90.0, 85.52631578947368)","(71.0, 120.0, 110.27777777777777)","(4.6, 5.6, 5.496644295302014)","(7.5, 9.4, 9.200000000000001)","(18.0, 23.0, 22.944444444444443)","(19.0, 23.0, 22.785714285714285)"
05-01-2023 12:54:49.721017,"(6.5, 8.2, 8.071428571428571)","(14.0, 21.0, 20.67391304347826)","(3.6, 4.1, 4.016017316017316)","(7.0, 7.8, 7.782575757575757)","(26.0, 29.0, 27.571428571428573)","(51.0, 90.0, 85.96491228070175)","(71.0, 120.0, 110.27777777777777)","(4.6, 5.6, 5.494039735099338)","(7.5, 9.4, 9.245714285714286)","(18.0, 23.0, 22.944444444444443)","(19.0, 23.0, 22.806451612903224)"
05-01-2023 12:54:51.116965,"(6.5, 8.2, 8.088607594936708)","(14.0, 21.0, 20.53448275862069)","(3.6, 4.1, 4.004545454545455)","(7.0, 7.8, 7.795020746887967)","(26.0, 29.0, 28.285714285714285)","(51.0, 90.0, 85.96491228070175)","(71.0, 120.0, 110.27777777777777)","(4.6, 5.6, 5.513978494623656)","(7.5, 9.4, 9.184999999999999)","(18.0, 23.0, 22.955555555555556)","(19.0, 23.0, 22.714285714285715)"
05-01-2023 12:54:52.431219,"(6.5, 8.2, 8.116190476190475)","(14.0, 21.0, 20.611940298507463)","(3.6, 4.2, 4.116666666666666)","(7.0, 7.8, 7.796969696969697)","(26.0, 29.0, 28.333333333333332)","(51.0, 90.0, 86.10169491525424)","(71.0, 120.0, 108.70967741935483)","(4.6, 5.6, 5.513978494623656)","(7.5, 9.2, 9.043478260869565)","(18.0, 23.0, 22.955555555555556)","(19.0, 23.0, 22.714285714285715)"
05-01-2023 12:54:53.921212,"(6.5, 8.2, 8.0528)","(14.0, 21.0, 20.602941176470587)","(3.6, 4.2, 4.057142857142857)","(7.0, 7.8, 7.795471698113207)","(26.0, 29.0, 28.09433962264151)","(51.0, 90.0, 86.22950819672131)","(71.0, 120.0, 109.39393939393939)","(4.6, 5.6, 5.513186813186813)","(7.5, 9.2, 9.121739130434783)","(18.0, 23.0, 22.955555555555556)","(19.0, 23.0, 22.195121951219512)"
05-01-2023 12:54:55.318183,"(7.0, 7.8, 7.77979797979798)","(14.0, 21.0, 20.602941176470587)","(3.5, 4.2, 3.9934210526315788)","(7.0, 7.8, 7.792565055762082)","(26.0, 29.0, 28.5)","(51.0, 90.0, 86.22950819672131)","(71.0, 120.0, 109.39393939393939)","(4.6, 5.6, 5.501863354037267)","(7.5, 9.2, 9.084848484848484)","(18.0, 23.0, 22.833333333333332)","(19.0, 23.0, 22.25)"
05-01-2023 12:54:56.699051,"(7.0, 7.8, 7.77979797979798)","(14.0, 21.0, 20.611940298507463)","(3.5, 4.0, 3.995049504950495)","(7.0, 7.8, 7.795731707317073)","(21.0, 29.0, 28.52)","(51.0, 90.0, 86.29032258064517)","(71.0, 120.0, 109.70588235294117)","(4.6, 5.6, 5.46140350877193)","(7.5, 9.2, 9.10952380952381)","(18.0, 23.0, 22.84313725490196)","(19.0, 23.0, 21.983333333333334)"
05-01-2023 12:54:58.037568,"(7.0, 7.8, 7.781818181818181)","(14.0, 21.0, 20.6231884057971)","(3.5, 4.0, 3.9956521739130433)","(7.0, 7.8, 7.797427652733119)","(21.0, 29.0, 28.48936170212766)","(51.0, 90.0, 83.51851851851852)","(71.0, 120.0, 101.33333333333333)","(4.6, 5.6, 5.428571428571429)","(7.5, 9.2, 9.073333333333332)","(18.0, 23.0, 22.82608695652174)","(19.0, 22.0, 21.153846153846153)"
05-01-2023 12:54:59.330198,"(7.0, 8.0, 7.763636363636364)","(14.0, 21.0, 20.630434782608695)","(3.5, 4.0, 3.9956521739130433)","(7.0, 7.8, 7.796166134185303)","(21.0, 29.0, 27.586206896551722)","(51.0, 85.0, 83.51851851851852)","(71.0, 120.0, 101.33333333333333)","(4.6, 5.6, 5.5785294117647055)","(7.5, 9.2, 9.073333333333332)","(18.0, 23.0, 22.82608695652174)","(19.0, 22.0, 21.05128205128205)"
05-01-2023 12:55:00.580497,"(7.0, 8.0, 7.893150684931507)","(14.0, 21.0, 20.608695652173914)","(3.5, 4.1, 4.056603773584905)","(7.0, 7.8, 7.796226415094339)","(21.0, 30.0, 27.586206896551722)","(51.0, 85.0, 83.51851851851852)","(71.0, 120.0, 101.33333333333333)","(4.6, 5.6, 5.5785294117647055)","(7.5, 9.2, 9.073333333333332)","(18.0, 23.0, 22.82608695652174)","(19.0, 22.0, 21.05128205128205)"
05-01-2023 12:55:01.784134,"(7.0, 8.0, 7.893150684931507)","(14.0, 21.0, 20.608695652173914)","(3.5, 4.1, 4.056603773584905)","(7.0, 7.8, 7.796226415094339)","(21.0, 30.0, 27.586206896551722)","(51.0, 85.0, 83.51851851851852)","(71.0, 120.0, 101.33333333333333)","(4.6, 5.6, 5.5785294117647055)","(7.5, 9.2, 9.073333333333332)","(18.0, 23.0, 22.82608695652174)","(19.0, 22.0, 21.05128205128205)"
05-01-2023 12:55:03.107553,"(7.0, 8.0, 7.963636363636364)","(14.0, 21.0, 20.672727272727272)","(3.5, 4.1, 4.0882978723404255)","(7.0, 8.0, 7.945915492957746)","(21.0, 30.0, 27.741935483870968)","(51.0, 85.0, 83.54545454545455)","(71.0, 120.0, 111.25)","(4.6, 5.6, 5.577639751552795)","(7.5, 9.2, 9.103030303030303)","(18.0, 23.0, 22.84)","(19.0, 22.0, 21.1496062992126)"
05-01-2023 12:55:04.353555,"(7.0, 8.0, 7.9714285714285715)","(14.0, 21.0, 20.734375)","(3.5, 4.2, 4.072222222222222)","(7.0, 8.0, 7.944186046511628)","(21.0, 30.0, 27.627118644067796)","(51.0, 85.0, 83.54545454545455)","(71.0, 120.0, 112.76315789473685)","(4.6, 5.6, 5.588652482269503)","(7.5, 9.2, 9.130434782608695)","(18.0, 23.0, 22.84)","(19.0, 22.0, 20.846625766871167)"
05-01-2023 12:55:05.529485,"(7.0, 8.0, 7.977358490566038)","(14.0, 21.0, 20.734375)","(3.5, 4.2, 4.112213740458015)","(7.0, 8.0, 7.9091383812010445)","(21.0, 30.0, 27.454545454545453)","(51.0, 85.0, 83.54545454545455)","(71.0, 120.0, 112.76315789473685)","(4.6, 5.6, 5.588652482269503)","(7.5, 9.2, 9.130434782608695)","(18.0, 23.0, 22.84)","(19.0, 22.0, 20.846625766871167)"
05-01-2023 12:55:06.763649,"(7.0, 8.0, 7.931818181818182)","(14.0, 21.0, 20.681159420289855)","(3.5, 4.2, 4.128125)","(7.0, 8.0, 7.9091383812010445)","(21.0, 30.0, 27.454545454545453)","(51.0, 85.0, 83.54545454545455)","(71.0, 120.0, 108.125)","(4.6, 5.6, 5.5825503355704695)","(7.5, 9.2, 9.122448979591836)","(18.0, 23.0, 22.833333333333332)","(19.0, 21.0, 20.91044776119403)"
05-01-2023 12:55:08.059757,"(6.5, 8.0, 7.7168)","(14.0, 21.0, 20.681159420289855)","(3.5, 4.2, 4.135772357723577)","(7.0, 8.0, 7.9091383812010445)","(21.0, 30.0, 27.454545454545453)","(51.0, 85.0, 83.54545454545455)","(71.0, 110.0, 108.44827586206897)","(4.6, 5.6, 5.592830188679245)","(7.5, 9.2, 9.088235294117647)","(18.0, 23.0, 22.833333333333332)","(19.0, 21.0, 20.91044776119403)"
05-01-2023 12:55:09.364674,"(6.5, 7.8, 7.7168)","(14.0, 21.0, 20.681159420289855)","(3.5, 4.2, 4.135772357723577)","(7.0, 8.0, 7.9091383812010445)","(21.0, 30.0, 27.454545454545453)","(51.0, 85.0, 83.54545454545455)","(71.0, 110.0, 108.44827586206897)","(4.6, 5.6, 5.592830188679245)","(7.5, 9.2, 9.088235294117647)","(18.0, 23.0, 22.833333333333332)","(19.0, 21.0, 20.91044776119403)"
05-01-2023 12:55:10.754199,"(6.5, 7.8, 7.7168)","(15.0, 21.0, 20.681159420289855)","(3.5, 4.2, 4.135772357723577)","(7.0, 8.0, 7.9091383812010445)","(21.0, 30.0, 27.454545454545453)","(51.0, 85.0, 83.54545454545455)","(71.0, 110.0, 108.44827586206897)","(4.6, 5.6, 5.592830188679245)","(7.5, 9.2, 9.088235294117647)","(18.0, 23.0, 22.833333333333332)","(19.0, 21.0, 20.91044776119403)"
05-01-2023 12:55:12.348040,"(6.5, 7.8, 7.7168)","(15.0, 21.0, 20.681159420289855)","(3.5, 4.2, 4.135772357723577)","(7.0, 8.0, 7.9091383812010445)","(21.0, 30.0, 27.454545454545453)","(51.0, 85.0, 87.93103448275862)","(71.0, 110.0, 108.67647058823529)","(4.6, 5.6, 5.593333333333333)","(7.5, 9.2, 9.136363636363637)","(18.0, 23.0, 22.833333333333332)","(19.0, 21.0, 20.439393939393938)"
05-01-2023 12:55:13.887330,"(7.0, 7.8, 7.6975999999999996)","(15.0, 21.0, 20.65625)","(3.6, 4.2, 4.115503875968992)","(7.0, 8.0, 7.853097345132743)","(21.0, 29.0, 27.714285714285715)","(51.0, 90.0, 87.93103448275862)","(71.0, 110.0, 108.67647058823529)","(4.8, 5.6, 5.56984126984127)","(7.5, 9.2, 9.136363636363637)","(18.0, 23.0, 22.833333333333332)","(18.0, 22.0, 20.37908496732026)"
05-01-2023 12:55:15.402273,"(7.0, 8.0, 7.779310344827586)","(15.0, 21.0, 20.65625)","(3.6, 4.2, 4.105357142857143)","(7.0, 8.0, 7.853097345132743)","(21.0, 29.0, 27.714285714285715)","(51.0, 85.0, 83.10810810810811)","(71.0, 110.0, 108.92857142857143)","(4.8, 5.6, 5.564150943396227)","(7.5, 9.2, 9.130434782608695)","(18.0, 23.0, 22.822222222222223)","(18.0, 22.0, 20.233766233766232)"
05-01-2023 12:55:16.784622,"(7.0, 8.0, 7.792592592592593)","(15.0, 21.0, 20.65625)","(3.6, 4.2, 4.110144927536232)","(7.0, 8.0, 7.866129032258065)","(21.0, 29.0, 27.846153846153847)","(51.0, 85.0, 83.19444444444444)","(71.0, 110.0, 108.92857142857143)","(4.8, 5.5, 5.419148936170213)","(7.5, 9.2, 9.1)","(18.0, 23.0, 22.833333333333332)","(18.0, 22.0, 20.254545454545454)"
05-01-2023 12:55:18.267135,"(7.0, 8.0, 7.792592592592593)","(15.0, 21.0, 20.65625)","(3.6, 4.1, 4.143298969072165)","(7.0, 8.0, 7.931707317073171)","(21.0, 29.0, 27.333333333333332)","(51.0, 85.0, 87.27272727272727)","(71.0, 110.0, 108.84615384615384)","(4.8, 5.7, 5.655294117647059)","(7.5, 9.2, 9.169230769230769)","(18.0, 23.0, 22.794871794871796)","(18.0, 22.0, 20.18867924528302)"
05-01-2023 12:55:19.604996,"(7.0, 8.0, 7.7625)","(15.0, 21.0, 20.616666666666667)","(3.6, 4.2, 4.146902654867256)","(7.0, 8.0, 7.933061224489796)","(21.0, 29.0, 27.333333333333332)","(51.0, 90.0, 87.27272727272727)","(71.0, 110.0, 108.84615384615384)","(4.8, 5.7, 5.655294117647059)","(7.5, 9.2, 9.177464788732394)","(18.0, 23.0, 22.41891891891892)","(18.0, 22.0, 20.596153846153847)"
05-01-2023 12:55:21.030717,"(7.0, 7.6, 7.504761904761905)","(15.0, 21.0, 20.616666666666667)","(3.6, 4.2, 4.133)","(7.0, 8.0, 7.772881355932203)","(21.0, 29.0, 27.333333333333332)","(51.0, 90.0, 87.27272727272727)","(71.0, 110.0, 108.84615384615384)","(4.8, 5.7, 5.659894459102903)","(7.5, 9.2, 9.185714285714285)","(18.0, 24.0, 22.41891891891892)","(18.0, 21.0, 20.58)"
05-01-2023 12:55:22.382186,"(7.0, 7.6, 7.509090909090909)","(15.0, 21.0, 20.616666666666667)","(3.6, 4.2, 4.133333333333334)","(7.0, 7.8, 7.77408906882591)","(21.0, 29.0, 27.23076923076923)","(51.0, 90.0, 87.3913043478261)","(71.0, 110.0, 108.88888888888889)","(4.8, 5.7, 5.661421319796954)","(7.5, 9.2, 9.168888888888889)","(18.0, 24.0, 22.929824561403507)","(18.0, 21.0, 20.5531914893617)"
05-01-2023 12:55:23.723306,"(7.0, 7.6, 7.510112359550561)","(15.0, 21.0, 20.640625)","(3.6, 4.2, 4.133333333333334)","(7.0, 7.8, 7.77408906882591)","(21.0, 29.0, 27.23076923076923)","(51.0, 90.0, 87.3913043478261)","(71.0, 110.0, 108.88888888888889)","(4.8, 5.7, 5.651041666666667)","(7.5, 9.4, 9.251428571428573)","(18.0, 23.0, 22.929824561403507)","(18.0, 21.0, 20.5531914893617)"
05-01-2023 12:55:25.175102,"(6.5, 7.6, 7.71047619047619)","(15.0, 21.0, 20.69736842105263)","(3.6, 4.2, 4.0992592592592585)","(7.0, 7.8, 7.77408906882591)","(21.0, 29.0, 27.23076923076923)","(51.0, 90.0, 87.3913043478261)","(71.0, 110.0, 108.88888888888889)","(4.8, 5.7, 5.651041666666667)","(7.5, 9.4, 9.251428571428573)","(18.0, 23.0, 22.929824561403507)","(18.0, 21.0, 20.388059701492537)"
05-01-2023 12:55:26.573357,"(6.5, 8.0, 7.71047619047619)","(15.0, 21.0, 20.69736842105263)","(3.6, 4.1, 4.0992592592592585)","(7.0, 7.8, 7.773160173160173)","(21.0, 29.0, 27.23076923076923)","(51.0, 90.0, 87.3913043478261)","(71.0, 110.0, 108.88888888888889)","(4.8, 5.7, 5.651041666666667)","(7.5, 9.4, 9.251428571428573)","(18.0, 23.0, 22.75531914893617)","(18.0, 21.0, 20.388059701492537)"
05-01-2023 12:55:28.110368,"(6.5, 7.8, 7.510344827586207)","(15.0, 21.0, 20.583333333333332)","(3.6, 4.1, 4.0992592592592585)","(7.0, 7.8, 7.772321428571429)","(21.0, 29.0, 27.357142857142858)","(51.0, 90.0, 87.3913043478261)","(71.0, 110.0, 108.88888888888889)","(4.8, 5.7, 5.663013698630137)","(7.5, 9.4, 9.251428571428573)","(18.0, 24.0, 22.75531914893617)","(18.0, 22.0, 20.845070422535212)"
05-01-2023 12:55:29.410915,"(6.5, 7.8, 7.566666666666666)","(15.0, 21.0, 20.593220338983052)","(3.6, 4.1, 4.098181818181818)","(7.0, 7.8, 7.772321428571429)","(21.0, 29.0, 27.53191489361702)","(51.0, 90.0, 87.3913043478261)","(71.0, 110.0, 108.88888888888889)","(4.8, 5.7, 5.663013698630137)","(7.5, 9.4, 9.251428571428573)","(18.0, 24.0, 22.75531914893617)","(18.0, 22.0, 20.845070422535212)"
05-01-2023 12:55:30.690264,"(6.5, 7.8, 7.566666666666666)","(15.0, 21.0, 20.593220338983052)","(3.6, 4.1, 4.0367768595041325)","(7.0, 7.8, 7.7763358778625955)","(21.0, 29.0, 28.115384615384617)","(51.0, 90.0, 87.77777777777777)","(71.0, 110.0, 109.0)","(4.8, 5.7, 5.678225806451613)","(7.5, 9.4, 9.186666666666667)","(18.0, 24.0, 22.93846153846154)","(18.0, 22.0, 20.48611111111111)"
05-01-2023 12:55:31.960808,"(6.5, 7.6, 7.526315789473684)","(15.0, 21.0, 20.671232876712327)","(3.6, 4.2, 4.0367768595041325)","(7.0, 7.8, 7.7763358778625955)","(21.0, 29.0, 28.115384615384617)","(51.0, 90.0, 87.77777777777777)","(71.0, 110.0, 109.0)","(4.8, 5.7, 5.682352941176471)","(7.5, 9.4, 9.206060606060607)","(18.0, 23.0, 22.942857142857143)","(18.0, 21.0, 20.64423076923077)"
05-01-2023 12:55:33.273996,"(6.5, 7.6, 7.478260869565217)","(15.0, 21.0, 20.692307692307693)","(3.6, 4.2, 4.078333333333333)","(7.0, 8.0, 7.8545454545454545)","(21.0, 29.0, 28.103896103896105)","(51.0, 90.0, 87.85714285714286)","(71.0, 110.0, 109.03225806451613)","(4.8, 5.7, 5.682352941176471)","(7.5, 9.4, 9.206060606060607)","(18.0, 23.0, 22.942857142857143)","(18.0, 21.0, 20.64423076923077)"
05-01-2023 12:55:34.565082,"(6.5, 7.6, 7.478260869565217)","(15.0, 21.0, 20.692307692307693)","(3.6, 4.2, 4.078333333333333)","(7.0, 8.0, 7.8545454545454545)","(21.0, 29.0, 28.103896103896105)","(51.0, 90.0, 87.85714285714286)","(71.0, 110.0, 109.03225806451613)","(4.8, 5.7, 5.682352941176471)","(7.5, 9.4, 9.206060606060607)","(18.0, 23.0, 22.942857142857143)","(18.0, 21.0, 20.64423076923077)"
05-01-2023 12:55:35.869496,"(6.5, 7.6, 7.501754385964912)","(15.0, 21.0, 20.67088607594937)","(3.6, 4.0, 3.9993589743589744)","(7.0, 8.0, 7.957709251101321)","(21.0, 29.0, 28.103896103896105)","(51.0, 90.0, 87.85714285714286)","(71.0, 110.0, 109.03225806451613)","(4.8, 5.7, 5.67948717948718)","(7.5, 9.4, 9.256)","(18.0, 23.0, 22.88888888888889)","(18.0, 22.0, 20.214285714285715)"
05-01-2023 12:55:37.230385,"(6.5, 7.6, 7.501754385964912)","(15.0, 21.0, 20.745098039215687)","(3.6, 4.1, 4.060204081632653)","(7.0, 8.2, 7.989137380191693)","(21.0, 29.0, 27.137931034482758)","(51.0, 90.0, 87.85714285714286)","(71.0, 110.0, 109.03225806451613)","(4.8, 5.8, 5.688)","(7.5, 9.2, 9.175)","(18.0, 24.0, 22.88888888888889)","(18.0, 22.0, 20.69918699186992)"
05-01-2023 12:55:38.575133,"(6.5, 7.6, 7.501754385964912)","(15.0, 21.0, 20.653333333333332)","(3.6, 4.1, 3.960714285714286)","(7.0, 8.2, 8.021862348178137)","(21.0, 28.0, 27.137931034482758)","(51.0, 90.0, 87.85714285714286)","(71.0, 110.0, 109.03225806451613)","(4.8, 5.8, 5.685714285714285)","(7.5, 9.4, 9.175)","(18.0, 24.0, 22.88888888888889)","(18.0, 22.0, 21.189873417721518)"
