,Sister Joann,Whale Of A Time,Eternal Heart,Cousin Winnie,Ellies Lil Castle,Jacks Sister Jill,Natural Sonde
16-12-2022 09:58:54.136381,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:55.110837,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:56.053730,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:57.116210,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:58.100009,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:58:59.163819,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:00.166271,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:01.177435,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:02.203890,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:03.225007,"(21.0, 450.0, 233.5)","(4.2, 6.4, 5.257142857142857)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:04.209521,"(21.0, 450.0, 233.5)","(4.2, 7.0, 4.92)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:05.189566,"(21.0, 450.0, 233.5)","(4.2, 7.0, 4.92)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:06.185802,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:07.182037,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:08.191704,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:09.285052,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:10.278777,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:11.270411,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:12.263374,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:13.255882,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:14.248231,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:15.284212,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:16.280121,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:17.299443,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:18.289402,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:19.324799,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:20.284772,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:21.294336,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:22.219898,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:23.157168,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:24.176353,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:25.137623,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:26.130762,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:27.143414,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 4.085714285714285)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:28.261680,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.6, 3.736486486486487)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:29.421177,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 3.7445945945945946)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:30.587913,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:31.684605,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:32.737161,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:33.869571,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:34.905087,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:35.939759,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:37.027908,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:38.039781,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:39.040039,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:40.070454,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:41.033384,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:42.025289,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:43.062048,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 4.128571428571429)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:44.108055,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.7, 3.842857142857143)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:45.182662,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.9, 3.8714285714285714)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:46.297066,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.9, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:47.431556,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:48.537214,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:49.681053,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:50.710536,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:51.792015,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:52.790351,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:53.746288,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:54.768729,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:55.872225,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:56.901086,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:57.969821,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 09:59:59.061391,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:00.114156,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:01.238190,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 21.5)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.24)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:02.266950,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 32.0, 19.4)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.0, 5.2)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:03.281333,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 20.0, 14.6)","(3.3, 4.8, 4.171428571428572)","(4.8, 6.8, 5.314285714285714)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:04.245244,"(21.0, 450.0, 233.5)","(4.2, 6.8, 5.428571428571429)","(15.0, 20.0, 14.6)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.2, 5.314285714285714)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:05.214946,"(21.0, 450.0, 233.5)","(4.2, 8.6, 5.45)","(15.0, 20.0, 14.6)","(3.3, 4.8, 4.171428571428572)","(4.8, 7.2, 5.9)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:06.210034,"(21.0, 450.0, 233.5)","(4.2, 8.6, 5.45)","(15.0, 20.0, 14.6)","(3.3, 4.8, 3.8857142857142857)","(4.8, 7.0, 5.9)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:07.225961,"(21.0, 450.0, 233.5)","(4.2, 8.6, 5.45)","(15.0, 20.0, 14.6)","(3.3, 5.0, 3.8857142857142857)","(4.8, 7.0, 5.9)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:08.295431,"(21.0, 450.0, 233.5)","(4.2, 8.6, 5.45)","(15.0, 20.0, 14.6)","(3.3, 5.0, 4.257142857142857)","(4.8, 7.0, 5.9)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:09.412108,"(21.0, 450.0, 233.5)","(4.2, 8.6, 5.45)","(15.0, 20.0, 14.6)","(3.3, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:10.559954,"(21.0, 450.0, 233.5)","(4.2, 8.6, 5.45)","(15.0, 20.0, 14.6)","(3.3, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(3.0, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:11.655962,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:12.765375,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:13.844485,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:14.897023,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:15.949991,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:16.990794,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:17.998503,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:19.077611,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:20.146565,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:21.175540,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
16-12-2022 10:00:22.234753,"(21.0, 450.0, 233.5)","(4.4, 8.6, 5.45)","(14.0, 20.0, 14.6)","(3.4, 4.9, 4.214285714285714)","(4.8, 7.0, 5.9)","(2.9, 6.8, 5.49090909090909)","(31.0, 99999, 5011.5)"
