,Late In The Game,Mark Did It,Yes Sir Robert,Strong Lil Kokoro,Shanghai Candy,Toe Tappin Luke,Burgee,Purple Shirt
08-01-2023 13:15:23.067734,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:24.190319,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:25.311152,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:26.361298,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:27.484335,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:28.640425,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:29.791367,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:30.965252,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:32.140734,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:33.221210,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:34.313645,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:35.354113,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:36.442099,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:37.564080,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:38.628763,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:39.705178,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:40.788640,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:41.863978,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:43.019546,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:44.181179,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:45.299426,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:46.354359,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:47.411468,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:48.485771,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:49.619759,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:50.729786,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:51.812449,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:52.938083,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:54.005303,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:55.108542,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:56.220936,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:57.341922,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:58.428138,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:15:59.474020,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:00.634564,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:01.692934,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:02.761225,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:03.856709,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:04.948864,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:06.139148,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:07.302399,"(2.25, 2.9, 2.8)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:08.439674,"(2.25, 2.98, 2.707777777777778)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.1846153846153844)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:09.641356,"(2.25, 2.96, 2.9166666666666665)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.15)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:10.798485,"(2.25, 2.96, 2.9166666666666665)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.024)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.25)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:11.869710,"(2.25, 2.96, 2.9)","(18.0, 180.0, 138.25)","(2.4, 3.3, 3.024)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 7.9)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:12.979605,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.024)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 10.0, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:14.084662,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.024)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:15.088303,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.1904347826086954)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:16.156114,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:17.362075,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:18.404697,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:19.500620,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:20.695779,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:21.712443,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:22.757971,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.1904347826086954)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:23.854467,"(2.25, 2.96, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:24.975292,"(2.25, 2.94, 2.756666666666667)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:26.112935,"(2.25, 2.92, 2.87)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.036)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(10.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:27.548009,"(2.25, 2.92, 2.9)","(18.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:28.678896,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.06)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:29.823011,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.048)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:30.789384,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.190909090909091)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:31.882307,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.072)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:32.919682,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.048)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:34.025648,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.072)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:35.082831,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.072)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:36.162344,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.190909090909091)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:37.342156,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.048)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:38.376699,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.048)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:39.425146,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.072)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:40.408154,"(2.25, 2.94, 2.756666666666667)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.048)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:41.403451,"(2.25, 2.92, 2.87)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.190909090909091)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:42.454786,"(2.25, 2.92, 2.87)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.072)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:43.455673,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.072)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
08-01-2023 13:16:44.479070,"(2.25, 2.96, 2.9)","(19.0, 180.0, 163.29999999999998)","(2.4, 3.3, 3.1904347826086954)","(41.0, 230.0, 129.5)","(26.0, 230.0, 177.25)","(11.0, 40.0, 32.5)","(6.0, 9.8, 9.100000000000001)","(41.0, 230.0, 127.5)"
