,Impetuous Lad,Lornas Law,Wallys Boy,Up The Amps,Lonely Tuna,Brians Buster,Burnt Jam,No Surprise
11-01-2023 13:14:48.357129,"(5.0, 8.8, 6.2)","(13.0, 42.0, 31.27777777777778)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:49.587828,"(5.0, 8.8, 6.2)","(13.0, 46.0, 31.27777777777778)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:50.774689,"(5.0, 8.8, 6.2)","(13.0, 46.0, 31.27777777777778)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:51.875179,"(5.0, 8.8, 6.2)","(13.0, 46.0, 31.27777777777778)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:52.961480,"(5.0, 8.8, 6.2)","(13.0, 46.0, 31.27777777777778)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:53.985443,"(5.0, 8.8, 6.2)","(13.0, 29.0, 27.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:55.050824,"(5.0, 8.8, 6.2)","(13.0, 29.0, 27.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:56.178070,"(5.0, 8.8, 6.2)","(13.0, 29.0, 27.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:57.325403,"(5.0, 8.8, 6.2)","(13.0, 29.0, 31.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:58.443211,"(5.0, 8.8, 6.2)","(13.0, 34.0, 31.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:59.442298,"(5.0, 8.8, 6.2)","(13.0, 34.0, 31.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:15:00.452146,"(5.0, 8.8, 6.2)","(13.0, 34.0, 31.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:15:01.484036,"(5.0, 8.8, 6.2)","(13.0, 34.0, 31.1)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:02.584541,"(5.0, 8.8, 6.2)","(13.0, 34.0, 29.333333333333336)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 4.241176470588236)"
