,Manoeuver Man,Ideal Melody,Grinforawin,Bien Hoa Nz,Alimonie,Bettor Beontoit Nz,Midnight Sport,Captain Thunderbolt Nz
07-01-2023 20:11:18.258831,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:19.459830,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:20.611991,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:21.761385,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:22.877065,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:23.968214,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:25.180666,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:26.340299,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:27.475678,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:28.605392,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:29.739802,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:30.838972,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:31.947523,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:33.032847,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:34.145442,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:35.215685,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:36.346681,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:37.527202,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:38.571319,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:39.640439,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:40.737999,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:41.876428,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:43.040913,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:44.241979,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:45.437230,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:46.607182,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:47.792747,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:49.009195,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:50.175950,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:51.352362,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:52.529179,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:53.727363,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:54.893608,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:56.053868,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:57.267261,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:58.518970,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:11:59.797483,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:01.069423,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:02.369361,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:03.650604,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:04.852924,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:06.032061,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:07.121668,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:08.274114,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:09.506479,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:10.682748,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:11.927870,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:13.130466,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:14.303786,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:15.511722,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:16.682585,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:17.864107,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:19.073381,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:20.365120,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.574999999999999)","(14.0, 99999, 99990)"
07-01-2023 20:12:21.632444,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.37)","(14.0, 99999, 99990)"
07-01-2023 20:12:22.983825,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.37)","(14.0, 99999, 99990)"
07-01-2023 20:12:24.293072,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:25.547487,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:26.717794,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:27.908131,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:29.042783,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:30.262607,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:31.464085,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:32.686945,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:33.882614,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:35.065210,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:36.237974,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:37.356566,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:38.528328,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:39.757776,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:40.953441,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:42.468476,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:43.927735,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:45.291817,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:46.655893,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:48.061706,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:49.884300,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:51.123189,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:52.372889,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:53.683271,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
07-01-2023 20:12:54.903102,"(16.0, 32.0, 20.666666666666668)","(8.5, 16.5, 10.433333333333334)","(10.0, 19.0, 15.0)","(3.9, 99999, 99990)","(17.0, 34.0, 24.75)","(2.8, 99999, 99990)","(3.6, 5.6, 4.4)","(14.0, 99999, 99990)"
