,Gee Gee Secondover,Liffeybeau,Turk Warrior,Blaze Forth,Galenus,Le Cadeau,Music Addition,Julius,Street Tough,Emily
11-01-2023 14:12:35.602141,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:36.855281,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:38.060376,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:39.340115,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:40.666911,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:41.837449,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:43.021271,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:44.592151,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:45.778008,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:46.951594,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:48.234222,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:49.640380,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:50.828872,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:51.958652,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:53.215909,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:54.541727,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:55.820330,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:57.208800,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:58.455300,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:12:59.648035,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:00.811656,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:02.169541,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:03.525980,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:04.888545,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.109090909090909)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:06.230393,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:07.650817,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:08.787455,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:10.019242,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:11.308209,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:12.817217,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 39.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:14.219286,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 54.25)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:15.592429,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:16.811210,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:17.996422,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.0)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:19.279764,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.5)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:20.859084,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.5)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:22.235067,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.5)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:23.448511,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.5)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:24.662435,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 32.666666666666664)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 44.5)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:25.847077,"(10.0, 18.5, 16.25)","(21.0, 42.0, 30.75)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 56.0)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 42.36363636363636)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:26.987062,"(10.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.7, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.0, 8.6, 8.2)","(13.0, 23.0, 21.142857142857142)","(21.0, 46.0, 42.36363636363636)","(4.2, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.6, 4.2, 4.04)"
11-01-2023 14:13:28.194425,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:29.365482,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:30.488752,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:31.680237,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:32.851765,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:34.128484,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:35.454157,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:36.639380,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 21.0)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:38.084067,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:39.409606,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:40.583920,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 57.2)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:41.824905,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:43.041647,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:44.232250,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:45.377790,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:46.491371,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 42.36363636363636)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:47.673636,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 40.57142857142857)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:48.820471,"(11.0, 18.5, 16.25)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 40.57142857142857)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:49.975897,"(11.0, 18.5, 15.125)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.28571428571429)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 40.57142857142857)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
11-01-2023 14:13:51.146519,"(11.0, 18.5, 15.125)","(21.0, 42.0, 37.8)","(3.8, 4.4, 4.236363636363636)","(31.0, 100.0, 82.85714285714286)","(5.5, 8.6, 8.2)","(13.0, 23.0, 20.25)","(21.0, 46.0, 40.57142857142857)","(4.4, 5.4, 5.057142857142857)","(21.0, 65.0, 49.8)","(3.7, 4.2, 4.04)"
