,Matatoki Nz,Bourbonontherocks,Yea You Nz,Everysecondcounts,Scruffy Doolan,Hello Jolene Jolene Nz
07-01-2023 20:50:44.181892,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:45.142472,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:46.134407,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:47.183542,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:48.302345,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:49.424341,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:50.533581,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:51.525438,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:52.514608,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:53.453530,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:54.589343,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:55.614383,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:56.642481,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:57.538509,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:58.457587,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:50:59.554262,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:00.697158,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:01.853532,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:02.928357,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:04.002027,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:04.951427,"(3.5, 99999, 99990)","(3.1, 4.0, 3.2800000000000002)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:05.927805,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:07.159024,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:08.281726,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:09.392209,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:10.698986,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:11.727012,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:12.876288,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:13.923730,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:14.887113,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:15.848942,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:16.777166,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:17.723732,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:18.657027,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:19.647014,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:20.830402,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:21.964779,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:23.005046,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:23.989738,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:24.922373,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:25.864730,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:26.860625,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:27.823512,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:28.799498,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:29.712769,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:30.680684,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:31.572125,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:32.464451,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:33.494842,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:34.437881,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:35.381954,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:36.427086,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:37.347467,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:38.210048,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:39.059691,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:39.971012,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:40.921178,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:41.903484,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:42.843364,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:43.768667,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:44.685536,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:45.525642,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:46.429447,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:47.364403,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:48.320865,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:49.340699,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:50.243582,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:51.113472,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:51.999482,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:52.859716,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:53.765733,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:54.717318,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:55.620271,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 5.0)","(7.5, 99999, 99990)"
07-01-2023 20:51:56.541385,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.8)","(7.5, 99999, 99990)"
07-01-2023 20:51:57.721537,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.8)","(7.5, 99999, 99990)"
07-01-2023 20:51:58.627633,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.8)","(7.5, 99999, 99990)"
07-01-2023 20:51:59.543872,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.8)","(7.5, 99999, 99990)"
07-01-2023 20:52:00.454302,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.8)","(7.5, 99999, 99990)"
07-01-2023 20:52:01.524478,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.8)","(7.5, 99999, 99990)"
07-01-2023 20:52:02.541663,"(3.5, 99999, 99990)","(3.1, 3.95, 3.2416666666666667)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.6, 4.642857142857142)","(7.5, 99999, 99990)"
07-01-2023 20:52:03.520667,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.5, 4.642857142857142)","(7.5, 99999, 99990)"
07-01-2023 20:52:04.431019,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.5, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:05.310359,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:06.207556,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:07.105605,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:08.065006,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:08.977915,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:09.912483,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:10.799457,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:11.750211,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:12.813488,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 24.4)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:13.846312,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:14.950558,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:15.971191,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:16.901794,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:17.837141,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:18.853138,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:19.841281,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:20.894103,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:21.863541,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:22.804077,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:23.692884,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:24.622642,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:25.550435,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:26.564100,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
07-01-2023 20:52:27.557392,"(3.5, 99999, 99990)","(3.1, 3.95, 3.5250000000000004)","(5.0, 99999, 99990)","(18.0, 29.0, 25.166666666666668)","(3.9, 5.4, 4.7)","(7.5, 99999, 99990)"
